,time,open,high,low,close,volume
0,2020-03-05,7.5,7.62,7.33,7.39,5965022
1,2020-03-06,7.36,7.36,7.24,7.3,3959935
2,2020-03-09,7.13,7.13,6.64,6.72,16776046
3,2020-03-10,6.64,7.16,6.61,6.98,7582331
4,2020-03-11,7.01,7.04,6.64,6.75,7841324
5,2020-03-12,6.64,6.64,6.2,6.38,11082125
6,2020-03-13,6.2,6.49,5.92,6.35,9020091
7,2020-03-16,6.35,6.44,5.97,6.03,4614344
8,2020-03-17,6.0,6.18,5.8,6.09,6568088
9,2020-03-18,6.15,6.23,6.03,6.12,4944595
10,2020-03-19,6.06,6.15,5.97,6.09,4083896
11,2020-03-20,6.7,6.7,6.06,6.18,3341564
12,2020-03-23,6.12,6.18,5.57,5.57,10024177
13,2020-03-24,5.51,5.74,5.51,5.66,4315784
14,2020-03-25,5.77,6.0,5.77,5.92,4115341
15,2020-03-26,5.95,5.95,5.69,5.69,3631529
16,2020-03-27,5.69,5.8,5.63,5.69,3980631
17,2020-03-30,5.63,5.63,5.17,5.25,5925098
18,2020-03-31,5.25,5.43,5.02,5.14,4532153
19,2020-04-01,4.65,5.48,4.65,5.37,2761168
20,2020-04-03,5.22,5.6,5.22,5.51,3574343
21,2020-04-06,5.6,6.0,5.51,5.95,5757259
22,2020-04-07,6.06,6.06,5.77,5.86,4467621
23,2020-04-08,6.44,6.44,5.69,5.83,2331536
24,2020-04-09,6.41,6.41,5.77,5.77,4068966
25,2020-04-10,5.48,5.83,5.48,5.71,2517477
26,2020-04-13,5.17,5.89,5.17,5.77,1926793
27,2020-04-14,5.77,5.83,5.69,5.77,3167293
28,2020-04-15,5.77,5.97,5.77,5.83,3686239
29,2020-04-16,5.83,5.89,5.8,5.89,1895213
30,2020-04-17,5.92,6.09,5.92,6.06,4809341
31,2020-04-20,6.12,6.12,5.95,5.97,3064104
32,2020-04-21,5.95,5.95,5.69,5.71,6015799
33,2020-04-22,5.71,5.89,5.6,5.89,2637424
34,2020-04-23,5.92,6.0,5.86,5.86,2076603
35,2020-04-24,5.83,5.89,5.77,5.86,1264729
36,2020-04-27,5.86,5.95,5.77,5.8,1806851
37,2020-04-28,5.8,5.89,5.77,5.86,1246915
38,2020-04-29,5.86,5.92,5.83,5.92,1196049
39,2020-05-04,5.92,5.92,5.8,5.86,1193939
40,2020-05-05,5.83,5.89,5.83,5.86,1126770
41,2020-05-06,5.89,6.12,5.83,6.0,4453036
42,2020-05-07,6.03,6.12,6.0,6.12,2973997
43,2020-05-08,6.15,6.32,6.06,6.18,5995918
44,2020-05-11,6.32,6.32,6.18,6.26,4108808
45,2020-05-12,6.26,6.35,6.18,6.29,4057939
46,2020-05-13,6.35,6.35,6.2,6.26,3453900
47,2020-05-14,6.26,6.29,6.18,6.18,3827622
48,2020-05-15,6.2,6.41,6.18,6.26,6937907
49,2020-05-18,6.32,6.32,6.18,6.29,2771622
50,2020-05-19,6.35,6.49,6.35,6.41,5561531
51,2020-05-20,6.38,6.46,6.35,6.41,3116422
52,2020-05-21,6.41,6.55,6.32,6.46,4622625
53,2020-05-22,6.49,6.55,6.44,6.46,4841440
54,2020-05-25,6.49,6.55,6.44,6.52,3519682
55,2020-05-26,6.49,6.78,6.49,6.72,5267006
56,2020-05-27,6.78,6.84,6.58,6.58,6389497
57,2020-05-28,6.58,6.7,6.58,6.61,3568932
58,2020-05-29,6.61,6.64,6.55,6.61,2394358
59,2020-06-01,6.64,7.24,6.61,7.24,13859688
60,2020-06-02,7.36,7.65,7.16,7.16,10935462
61,2020-06-03,7.16,7.36,7.16,7.36,3758964
62,2020-06-04,7.39,7.42,7.27,7.3,5159832
63,2020-06-05,7.33,7.33,7.19,7.27,4025847
64,2020-06-08,7.27,7.5,7.27,7.33,6087882
65,2020-06-09,7.36,7.39,7.27,7.36,3531851
66,2020-06-10,7.36,7.47,7.27,7.39,6494275
67,2020-06-11,7.39,7.45,7.04,7.07,9172138
68,2020-06-12,6.93,7.07,6.75,7.07,6648375
69,2020-06-15,7.13,7.13,6.7,6.72,5885937
70,2020-06-16,6.81,6.98,6.81,6.87,4198360
71,2020-06-17,7.01,7.01,6.78,6.84,1599340
72,2020-06-18,6.84,6.9,6.75,6.87,1301526
73,2020-06-19,6.87,7.07,6.87,7.04,2334941
74,2020-06-22,7.04,7.13,6.93,6.96,2256643
75,2020-06-23,6.98,7.04,6.9,6.93,3282364
76,2020-06-24,6.93,7.01,6.84,6.87,3013466
77,2020-06-25,6.84,6.87,6.78,6.84,2500893
78,2020-06-26,6.87,6.93,6.81,6.81,1400341
79,2020-06-29,6.81,6.81,6.55,6.61,4353272
80,2020-06-30,6.64,6.72,6.46,6.58,3585625
81,2020-07-01,6.58,6.72,6.58,6.7,1676001
82,2020-07-02,6.7,6.75,6.64,6.67,1070089
83,2020-07-03,6.7,6.72,6.64,6.64,1271360
84,2020-07-06,6.64,6.84,6.64,6.81,3204367
85,2020-07-07,6.84,6.93,6.84,6.84,2389942
86,2020-07-08,6.81,6.93,6.81,6.9,1647694
87,2020-07-09,6.9,7.01,6.9,7.01,2248695
88,2020-07-10,7.01,7.04,6.87,6.93,2284971
89,2020-07-13,6.96,6.98,6.87,6.9,1840084
90,2020-07-14,6.9,6.96,6.84,6.93,1406915
