,time,open,high,low,close,volume
0,2020-03-03,23.71,24.27,23.42,23.42,2610
1,2020-03-04,23.42,23.61,23.05,23.05,3501
2,2020-03-05,23.52,23.52,23.33,23.42,1100
3,2020-03-06,23.52,23.52,22.77,23.42,2333
4,2020-03-09,22.58,22.68,19.77,21.83,15200
5,2020-03-10,20.15,23.8,20.15,23.33,5612
6,2020-03-11,22.49,22.49,21.08,21.08,4310
7,2020-03-12,19.68,19.96,19.3,19.96,12906
8,2020-03-13,19.58,19.58,18.37,18.65,27826
9,2020-03-16,18.74,19.68,18.55,18.74,4700
10,2020-03-17,20.52,20.52,18.27,19.96,3700
11,2020-03-18,20.24,20.24,19.02,19.86,1800
12,2020-03-19,18.93,18.93,17.8,18.74,12201
13,2020-03-20,19.3,19.3,17.43,17.43,18603
14,2020-03-23,17.43,17.43,15.55,15.93,14320
15,2020-03-24,16.3,17.15,14.99,15.09,17700
16,2020-03-25,16.87,16.87,16.68,16.77,6000
17,2020-03-26,16.68,17.24,16.4,16.87,1120
18,2020-03-27,16.87,16.87,16.12,16.77,1100
19,2020-03-30,14.62,16.3,14.52,15.93,6300
20,2020-03-31,15.37,15.93,14.99,15.55,5710
21,2020-04-01,15.84,15.93,15.46,15.93,5000
22,2020-04-03,16.4,16.87,16.21,16.87,9350
23,2020-04-06,17.05,18.83,17.05,17.8,17200
24,2020-04-07,18.55,18.74,17.8,17.8,15400
25,2020-04-08,18.27,18.27,17.8,17.8,6830
26,2020-04-09,17.8,17.8,17.8,17.8,6970
27,2020-04-10,18.27,18.27,17.62,17.62,3400
28,2020-04-13,17.43,19.3,17.33,17.8,1000
29,2020-04-14,17.8,17.8,17.24,17.24,42240
30,2020-04-15,17.8,17.99,17.8,17.9,117308
31,2020-04-16,19.21,20.52,18.08,20.15,143200
32,2020-04-17,20.15,22.68,20.15,22.49,47010
33,2020-04-20,21.55,21.55,20.61,21.55,76500
34,2020-04-21,20.15,21.08,18.08,19.21,46900
35,2020-04-22,19.21,20.9,18.83,19.96,43703
36,2020-04-23,20.8,20.8,19.4,19.68,55800
37,2020-04-24,19.58,20.43,18.74,20.43,40900
38,2020-04-27,20.61,22.02,19.96,21.93,122100
39,2020-04-28,21.74,22.3,21.55,22.11,123020
40,2020-04-29,22.49,22.49,21.83,22.39,104630
41,2020-05-04,22.39,22.39,21.27,22.02,73008
42,2020-05-05,21.46,21.55,19.86,21.18,20752
43,2020-05-06,20.9,21.46,20.9,21.36,77090
44,2020-05-07,21.18,21.36,21.18,21.36,24250
45,2020-05-08,22.39,22.39,21.55,22.21,88820
46,2020-05-11,22.3,22.86,21.74,22.86,47280
47,2020-05-12,22.3,22.49,22.11,22.21,19350
48,2020-05-13,22.3,22.39,21.08,22.39,45220
49,2020-05-14,22.39,22.39,21.83,21.93,20570
50,2020-05-15,21.55,21.93,21.18,21.93,38218
51,2020-05-18,21.18,21.55,21.08,21.46,12310
52,2020-05-19,21.36,22.02,21.27,22.02,37701
53,2020-05-20,22.02,22.02,21.55,22.02,19750
54,2020-05-21,22.02,22.21,22.02,22.11,43109
55,2020-05-22,22.02,22.11,21.93,22.02,35210
56,2020-05-25,22.02,23.89,21.64,23.89,92688
57,2020-05-26,23.89,26.05,23.89,25.3,57391
58,2020-05-27,25.67,25.67,23.99,25.02,80100
59,2020-05-28,25.02,25.02,23.42,24.83,38739
60,2020-05-29,24.83,24.83,23.89,24.83,23294
61,2020-06-01,24.83,25.77,24.83,25.21,46920
62,2020-06-02,25.21,25.21,23.99,24.08,34310
63,2020-06-03,24.08,25.11,24.08,24.64,11819
