,time,open,high,low,close,volume
0,2020-03-12,14.56,14.83,14.3,14.43,11314020
1,2020-03-13,13.57,14.83,13.44,14.53,10540670
2,2020-03-16,14.53,14.6,13.57,13.57,7506240
3,2020-03-17,13.24,14.03,12.84,13.9,7946050
4,2020-03-18,14.1,14.26,13.87,13.87,6424470
5,2020-03-19,13.57,13.64,13.14,13.3,4724410
6,2020-03-20,13.5,13.57,13.01,13.11,6426820
7,2020-03-23,12.44,12.58,12.21,12.21,6448830
8,2020-03-24,12.21,12.38,11.68,12.11,6361270
9,2020-03-25,12.58,12.94,12.44,12.94,7041040
10,2020-03-26,12.61,12.97,12.44,12.44,5121770
11,2020-03-27,12.58,12.64,12.38,12.58,6261510
12,2020-03-30,11.82,11.91,11.72,11.72,7331160
13,2020-03-31,11.91,12.25,10.99,11.38,6102570
14,2020-04-01,11.25,12.15,11.25,12.11,5514550
15,2020-04-03,12.31,12.58,12.25,12.44,4625590
16,2020-04-06,12.77,13.3,12.58,13.3,10557010
17,2020-04-07,13.37,13.4,12.97,13.14,7256090
18,2020-04-08,12.77,13.24,12.64,13.04,4637260
19,2020-04-09,13.24,13.47,13.11,13.11,7265280
20,2020-04-10,13.11,13.3,12.77,12.87,5700980
21,2020-04-13,12.84,13.24,12.74,12.97,4183300
22,2020-04-14,12.94,13.07,12.44,12.71,7389910
23,2020-04-15,12.71,13.21,12.71,13.14,6758040
24,2020-04-16,12.97,13.17,12.84,13.11,3710320
25,2020-04-17,13.57,13.57,13.24,13.3,8578720
26,2020-04-20,13.44,13.54,13.14,13.14,6291720
27,2020-04-21,13.01,13.07,12.41,12.44,9299890
28,2020-04-22,12.18,13.04,12.18,12.74,6363800
29,2020-04-23,12.91,13.04,12.71,12.71,2950110
30,2020-04-24,12.71,12.77,12.58,12.71,2871100
31,2020-04-27,12.84,12.84,12.48,12.48,4305890
32,2020-04-28,12.48,12.77,12.38,12.61,3942840
33,2020-04-29,12.77,13.24,12.64,13.24,9337270
34,2020-05-04,13.07,13.54,12.94,13.27,7526760
35,2020-05-05,13.27,13.34,13.01,13.14,2976380
36,2020-05-06,13.21,13.44,12.94,13.37,6890670
37,2020-05-07,13.37,13.67,13.3,13.5,7523830
38,2020-05-08,13.7,14.33,13.64,13.83,12666220
39,2020-05-11,14.2,14.26,13.83,14.07,7654090
40,2020-05-12,14.0,14.43,13.8,14.33,6576780
41,2020-05-13,14.17,14.53,14.0,14.33,6959000
42,2020-05-14,14.17,14.4,14.13,14.13,5828440
43,2020-05-15,14.26,14.3,13.8,13.83,7303040
44,2020-05-18,13.87,14.13,13.7,14.13,5204650
45,2020-05-19,14.56,14.86,14.43,14.76,11023040
46,2020-05-20,14.56,14.76,14.5,14.76,5342980
47,2020-05-21,14.79,15.39,14.76,15.19,10616250
48,2020-05-22,15.09,15.62,14.99,15.09,7637850
49,2020-05-25,15.16,15.46,15.03,15.26,6731270
50,2020-05-26,15.26,15.42,15.12,15.32,6282980
51,2020-05-27,15.42,15.52,14.83,14.83,8420990
52,2020-05-28,14.93,15.19,14.79,14.93,5936110
53,2020-05-29,14.86,15.03,14.86,14.89,3561630
54,2020-06-01,15.09,15.56,15.03,15.56,7120400
55,2020-06-02,15.75,16.08,15.49,15.52,9588410
56,2020-06-03,15.62,15.92,15.59,15.89,6901900
57,2020-06-04,16.02,16.48,15.95,16.32,8945730
58,2020-06-05,16.22,16.35,16.02,16.18,5424300
59,2020-06-08,16.45,16.68,16.28,16.48,7059480
60,2020-06-09,16.55,16.55,16.02,16.02,6702380
61,2020-06-10,16.02,16.55,15.95,16.32,8248360
62,2020-06-11,16.35,16.42,15.19,15.19,9257760
63,2020-06-12,14.63,15.42,14.63,15.42,7094300
64,2020-06-15,15.36,15.56,14.63,14.76,7929180
65,2020-06-16,15.22,15.39,15.03,15.39,4034460
66,2020-06-17,15.22,15.39,15.16,15.22,2469120
67,2020-06-18,15.03,15.36,15.03,15.16,1954210
68,2020-06-19,15.32,15.49,15.19,15.46,2865250
69,2020-06-22,15.52,15.69,15.39,15.52,2986770
70,2020-06-23,15.49,15.59,15.26,15.39,2896760
71,2020-06-24,15.49,15.59,15.03,15.09,3055390
72,2020-06-25,14.89,15.12,14.83,15.03,2550180
73,2020-06-26,15.22,15.26,14.83,14.93,2337220
74,2020-06-29,14.79,14.93,14.33,14.5,4603180
75,2020-06-30,14.73,14.83,14.17,14.26,2812450
76,2020-07-01,14.33,14.76,14.26,14.76,2104360
77,2020-07-02,14.83,14.89,14.63,14.76,1743240
78,2020-07-03,14.79,14.86,14.76,14.76,2149960
79,2020-07-06,14.96,15.42,14.86,15.26,4849180
80,2020-07-07,15.42,15.69,15.36,15.52,6656300
81,2020-07-08,15.52,15.89,15.42,15.65,5304630
82,2020-07-09,15.69,16.02,15.59,15.95,6047940
83,2020-07-10,15.89,15.99,15.59,15.75,4645000
84,2020-07-13,15.89,16.28,15.85,15.85,6127280
85,2020-07-14,15.85,16.08,15.75,15.92,4016980
86,2020-07-15,16.08,16.12,15.95,15.95,2637330
87,2020-07-16,15.89,15.95,15.69,15.95,3780830
88,2020-07-17,15.89,16.08,15.75,15.95,3452100
89,2020-07-20,15.95,15.95,15.72,15.75,2923970
90,2020-07-21,15.82,15.85,15.52,15.79,2745180
91,2020-07-22,15.85,15.85,15.46,15.46,2698500
92,2020-07-23,15.56,15.56,15.22,15.46,2989960
93,2020-07-24,15.26,15.39,14.43,14.73,8461420
94,2020-07-27,14.1,14.5,13.7,13.7,7535580
95,2020-07-28,14.0,14.43,13.9,14.36,4278520
96,2020-07-29,14.03,14.1,13.5,13.8,4708610
97,2020-07-30,13.93,14.2,13.9,14.13,2574820
98,2020-07-31,13.9,14.23,13.83,14.03,2928540
99,2020-08-03,14.03,14.43,14.0,14.4,2692490
100,2020-08-04,14.63,14.76,14.5,14.6,3115850
101,2020-08-05,14.63,15.03,14.56,14.99,4575550
102,2020-08-06,14.99,15.09,14.79,14.83,2859860
103,2020-08-07,14.96,15.16,14.86,15.06,3870640
104,2020-08-10,15.29,15.49,15.09,15.09,4070190
105,2020-08-11,15.39,15.42,15.09,15.36,3873130
106,2020-08-12,15.42,15.75,15.36,15.49,4361920
107,2020-08-13,15.72,15.82,15.69,15.72,5131270
108,2020-08-14,15.65,15.79,15.39,15.56,5238720
109,2020-08-17,15.39,15.59,15.32,15.56,2898140
110,2020-08-18,15.56,15.59,15.29,15.36,2681950
111,2020-08-19,15.36,15.56,15.32,15.42,2560050
112,2020-08-20,15.52,15.59,15.39,15.42,4210180
113,2020-08-21,15.56,16.15,15.56,16.08,9577820
114,2020-08-24,16.28,16.42,16.15,16.15,4407840
115,2020-08-25,16.25,16.45,16.15,16.35,5203350
116,2020-08-26,16.22,16.61,16.18,16.35,6796160
117,2020-08-27,16.28,16.58,16.28,16.38,3085280
118,2020-08-28,16.48,16.81,16.42,16.61,9589990
119,2020-08-31,17.01,17.34,16.68,17.01,7359810
120,2020-09-01,17.01,17.31,16.95,17.31,4773840
121,2020-09-03,17.44,17.61,17.11,17.18,8343610
122,2020-09-04,16.95,17.47,16.95,17.21,6578630
123,2020-09-07,17.28,17.31,16.55,16.55,8021370
124,2020-09-08,16.71,16.91,16.42,16.91,5505960
125,2020-09-09,16.61,16.88,16.58,16.75,3872280
126,2020-09-10,16.81,16.98,16.75,16.75,2655550
127,2020-09-11,16.65,17.01,16.65,16.95,3472470
128,2020-09-14,17.21,17.21,16.91,16.95,2823060
129,2020-09-15,16.98,17.04,16.81,16.81,3265100
130,2020-09-16,16.85,16.85,16.65,16.68,3970480
131,2020-09-17,16.75,16.98,16.71,16.75,3996280
132,2020-09-18,16.88,17.11,16.81,17.08,4213030
133,2020-09-21,17.21,17.31,16.95,17.04,5072680
134,2020-09-22,16.95,17.11,16.88,17.08,4239110
135,2020-09-23,17.18,17.61,17.14,17.38,6418220
136,2020-09-24,17.34,17.41,17.11,17.21,3582600
137,2020-09-25,17.28,17.34,17.01,17.34,4630970
138,2020-09-28,17.47,18.17,17.47,17.97,12014920
139,2020-09-29,18.14,18.14,17.61,17.61,5950290
140,2020-09-30,17.61,17.71,17.38,17.57,4764680
141,2020-10-01,17.77,17.87,17.57,17.61,5391110
142,2020-10-02,17.94,18.14,17.41,17.84,13241830
143,2020-10-05,18.2,18.3,18.04,18.2,5939210
144,2020-10-06,18.27,18.3,18.0,18.0,5909080
145,2020-10-07,17.94,18.37,17.87,17.87,8357770
146,2020-10-08,18.0,18.14,17.74,17.97,6514330
147,2020-10-09,18.0,18.4,18.0,18.3,10113630
148,2020-10-12,19.56,19.56,19.03,19.26,16827340
149,2020-10-13,19.2,20.52,19.03,20.22,10920290
150,2020-10-14,20.32,20.42,19.86,19.86,8338720
151,2020-10-15,19.99,20.19,19.86,19.89,10107170
152,2020-10-16,20.19,20.82,19.99,20.62,12956750
153,2020-10-19,21.25,21.48,21.12,21.28,9648680
154,2020-10-20,21.08,21.38,20.98,21.25,9963500
155,2020-10-21,21.31,21.48,20.55,20.55,9191450
156,2020-10-22,20.52,21.18,20.39,21.18,8715860
157,2020-10-23,21.31,21.35,20.92,21.05,6636530
158,2020-10-26,21.12,21.12,20.19,20.19,8904630
159,2020-10-27,20.19,20.59,20.02,20.35,11228060
160,2020-10-28,20.19,20.49,19.79,19.79,7936180
161,2020-10-29,19.66,19.99,19.26,19.26,11708930
162,2020-10-30,19.39,19.53,18.67,19.2,9099270
163,2020-11-02,19.39,20.12,19.33,20.12,5194990
164,2020-11-03,20.29,20.32,19.92,19.99,4957760
165,2020-11-04,20.06,20.52,19.92,20.25,7152600
166,2020-11-05,20.19,20.45,20.02,20.02,5810810
167,2020-11-06,20.06,20.29,19.99,20.02,5382100
168,2020-11-09,20.29,20.59,20.29,20.49,7890820
169,2020-11-10,20.65,20.82,20.25,20.25,8706210
170,2020-11-11,20.35,20.45,20.12,20.19,6063870
171,2020-11-12,20.25,20.68,20.25,20.52,5609690
172,2020-11-13,20.65,21.18,20.65,21.15,10712410
173,2020-11-16,21.48,21.64,21.05,21.12,15774840
174,2020-11-17,21.31,21.61,21.18,21.51,8707180
175,2020-11-18,21.51,21.78,21.41,21.68,7298690
176,2020-11-19,21.68,22.04,21.55,22.04,13599610
177,2020-11-20,22.07,22.14,21.81,21.98,7237750
178,2020-11-23,21.98,21.98,21.58,21.78,7136380
179,2020-11-24,21.94,21.94,21.51,21.68,8848310
180,2020-11-25,21.98,22.17,21.78,21.84,10715800
181,2020-11-26,21.84,22.67,21.81,22.54,11623080
182,2020-11-27,22.64,22.84,22.51,22.54,6224220
183,2020-11-30,22.54,22.64,22.17,22.17,11002280
184,2020-12-01,21.84,22.51,21.78,22.44,9713470
185,2020-12-02,22.44,22.64,22.24,22.34,8657370
186,2020-12-03,22.37,22.54,22.31,22.37,6256350
187,2020-12-04,22.51,23.1,22.44,22.97,18959210
188,2020-12-07,23.17,23.23,22.9,22.97,7312770
189,2020-12-08,22.97,23.0,22.7,22.84,8604990
190,2020-12-09,22.84,23.1,22.8,22.84,8148750
191,2020-12-10,22.84,23.1,22.51,22.51,10188750
192,2020-12-11,22.77,23.03,22.47,23.0,8093800
193,2020-12-14,23.37,23.56,23.1,23.43,10847590
194,2020-12-15,23.43,23.43,22.94,23.17,10988240
195,2020-12-16,23.23,23.5,23.23,23.43,7708110
196,2020-12-17,23.43,23.57,22.89,22.89,14327750
197,2020-12-18,23.03,23.23,22.89,23.23,5660480
198,2020-12-21,23.3,23.8,23.16,23.4,7880530
199,2020-12-22,23.57,23.77,23.33,23.36,6431410
200,2020-12-23,23.5,23.5,23.1,23.16,5748780
201,2020-12-24,23.16,23.36,21.62,22.79,8307780
202,2020-12-25,22.89,23.3,22.36,23.3,8006910
203,2020-12-28,23.57,23.63,22.96,23.03,6379650
204,2020-12-29,23.03,23.2,22.89,22.93,5009810
205,2020-12-30,23.06,23.46,22.93,23.06,5580940
206,2020-12-31,23.13,23.33,23.06,23.2,4513160
207,2021-01-04,23.5,24.17,23.43,23.83,14041500
208,2021-01-05,23.77,24.14,23.63,23.77,9215200
209,2021-01-06,24.17,25.41,23.97,25.41,15419900
210,2021-01-07,25.85,26.62,25.78,26.08,10679600
211,2021-01-08,26.52,26.52,25.85,25.98,8380100
212,2021-01-11,26.12,26.59,25.92,25.98,10911700
213,2021-01-12,25.98,26.12,25.58,25.85,9154200
214,2021-01-13,25.95,26.49,25.85,25.95,9063900
215,2021-01-14,26.18,26.42,25.85,26.28,8275700
216,2021-01-15,26.52,26.92,26.39,26.52,11321800
217,2021-01-18,26.59,26.75,25.92,25.92,7197000
218,2021-01-19,25.85,25.92,24.1,24.1,14466500
219,2021-01-20,24.17,24.44,22.69,23.93,11184000
220,2021-01-21,24.24,24.84,23.83,24.84,7568900
221,2021-01-22,24.77,25.71,24.64,25.24,11333200
222,2021-01-25,24.98,25.21,24.51,24.71,6580500
223,2021-01-26,24.51,24.54,23.16,23.16,8285900
224,2021-01-27,22.96,23.6,21.82,21.89,9544300
225,2021-01-28,20.65,21.42,20.38,20.38,13297400
226,2021-01-29,19.34,21.75,19.34,20.48,14819400
227,2021-02-01,21.35,21.89,21.15,21.48,12315100
228,2021-02-02,21.35,22.83,21.28,22.76,7767300
229,2021-02-03,23.16,23.67,22.83,23.43,10075600
230,2021-02-04,23.36,23.53,22.99,23.3,9413200
231,2021-02-05,23.46,24.04,23.33,24.04,8496700
232,2021-02-08,24.1,24.24,22.76,22.86,12845300
233,2021-02-09,23.13,23.8,22.83,23.77,8069900
234,2021-02-17,24.44,24.71,24.07,24.71,9896400
235,2021-02-18,24.64,24.87,24.37,24.71,10032300
236,2021-02-19,24.37,25.18,24.24,24.84,12154600
237,2021-02-22,24.84,25.55,24.71,24.84,11349900
238,2021-02-23,24.91,25.24,24.84,24.87,8347300
239,2021-02-24,25.14,25.61,24.87,25.18,14250600
240,2021-02-25,25.41,25.45,24.87,25.04,8490300
241,2021-02-26,24.67,25.08,24.51,25.01,8851000
242,2021-03-01,25.31,25.65,25.24,25.58,13954000
243,2021-03-02,25.85,25.92,25.51,25.51,7320600
244,2021-03-03,25.78,26.05,25.71,25.92,13074300
245,2021-03-04,26.18,26.18,25.18,25.71,10315800
246,2021-03-05,25.58,25.81,25.18,25.51,10156400
247,2021-03-08,25.78,25.92,25.21,25.45,7574900
