,time,open,high,low,close,volume
0,2023-01-11,52.7,53.16,52.14,52.14,1184420
1,2023-01-12,52.7,52.79,51.68,51.77,977214
2,2023-01-13,52.61,53.62,52.24,52.61,1256797
3,2023-01-16,53.07,53.07,52.14,52.14,846100
4,2023-01-17,52.14,54.64,52.14,54.36,1868246
5,2023-01-18,55.01,55.01,54.27,54.73,1661614
6,2023-01-19,54.83,56.4,54.83,55.38,2054372
7,2023-01-27,56.4,56.58,54.09,54.55,1930821
8,2023-01-30,54.73,55.01,53.99,53.99,1929989
9,2023-01-31,53.72,56.12,53.72,55.75,3876898
10,2023-02-01,56.4,58.43,55.47,55.47,5289435
11,2023-02-02,56.03,57.04,54.18,54.64,2705919
12,2023-02-03,55.29,55.29,53.62,54.36,1832185
13,2023-02-06,54.27,54.83,52.88,53.62,1729818
14,2023-02-07,53.62,53.9,51.31,51.4,3837519
15,2023-02-08,51.77,52.14,50.02,50.85,2336842
16,2023-02-09,51.13,52.24,50.85,51.03,1059953
17,2023-02-10,51.13,51.59,50.66,50.85,1018698
18,2023-02-13,50.85,50.85,48.08,48.26,2576503
19,2023-02-14,48.54,49.37,48.17,49.0,1606263
20,2023-02-15,49.37,50.11,48.72,49.56,1027859
21,2023-02-16,49.65,50.2,49.0,49.28,1205051
22,2023-02-17,49.46,49.56,48.72,49.0,997363
23,2023-02-20,49.0,50.57,48.82,50.57,1836040
24,2023-02-21,50.66,51.22,50.11,50.48,1656442
25,2023-02-22,49.74,50.2,49.0,49.0,2065406
26,2023-02-23,49.0,49.09,46.87,48.08,2571706
27,2023-02-24,48.45,48.45,46.69,46.78,1356714
28,2023-02-27,46.23,46.97,45.39,45.67,2140657
29,2023-02-28,46.04,46.6,44.93,46.32,1310604
30,2023-03-01,45.86,46.5,45.67,46.5,828033
31,2023-03-02,46.69,47.61,46.69,47.15,931226
32,2023-03-03,47.15,47.24,46.13,46.5,1021720
33,2023-03-06,47.15,47.15,46.32,46.78,1522378
34,2023-03-07,46.78,47.06,45.95,46.78,965336
35,2023-03-08,45.76,46.78,45.76,46.78,953252
36,2023-03-09,46.97,48.17,46.69,47.98,2007794
37,2023-03-10,47.52,49.37,47.34,48.63,2711801
38,2023-03-13,48.08,48.63,47.43,47.89,1562406
39,2023-03-14,47.71,48.45,47.15,47.71,1596070
40,2023-03-15,48.35,48.91,47.89,48.54,1571186
41,2023-03-16,47.98,48.08,47.24,48.08,1034382
42,2023-03-17,48.08,48.54,47.71,48.54,2142863
43,2023-03-20,48.08,48.35,46.78,46.78,1242551
44,2023-03-21,47.06,47.61,45.76,47.15,1552161
45,2023-03-22,47.52,47.52,46.78,46.78,458548
46,2023-03-23,46.32,47.15,46.32,46.78,656613
47,2023-03-24,46.97,47.15,46.6,46.78,722245
48,2023-03-27,46.78,47.24,46.69,47.15,877973
49,2023-03-28,47.24,48.26,47.15,47.8,1458607
50,2023-03-29,47.8,47.98,47.24,47.98,815832
51,2023-03-30,48.54,48.91,47.34,47.43,1269431
52,2023-03-31,47.61,47.71,46.97,47.43,1234607
53,2023-04-03,47.61,48.17,47.52,48.08,1735355
54,2023-04-04,48.35,49.74,48.08,49.37,3420840
55,2023-04-05,49.83,50.76,49.46,50.11,2345193
56,2023-04-06,50.2,50.66,49.09,49.09,2312686
57,2023-04-07,49.46,49.56,48.54,48.63,1346724
58,2023-04-10,48.82,49.74,48.63,48.72,1891017
59,2023-04-11,48.63,48.91,48.17,48.82,1252771
60,2023-04-12,49.0,49.83,48.82,49.0,1418272
61,2023-04-13,49.66,51.45,49.1,51.45,4833420
62,2023-04-14,51.83,53.34,51.17,51.17,4117623
63,2023-04-17,51.36,51.55,49.76,50.23,2455219
64,2023-04-18,50.23,51.64,50.13,50.89,2367539
65,2023-04-19,50.89,52.21,50.32,50.89,2517962
66,2023-04-20,50.89,51.26,50.42,50.51,1296928
67,2023-04-21,50.7,51.26,49.0,49.0,4260679
68,2023-04-24,49.0,49.57,48.34,48.34,1826734
69,2023-04-25,48.53,48.91,48.06,48.53,1807721
70,2023-04-26,48.53,48.63,47.97,48.44,1660818
71,2023-04-27,48.63,49.57,48.53,48.63,1664494
72,2023-04-28,48.91,49.47,48.44,48.53,1493741
73,2023-05-04,48.63,49.19,47.97,48.06,1698017
74,2023-05-05,48.06,48.72,48.06,48.44,1132037
75,2023-05-08,48.53,48.81,48.25,48.72,1295197
76,2023-05-09,49.0,49.19,48.44,48.72,1081763
77,2023-05-10,48.63,48.63,48.15,48.25,2019920
78,2023-05-11,48.53,49.85,48.34,49.19,3287961
79,2023-05-12,49.19,49.28,48.63,48.81,1492965
80,2023-05-15,49.0,49.1,48.53,48.53,1538157
81,2023-05-16,48.72,48.72,47.97,48.25,2527317
82,2023-05-17,48.06,48.81,47.87,47.87,1899222
83,2023-05-18,47.97,47.97,47.49,47.49,1815654
84,2023-05-19,47.59,47.78,47.12,47.31,1742458
85,2023-05-22,47.31,47.68,47.12,47.49,1473903
86,2023-05-23,47.68,49.0,47.4,48.44,2367935
87,2023-05-24,48.53,48.72,47.78,47.87,1069255
88,2023-05-25,47.68,47.87,47.31,47.78,1370043
89,2023-05-26,47.97,48.44,47.31,47.4,1559664
90,2023-05-29,47.78,49.0,47.4,48.53,2688087
91,2023-05-30,49.0,50.79,48.72,50.7,7510832
92,2023-05-31,50.98,51.17,50.23,50.51,3330035
93,2023-06-01,50.51,51.73,50.51,51.45,5157834
94,2023-06-02,51.83,53.05,51.55,53.05,6222804
95,2023-06-05,53.81,56.73,52.77,55.69,8440132
96,2023-06-06,55.79,56.54,55.22,56.35,3639274
97,2023-06-07,56.35,58.33,56.16,56.92,4556254
98,2023-06-08,56.92,57.48,55.6,55.6,4843056
99,2023-06-09,55.98,59.46,55.41,59.46,9224982
100,2023-06-12,60.59,61.16,58.99,60.78,3492799
101,2023-06-13,61.06,61.06,58.24,59.09,5375629
102,2023-06-14,59.37,59.93,57.95,57.95,3275826
103,2023-06-15,57.95,59.09,57.77,58.9,3446453
104,2023-06-16,59.46,60.12,57.86,57.86,4713665
105,2023-06-19,57.86,58.33,57.2,57.67,3235931
106,2023-06-20,58.24,59.27,57.67,59.27,2821591
107,2023-06-21,59.37,60.22,59.18,60.03,3684307
108,2023-06-22,60.31,62.57,59.84,62.19,6398309
109,2023-06-23,62.1,62.19,61.06,61.54,3415770
110,2023-06-26,61.25,62.48,60.12,61.16,3843947
111,2023-06-27,61.25,63.14,60.97,61.72,4163124
112,2023-06-28,61.72,62.76,61.63,61.63,2913097
113,2023-06-29,62.01,62.01,59.37,59.37,6250411
114,2023-06-30,59.37,60.5,59.18,60.12,1925446
