,time,open,high,low,close,volume
0,2023-01-11,72.26,72.61,71.71,71.78,108289
1,2023-01-12,71.78,72.47,71.78,72.33,236970
2,2023-01-13,72.06,72.68,71.92,71.99,193206
3,2023-01-16,72.19,72.19,70.95,70.95,245082
4,2023-01-17,70.95,72.13,70.61,71.78,290557
5,2023-01-18,72.26,72.81,71.78,71.85,152009
6,2023-01-19,72.13,72.26,71.3,71.99,249968
7,2023-01-27,72.4,75.91,72.4,74.54,535858
8,2023-01-30,75.09,75.16,73.43,73.43,267740
9,2023-01-31,73.43,74.05,72.75,73.23,283944
10,2023-02-01,73.64,76.19,73.02,73.43,733142
11,2023-02-02,73.71,74.4,73.3,73.71,294056
12,2023-02-03,73.57,73.71,72.47,72.47,259121
13,2023-02-06,72.47,73.71,71.78,73.02,242382
14,2023-02-07,73.5,74.26,72.33,73.23,287622
15,2023-02-08,73.23,74.4,73.16,73.92,273595
16,2023-02-09,74.33,74.95,73.92,74.47,314948
17,2023-02-10,74.47,74.47,73.09,73.09,202618
18,2023-02-13,73.09,74.26,72.54,72.95,201702
19,2023-02-14,73.23,73.71,72.75,72.75,108393
20,2023-02-15,73.02,74.05,72.81,73.78,181832
21,2023-02-16,73.3,75.02,73.3,74.33,261175
22,2023-02-17,74.05,74.33,73.5,73.85,186611
23,2023-02-20,73.92,75.09,73.92,75.09,200451
24,2023-02-21,74.74,75.43,74.61,74.61,216401
25,2023-02-22,74.05,75.78,73.64,73.71,240858
26,2023-02-23,74.12,74.12,72.19,72.88,174978
27,2023-02-24,73.02,74.05,72.33,73.37,127537
28,2023-02-27,73.37,73.37,70.95,71.64,245564
29,2023-02-28,72.33,72.61,71.23,71.3,73808
30,2023-03-01,71.09,72.95,71.09,72.4,113040
31,2023-03-02,72.33,72.88,72.06,72.33,115151
32,2023-03-03,72.95,72.95,70.82,71.99,184697
33,2023-03-06,72.33,72.68,71.37,71.44,92025
34,2023-03-07,72.26,72.68,71.57,71.99,203826
35,2023-03-08,71.51,72.95,71.44,72.95,147912
36,2023-03-09,72.54,74.33,72.54,73.57,190929
37,2023-03-10,73.23,73.92,72.68,73.71,229702
38,2023-03-13,73.71,74.74,72.95,74.47,347167
39,2023-03-14,73.23,74.4,72.68,74.19,185231
40,2023-03-15,74.19,74.4,73.43,73.71,196394
41,2023-03-16,73.71,73.71,71.78,72.06,277848
42,2023-03-17,72.54,73.16,71.44,71.44,226885
43,2023-03-20,71.64,72.06,70.89,70.95,189661
44,2023-03-21,71.09,71.64,70.68,71.09,112167
45,2023-03-22,71.64,71.64,70.75,70.89,126378
46,2023-03-23,70.61,70.95,70.27,70.61,146774
47,2023-03-24,70.68,71.37,70.33,70.54,251706
48,2023-03-27,70.61,71.02,70.27,70.27,102356
49,2023-03-28,70.54,71.71,70.54,71.44,270856
50,2023-03-29,71.44,71.44,70.68,70.82,99384
51,2023-03-30,70.95,71.57,70.54,70.54,139070
52,2023-03-31,70.54,71.09,70.13,70.27,247273
53,2023-04-03,71.37,71.51,70.27,70.61,322416
54,2023-04-04,71.3,71.3,70.13,70.2,565204
55,2023-04-05,70.89,70.89,70.13,70.2,218046
56,2023-04-06,70.75,70.75,69.85,69.92,307226
57,2023-04-07,69.85,70.2,69.58,69.71,145398
58,2023-04-10,69.65,70.06,68.54,68.54,468327
59,2023-04-11,68.54,69.16,68.54,68.82,240208
60,2023-04-12,68.89,69.65,68.61,68.75,280644
61,2023-04-13,69.51,69.51,68.68,68.89,181526
