,time,open,high,low,close,volume
0,2020-03-04,11.4,11.49,10.87,11.05,1656538
1,2020-03-05,11.05,11.22,10.87,11.05,1055157
2,2020-03-06,11.14,11.14,10.79,10.96,1305340
3,2020-03-17,9.21,10.08,8.42,9.82,1626550
4,2020-03-18,10.08,10.08,9.16,9.21,1432550
5,2020-03-19,9.03,9.03,8.59,8.59,858400
6,2020-03-20,8.59,8.77,8.0,8.01,1380930
7,2020-03-23,7.56,7.57,7.45,7.45,1698240
8,2020-03-24,7.23,7.8,7.23,7.63,683830
9,2020-03-25,7.72,7.98,7.64,7.8,1559590
10,2020-03-26,7.72,7.88,7.5,7.5,811930
11,2020-03-27,7.54,7.89,7.33,7.42,612810
12,2020-03-30,7.23,7.54,6.9,7.28,1792710
13,2020-03-31,7.01,7.63,7.01,7.35,572600
14,2020-04-01,7.35,7.52,7.1,7.51,262480
15,2020-04-03,7.54,7.8,7.45,7.63,356910
16,2020-04-06,7.72,7.98,7.67,7.98,591020
17,2020-04-07,7.98,7.98,7.73,7.86,277730
18,2020-04-08,7.8,7.88,7.72,7.88,212500
19,2020-04-09,7.98,8.36,7.97,8.29,574950
20,2020-04-10,8.72,8.86,8.68,8.86,934920
21,2020-04-13,9.47,9.47,8.9,8.9,2160110
22,2020-04-14,9.12,9.51,8.77,9.47,957110
23,2020-04-15,9.21,9.91,9.21,9.78,788140
24,2020-04-16,9.65,9.78,9.29,9.47,634220
25,2020-04-17,9.69,9.78,9.38,9.47,649460
26,2020-04-20,9.65,9.86,9.38,9.38,1221230
27,2020-04-21,9.29,9.38,8.73,8.73,1336580
28,2020-04-22,8.51,9.12,8.42,8.81,867890
29,2020-04-23,9.03,9.08,8.77,8.86,653970
30,2020-04-24,8.86,8.9,8.72,8.73,837180
31,2020-04-27,8.86,9.34,8.86,9.34,1663520
32,2020-04-28,9.65,9.82,9.38,9.47,1444690
33,2020-04-29,9.47,9.95,9.47,9.78,1497360
34,2020-05-04,9.56,9.65,9.29,9.38,951850
35,2020-05-05,9.38,9.82,8.77,9.73,1071460
36,2020-05-06,9.78,10.39,9.78,10.39,2682000
37,2020-05-07,10.52,11.09,10.35,10.96,2699550
38,2020-05-08,10.96,11.05,10.52,10.52,1499440
39,2020-05-11,10.48,10.96,10.3,10.87,1857810
40,2020-05-12,10.7,11.18,10.57,10.96,1423970
41,2020-05-13,10.96,11.49,10.87,11.05,3516310
42,2020-05-14,11.05,11.05,10.79,10.79,1400950
43,2020-05-15,10.79,10.92,10.52,10.57,1116140
44,2020-05-18,10.57,10.83,10.35,10.79,680550
45,2020-05-19,11.09,11.18,10.79,10.79,2001060
46,2020-05-20,10.79,11.27,10.79,11.22,1345440
47,2020-05-21,11.31,11.62,11.14,11.22,2381570
48,2020-05-22,11.14,11.27,10.87,10.96,1401180
49,2020-05-25,11.05,11.53,10.87,11.49,3891580
50,2020-05-26,11.71,11.79,11.44,11.49,2026130
51,2020-05-27,11.57,11.57,11.14,11.14,2320830
52,2020-05-28,11.09,11.31,11.0,11.18,1925610
53,2020-05-29,11.14,11.31,11.09,11.18,1380440
54,2020-06-01,11.22,11.36,11.22,11.27,1375080
55,2020-06-02,11.27,11.36,10.96,11.0,1401600
56,2020-06-03,11.0,11.4,10.96,11.4,1682780
57,2020-06-04,11.4,11.53,11.14,11.14,1429580
58,2020-06-05,11.14,11.31,11.05,11.31,1368660
59,2020-06-08,11.4,11.62,11.27,11.4,3376560
60,2020-06-09,11.4,12.19,11.4,11.97,4848970
61,2020-06-10,11.97,11.97,11.53,11.62,2746460
62,2020-06-11,11.62,11.88,10.96,10.96,3535100
63,2020-06-12,10.52,10.92,10.35,10.65,3343630
64,2020-06-15,10.96,11.4,10.74,10.87,3865010
65,2020-06-16,11.4,11.4,11.09,11.18,1094900
66,2020-06-17,11.22,11.22,10.87,10.87,1329740
67,2020-06-18,10.61,11.22,10.61,10.79,1281740
68,2020-06-19,10.92,11.18,10.92,11.05,1155640
69,2020-06-22,10.92,11.14,10.87,10.92,1125510
70,2020-06-23,10.92,11.22,10.83,11.0,1512990
71,2020-06-24,11.05,11.05,10.74,10.79,967980
72,2020-06-25,10.7,10.79,10.57,10.57,1042720
73,2020-06-26,10.61,10.83,10.43,10.43,1459690
74,2020-06-29,10.43,10.52,9.91,10.0,2278110
75,2020-06-30,10.0,10.3,9.65,9.65,1132600
76,2020-07-01,9.69,10.17,9.69,10.08,736830
77,2020-07-02,10.0,10.26,9.95,10.13,878030
78,2020-07-03,10.17,10.39,10.17,10.22,1155100
79,2020-07-06,10.35,10.43,10.26,10.43,575100
80,2020-07-07,10.43,10.48,10.17,10.22,1010980
81,2020-07-08,10.22,10.35,10.0,10.22,833270
82,2020-07-09,10.22,10.39,10.22,10.39,988260
83,2020-07-10,10.35,10.43,10.3,10.43,657210
84,2020-07-13,10.43,10.83,10.43,10.43,1994010
85,2020-07-14,10.61,10.79,10.52,10.61,1279860
86,2020-07-15,10.79,10.79,10.61,10.61,503920
87,2020-07-16,10.65,10.74,10.52,10.57,751420
88,2020-07-17,10.48,10.74,10.43,10.61,900470
89,2020-07-20,10.61,10.92,10.57,10.61,1427490
90,2020-07-21,10.7,10.7,10.43,10.48,755830
91,2020-07-22,10.48,10.61,10.26,10.3,730770
92,2020-07-23,10.26,10.3,10.08,10.08,1064300
93,2020-07-24,10.13,10.43,9.65,9.65,2730370
94,2020-07-27,9.21,9.38,8.99,8.99,2885330
95,2020-07-28,8.81,9.29,8.81,9.29,1756390
96,2020-07-29,8.77,9.08,8.65,8.99,1869490
97,2020-07-30,8.94,9.03,8.81,8.86,1120870
98,2020-07-31,8.59,8.99,8.59,8.77,998760
99,2020-08-03,8.77,9.08,8.77,9.08,820600
100,2020-08-04,9.21,9.29,9.08,9.16,995960
101,2020-08-05,9.16,9.51,9.03,9.34,1450080
102,2020-08-06,9.29,9.43,9.25,9.29,608120
103,2020-08-07,9.25,9.38,9.21,9.29,631730
104,2020-08-10,9.34,9.91,9.29,9.78,2894230
105,2020-08-11,9.86,9.86,9.65,9.73,737560
106,2020-08-12,9.73,9.78,9.65,9.73,597590
107,2020-08-13,9.65,10.0,9.65,9.65,1959970
108,2020-08-14,9.65,9.78,9.47,9.56,974910
109,2020-08-17,9.56,9.6,9.38,9.6,750960
110,2020-08-18,9.6,9.86,9.56,9.69,1218730
111,2020-08-19,9.82,10.26,9.78,10.08,2352360
112,2020-08-20,10.08,10.35,10.08,10.26,2233930
113,2020-08-21,10.26,10.43,10.17,10.39,1617030
114,2020-08-24,10.52,10.61,10.39,10.48,1577760
115,2020-08-25,10.52,10.52,10.3,10.3,1301610
116,2020-08-26,10.22,10.65,10.22,10.43,1924850
117,2020-08-27,10.48,10.92,10.48,10.83,2316970
118,2020-08-28,10.83,10.92,10.57,10.57,1574520
119,2020-08-31,10.61,10.65,10.3,10.39,1824490
120,2020-09-01,10.35,10.65,10.26,10.65,1998840
121,2020-09-03,10.7,10.74,10.57,10.65,1000990
122,2020-09-04,10.43,10.57,10.39,10.52,1132370
123,2020-09-07,10.43,10.7,10.35,10.43,1491100
124,2020-09-08,10.57,10.96,10.52,10.7,4063740
125,2020-09-09,10.7,10.96,10.7,10.87,2240400
126,2020-09-10,11.0,11.27,10.87,11.22,2360230
127,2020-09-11,11.14,11.27,11.0,11.27,1349140
128,2020-09-14,11.22,11.27,11.05,11.05,2150970
129,2020-09-15,11.14,11.22,10.87,10.96,2087430
130,2020-09-16,10.96,11.18,10.92,11.09,1136120
131,2020-09-17,11.14,11.27,11.05,11.18,1206290
132,2020-09-18,11.18,11.22,11.14,11.18,959790
133,2020-09-21,11.22,11.4,11.14,11.27,1928720
134,2020-09-22,11.36,11.36,11.18,11.27,1392490
135,2020-09-23,11.31,11.31,11.08,11.13,1441290
136,2020-09-24,11.04,11.27,11.04,11.13,1267760
137,2020-09-25,11.13,11.18,11.04,11.08,615730
138,2020-09-28,11.08,11.18,11.08,11.18,1059040
139,2020-09-29,11.31,11.54,11.13,11.18,3437390
140,2020-09-30,11.18,11.41,11.08,11.36,1047030
141,2020-10-01,11.5,11.5,11.31,11.36,1186560
142,2020-10-02,11.36,11.41,10.9,11.27,2204010
143,2020-10-05,11.36,12.05,11.27,11.96,5306360
144,2020-10-06,12.14,12.33,11.82,11.87,2550590
145,2020-10-07,11.68,11.87,11.68,11.73,1706390
146,2020-10-08,11.82,12.28,11.68,12.19,5940910
147,2020-10-09,12.33,12.69,12.23,12.6,5300430
148,2020-10-12,12.6,13.02,12.46,12.56,5012600
