,time,open,high,low,close,volume
0,2020-03-12,6.19,6.19,5.84,5.84,2178450
1,2020-03-13,5.44,6.01,5.44,5.89,3270420
2,2020-03-16,5.72,5.89,5.48,5.56,2497160
3,2020-03-17,5.28,5.78,5.2,5.43,3084830
4,2020-03-18,5.62,5.62,5.39,5.46,1712110
5,2020-03-19,5.38,5.38,5.08,5.35,2289340
6,2020-03-20,5.3,5.35,5.06,5.35,1539210
7,2020-03-23,5.02,5.02,4.98,4.98,695880
8,2020-03-24,4.98,5.05,4.79,4.87,1649110
9,2020-03-25,5.1,5.1,4.9,5.1,2066330
10,2020-03-26,5.07,5.1,4.84,5.02,3422990
11,2020-03-27,4.99,4.99,4.67,4.67,1966000
12,2020-03-30,4.48,4.48,4.35,4.42,1797420
13,2020-03-31,4.6,4.69,4.12,4.56,1498980
14,2020-04-01,4.58,4.85,4.57,4.85,752190
15,2020-04-03,4.89,5.01,4.87,5.01,1133750
16,2020-04-06,5.02,5.25,5.02,5.25,2020520
17,2020-04-07,5.25,5.35,5.15,5.31,1134650
18,2020-04-08,5.25,5.3,5.14,5.29,1080520
19,2020-04-09,5.29,5.33,5.16,5.29,2083860
20,2020-04-10,5.16,5.25,5.07,5.12,1576090
21,2020-04-13,5.11,5.17,4.96,5.17,1621270
22,2020-04-14,5.19,5.19,5.01,5.12,1069550
23,2020-04-15,5.12,5.29,5.12,5.29,1176120
24,2020-04-16,5.28,5.43,5.22,5.37,1764670
25,2020-04-17,5.56,5.63,5.49,5.51,2464460
26,2020-04-20,5.58,5.62,5.44,5.47,1505740
27,2020-04-21,5.33,5.38,5.11,5.15,2215800
28,2020-04-22,4.99,5.35,4.94,5.33,1488030
29,2020-04-23,5.38,5.43,5.17,5.28,2254760
30,2020-04-24,5.28,5.28,5.14,5.28,2076040
31,2020-04-27,5.22,5.33,5.19,5.25,1764890
32,2020-04-28,5.25,5.3,5.15,5.26,1656080
33,2020-04-29,5.26,5.3,5.24,5.29,2104730
34,2020-05-04,5.29,5.54,5.26,5.52,1813200
35,2020-05-05,5.53,5.56,5.4,5.54,1177050
36,2020-05-06,5.53,5.53,5.42,5.48,393860
37,2020-05-07,5.58,5.58,5.43,5.46,1204160
38,2020-05-08,5.46,5.83,5.46,5.74,2216860
39,2020-05-11,5.74,5.87,5.63,5.78,1469200
40,2020-05-12,5.78,5.87,5.75,5.81,1016600
41,2020-05-13,5.79,6.12,5.69,6.07,2269340
42,2020-05-14,5.94,6.02,5.89,5.89,860840
43,2020-05-15,5.89,6.02,5.78,5.85,561390
44,2020-05-18,5.81,5.94,5.78,5.94,880590
45,2020-05-19,6.07,6.12,5.97,6.03,1318090
46,2020-05-20,5.97,6.03,5.97,6.01,435170
