,time,open,high,low,close,volume
0,2023-01-11,15.15,15.57,15.08,15.3,25723037
1,2023-01-12,15.23,15.34,15.08,15.19,20179348
2,2023-01-13,15.34,15.42,15.08,15.11,19181562
3,2023-01-16,15.15,15.64,15.11,15.34,22332412
4,2023-01-17,15.49,16.4,15.49,16.4,41612075
5,2023-01-18,16.67,16.7,16.33,16.44,25861024
6,2023-01-19,16.36,16.55,15.79,16.02,43951678
7,2023-01-27,15.91,16.33,15.79,16.29,26536613
8,2023-01-30,16.44,16.82,16.17,16.48,42356101
9,2023-01-31,16.59,16.74,16.44,16.74,28117407
10,2023-02-01,16.82,17.16,15.91,15.98,51921554
11,2023-02-02,16.06,16.44,15.98,16.14,25396828
12,2023-02-03,16.25,16.33,15.91,15.98,20963608
13,2023-02-06,15.98,16.02,15.57,16.02,22290665
14,2023-02-07,16.02,16.06,14.92,14.96,43400365
15,2023-02-08,14.96,15.98,14.96,15.79,33822546
16,2023-02-09,15.91,16.1,15.61,15.61,16349782
17,2023-02-10,15.68,15.76,15.26,15.53,15835857
18,2023-02-13,15.45,15.45,14.96,15.3,18750139
19,2023-02-14,15.38,15.83,15.34,15.61,17300348
20,2023-02-15,15.61,15.95,15.34,15.76,20082870
21,2023-02-16,15.87,16.21,15.61,16.14,23923522
22,2023-02-17,16.14,16.17,15.91,15.91,12294342
23,2023-02-20,15.91,16.59,15.91,16.59,24755857
24,2023-02-21,16.7,16.89,16.36,16.36,20653398
25,2023-02-22,16.21,16.74,16.06,16.06,32644751
26,2023-02-23,16.02,16.29,15.45,16.29,33600491
27,2023-02-24,16.29,16.29,15.64,15.76,14604476
28,2023-02-27,15.45,15.57,15.11,15.23,31325056
29,2023-02-28,15.49,15.53,15.08,15.15,15225174
30,2023-03-01,15.15,15.83,15.0,15.83,18627062
31,2023-03-02,15.91,15.98,15.61,15.61,8872489
32,2023-03-03,15.76,15.98,15.42,15.42,13614423
33,2023-03-06,15.64,15.79,15.45,15.45,11372148
34,2023-03-07,15.61,16.17,15.57,15.98,29332840
35,2023-03-08,15.83,16.06,15.76,16.06,16164479
36,2023-03-09,16.06,16.33,16.06,16.06,23283259
37,2023-03-10,16.02,16.25,15.91,16.14,22466284
38,2023-03-13,15.95,16.21,15.83,15.98,20936991
39,2023-03-14,15.95,15.98,15.3,15.38,30875738
40,2023-03-15,15.76,16.14,15.61,16.14,26788560
41,2023-03-16,15.91,15.98,15.53,15.79,30255725
42,2023-03-17,15.95,15.95,15.45,15.45,33964905
43,2023-03-20,15.45,15.61,15.15,15.15,22998039
44,2023-03-21,15.3,15.57,15.04,15.49,19069859
45,2023-03-22,15.57,15.61,15.26,15.38,12862864
46,2023-03-23,15.3,15.45,15.19,15.45,10748158
47,2023-03-24,15.49,15.53,15.38,15.45,13694808
48,2023-03-27,15.45,15.83,15.42,15.76,20275804
49,2023-03-28,15.83,15.91,15.68,15.68,12334554
50,2023-03-29,15.68,15.98,15.68,15.76,17949339
51,2023-03-30,15.91,16.02,15.72,15.76,20964474
52,2023-03-31,15.76,15.83,15.42,15.76,23777566
53,2023-04-03,15.95,15.98,15.79,15.91,21377967
54,2023-04-04,16.02,16.06,15.87,15.98,19873334
55,2023-04-05,15.98,16.29,15.87,16.29,25532123
56,2023-04-06,16.33,16.59,16.21,16.29,27853049
57,2023-04-07,16.29,16.36,15.98,16.06,18568535
58,2023-04-10,16.1,16.17,15.61,15.68,26557356
59,2023-04-11,15.68,15.79,15.61,15.76,14422264
60,2023-04-12,15.83,15.83,15.64,15.72,10644466
61,2023-04-13,15.76,15.76,15.42,15.49,14719996
62,2023-04-14,15.57,15.79,15.53,15.64,13612910
63,2023-04-17,15.61,15.83,15.61,15.79,9280313
64,2023-04-18,15.83,15.91,15.76,15.87,11576052
65,2023-04-19,15.95,15.95,15.76,15.76,10483969
66,2023-04-20,15.76,15.83,15.72,15.76,6553528
67,2023-04-21,15.76,15.79,15.68,15.68,11148137
68,2023-04-24,15.68,15.76,15.57,15.64,10579651
69,2023-04-25,15.76,16.1,15.68,15.95,18470293
70,2023-04-26,15.95,16.67,15.83,16.67,26830205
71,2023-04-27,16.67,16.67,16.36,16.44,17145094
72,2023-04-28,16.44,16.51,16.21,16.4,15758312
73,2023-05-04,16.25,16.36,16.06,16.14,16549829
74,2023-05-05,16.14,16.44,16.06,16.25,10793513
75,2023-05-08,16.33,16.48,16.25,16.36,10458125
76,2023-05-09,16.36,16.78,16.36,16.51,22423012
77,2023-05-10,16.51,16.59,16.4,16.44,8746008
78,2023-05-11,16.51,16.63,16.36,16.48,13648978
79,2023-05-12,16.48,17.04,16.36,16.93,45123846
80,2023-05-15,17.01,17.12,16.74,16.74,17703594
81,2023-05-16,16.74,16.89,16.59,16.67,17812801
82,2023-05-17,16.67,16.74,16.48,16.51,26005532
83,2023-05-18,16.59,16.82,16.51,16.63,18617797
84,2023-05-19,16.67,16.74,16.4,16.51,11520435
85,2023-05-22,16.51,16.74,16.48,16.59,14875470
86,2023-05-23,16.63,16.7,16.36,16.44,13626699
87,2023-05-24,16.59,16.59,16.14,16.14,20282151
88,2023-05-25,16.14,16.25,16.06,16.06,13265005
89,2023-05-26,16.14,16.21,15.79,15.98,16099796
90,2023-05-29,16.14,16.25,16.06,16.25,11099584
91,2023-05-30,16.29,16.36,16.1,16.17,13466138
92,2023-05-31,16.21,16.25,16.02,16.06,13094089
93,2023-06-01,16.02,16.21,15.95,16.21,10843625
94,2023-06-02,16.29,16.51,16.25,16.36,18876879
95,2023-06-05,16.51,16.7,16.36,16.4,20053288
96,2023-06-06,16.44,16.55,16.33,16.48,11807137
97,2023-06-07,16.67,17.27,16.67,17.12,55534195
98,2023-06-08,17.2,17.54,17.2,17.27,42538792
99,2023-06-09,17.27,17.35,17.04,17.35,23882045
100,2023-06-12,17.5,17.54,17.04,17.39,22228815
101,2023-06-13,17.42,17.76,17.35,17.73,36962266
102,2023-06-14,17.76,17.76,17.5,17.5,23485754
103,2023-06-15,17.42,17.61,17.42,17.54,17479766
104,2023-06-16,17.61,18.03,17.54,17.76,33028134
105,2023-06-19,17.76,17.8,17.65,17.69,13187994
106,2023-06-20,17.69,17.92,17.65,17.92,14615348
107,2023-06-21,17.95,18.67,17.8,18.64,35625023
108,2023-06-22,18.71,18.9,18.45,18.83,23051612
109,2023-06-23,18.83,19.36,18.75,19.24,29173843
110,2023-06-26,19.24,19.32,18.71,19.09,20413189
111,2023-06-27,19.2,19.54,19.01,19.54,19957295
112,2023-06-28,19.7,20.23,19.62,20.15,30336920
113,2023-06-29,20.19,20.23,19.54,19.54,36818245
114,2023-06-30,19.47,19.85,19.43,19.81,23081616
115,2023-07-03,19.85,20.04,19.62,19.85,17066212
116,2023-07-04,19.81,19.89,19.62,19.89,19737741
117,2023-07-05,20.0,20.61,19.89,20.42,31821993
118,2023-07-06,20.38,20.57,20.08,20.45,27624517
119,2023-07-07,20.38,20.79,20.08,20.79,22629342
120,2023-07-10,20.79,21.17,20.72,20.98,24286165
121,2023-07-11,21.06,21.25,20.64,20.68,24030294
122,2023-07-12,20.68,20.79,20.19,20.45,27776627
123,2023-07-13,20.83,20.83,20.38,20.49,14016102
124,2023-07-14,20.57,20.83,20.49,20.83,17089358
125,2023-07-17,20.98,21.02,20.61,20.68,12546558
126,2023-07-18,20.68,20.72,20.49,20.61,12410918
127,2023-07-19,20.53,20.98,20.49,20.76,15390616
128,2023-07-20,20.68,21.36,20.68,21.36,30882141
129,2023-07-21,21.48,21.51,21.29,21.51,18469427
130,2023-07-24,21.55,21.67,21.21,21.4,17177312
131,2023-07-25,21.4,21.48,21.21,21.4,20236835
132,2023-07-26,21.4,21.55,21.33,21.51,22877714
133,2023-07-27,21.51,21.74,21.29,21.51,21329428
134,2023-07-28,21.51,21.67,21.33,21.44,22714371
135,2023-07-31,21.36,21.4,20.72,21.36,45551883
136,2023-08-01,21.29,21.29,20.83,20.83,28023076
137,2023-08-02,20.76,21.1,20.64,20.83,18537961
138,2023-08-03,20.72,20.83,20.08,20.34,58051701
139,2023-08-04,20.3,20.83,20.3,20.72,22184255
140,2023-08-07,20.87,21.02,20.68,20.87,23106096
141,2023-08-08,20.91,21.14,20.57,20.61,25583863
142,2023-08-09,20.61,21.1,20.49,21.06,42678531
143,2023-08-10,21.14,21.14,20.68,20.72,17074796
144,2023-08-11,20.76,21.02,20.57,20.98,23393495
145,2023-08-14,21.06,21.48,20.95,21.33,44967169
146,2023-08-15,21.33,21.4,21.1,21.17,17950361
147,2023-08-16,21.17,21.21,20.95,21.17,15004683
148,2023-08-17,21.21,21.74,21.21,21.29,46626489
149,2023-08-18,21.14,21.21,19.85,20.08,46375518
150,2023-08-21,20.04,20.11,19.62,19.85,31459459
151,2023-08-22,19.85,19.96,19.01,19.81,35193240
152,2023-08-23,19.96,20.04,19.43,19.43,21785413
153,2023-08-24,19.43,19.92,19.39,19.92,16604349
154,2023-08-25,19.85,20.0,19.66,19.66,21857175
155,2023-08-28,19.7,20.34,19.7,20.34,22830709
156,2023-08-29,20.38,20.57,20.23,20.45,17980997
157,2023-08-30,20.45,20.64,20.26,20.61,20154472
158,2023-08-31,20.76,21.14,20.68,20.91,25946856
159,2023-09-05,21.06,21.17,20.64,21.06,24514770
160,2023-09-06,21.02,21.97,20.76,21.97,52603239
161,2023-09-07,21.97,22.2,21.59,21.7,33692821
162,2023-09-08,21.59,22.08,21.51,21.78,33810390
163,2023-09-11,21.97,22.01,21.02,21.21,47716515
164,2023-09-12,21.21,21.78,20.98,21.78,22627180
165,2023-09-13,21.82,22.27,21.4,21.51,49212652
166,2023-09-14,21.51,21.63,21.02,21.06,34694116
167,2023-09-15,21.14,21.29,20.91,20.91,24759459
168,2023-09-18,20.91,21.29,20.61,20.91,20904221
169,2023-09-19,21.21,21.33,20.83,21.33,21041176
170,2023-09-20,21.33,21.63,21.25,21.51,26611234
171,2023-09-21,21.51,22.04,21.33,21.51,42936550
172,2023-09-22,21.02,21.17,20.26,20.68,50601830
173,2023-09-25,20.45,20.83,19.47,19.7,36891233
174,2023-09-26,19.58,20.3,19.58,19.85,30849974
175,2023-09-27,19.81,20.23,19.81,20.08,20332879
176,2023-09-28,20.15,20.34,19.85,20.15,16571772
177,2023-09-29,20.3,20.34,19.89,19.92,15025050
178,2023-10-02,19.92,20.04,19.7,19.85,11421182
179,2023-10-03,19.77,19.77,18.71,18.79,40656275
180,2023-10-04,18.56,19.32,18.18,19.13,21101921
181,2023-10-05,19.24,19.32,18.83,18.86,10432613
182,2023-10-06,18.83,19.17,18.67,18.9,15257421
183,2023-10-09,18.9,19.39,18.9,19.32,11439444
184,2023-10-10,19.47,19.89,19.39,19.7,20013352
185,2023-10-11,19.81,19.89,19.54,19.85,13510293
186,2023-10-12,19.92,19.92,19.39,19.54,22066027
187,2023-10-13,19.39,19.51,18.98,19.51,19579926
188,2023-10-16,19.51,19.54,18.94,18.94,16214426
189,2023-10-17,19.09,19.28,18.79,18.79,14711646
190,2023-10-18,18.79,18.9,17.58,18.18,30941169
191,2023-10-19,18.26,18.33,17.76,17.95,20817862
192,2023-10-20,17.95,18.45,17.69,18.45,16376045
193,2023-10-23,18.45,18.45,17.95,18.18,11956440
194,2023-10-24,18.22,18.48,17.92,18.18,9719646
195,2023-10-25,18.22,18.64,18.22,18.22,12068922
196,2023-10-26,18.03,18.07,17.12,17.27,31049018
197,2023-10-27,17.61,17.8,17.31,17.69,15022932
198,2023-10-30,17.69,17.99,17.42,17.42,16180859
199,2023-10-31,17.8,17.8,17.35,17.42,20798250
200,2023-11-01,17.42,18.14,17.39,18.14,19151053
201,2023-11-02,18.33,19.39,18.26,19.13,26653194
202,2023-11-03,19.24,19.32,18.75,19.01,20508387
203,2023-11-06,19.2,19.62,19.09,19.51,20389981
204,2023-11-07,19.54,19.85,19.28,19.54,19872495
205,2023-11-08,19.54,20.42,19.39,20.42,34863736
206,2023-11-09,20.42,20.76,20.15,20.23,31376600
207,2023-11-10,20.0,20.53,19.96,20.08,28039532
208,2023-11-13,20.08,20.91,20.08,20.61,44016605
209,2023-11-14,20.76,20.83,20.23,20.45,23269182
210,2023-11-15,20.87,21.06,20.45,20.45,34627351
211,2023-11-16,20.34,20.61,20.3,20.61,16268486
212,2023-11-17,20.61,20.76,19.92,20.08,38545535
213,2023-11-20,19.77,20.38,19.77,20.19,18258656
214,2023-11-21,20.45,20.83,20.42,20.49,26712452
215,2023-11-22,20.45,20.61,20.38,20.61,17022639
216,2023-11-23,20.68,20.72,19.58,19.58,21692399
217,2023-11-24,19.7,20.0,19.36,20.0,26238500
218,2023-11-27,20.08,20.26,19.85,19.92,16731713
219,2023-11-28,20.0,20.23,19.73,20.23,18870086
220,2023-11-29,20.23,20.53,20.19,20.45,22512100
221,2023-11-30,20.53,20.61,20.11,20.11,21215143
222,2023-12-01,20.3,20.53,20.04,20.38,15407548
223,2023-12-04,20.61,21.02,20.49,20.83,42364507
224,2023-12-05,20.83,20.87,20.57,20.64,22519458
225,2023-12-06,20.64,20.91,20.61,20.91,18657441
226,2023-12-07,20.95,21.14,20.42,20.91,49444696
227,2023-12-08,21.06,21.4,20.83,20.98,52799031
228,2023-12-11,20.98,21.06,20.68,20.83,17852876
229,2023-12-12,20.83,21.36,20.83,21.17,31693150
230,2023-12-13,21.29,21.36,20.68,20.72,33356819
231,2023-12-14,20.87,20.87,20.49,20.49,31784558
232,2023-12-15,20.53,20.61,20.26,20.3,34693422
233,2023-12-18,20.38,20.45,20.15,20.15,14883440
234,2023-12-19,20.15,20.61,20.11,20.61,20502049
235,2023-12-20,20.61,20.72,20.53,20.61,17666787
236,2023-12-21,20.53,20.68,20.42,20.61,14312119
237,2023-12-22,20.61,20.72,20.49,20.49,17434981
238,2023-12-25,20.57,20.91,20.57,20.79,20414974
239,2023-12-26,20.76,21.14,20.76,21.06,33753533
240,2023-12-27,21.1,21.21,21.02,21.02,19860170
241,2023-12-28,21.02,21.36,20.95,21.17,31321948
242,2023-12-29,21.17,21.29,21.06,21.17,20475453
243,2024-01-02,21.29,21.33,20.79,20.79,22196509
244,2024-01-03,20.76,21.06,20.76,21.06,18581664
245,2024-01-04,21.06,21.29,20.98,21.02,38548706
246,2024-01-05,21.02,21.14,20.87,21.06,17340693
247,2024-01-08,21.17,21.4,21.1,21.1,31258576
248,2024-01-09,21.14,21.17,20.83,20.98,28631164
249,2024-01-10,20.98,21.02,20.64,20.72,32654545
250,2024-01-11,20.79,20.95,20.76,20.83,15271976
251,2024-01-12,20.72,20.79,20.49,20.57,28640291
252,2024-01-15,20.61,20.79,20.53,20.53,12506342
253,2024-01-16,20.53,21.06,20.49,21.06,19773999
254,2024-01-17,21.1,21.17,20.95,20.95,23419285
255,2024-01-18,20.98,21.1,20.91,20.95,12645044
256,2024-01-19,21.02,21.14,20.91,21.06,14866159
257,2024-01-22,21.21,21.7,21.1,21.44,66094584
258,2024-01-23,21.55,21.59,21.4,21.48,21686564
259,2024-01-24,21.44,21.59,21.4,21.4,16144379
