,time,open,high,low,close,volume
0,2023-01-11,9.08,9.26,8.95,8.95,11012157
1,2023-01-12,9.05,9.05,8.89,8.98,8387679
2,2023-01-13,9.05,9.2,8.98,9.08,11190654
3,2023-01-16,9.11,9.11,8.92,9.08,7923572
4,2023-01-17,9.08,9.36,9.08,9.23,11383745
5,2023-01-18,9.29,9.42,9.2,9.26,6704494
6,2023-01-19,9.29,9.36,9.2,9.26,8766707
7,2023-01-27,9.32,9.42,9.17,9.29,11521868
8,2023-01-30,9.29,9.29,8.98,8.98,13835919
9,2023-01-31,8.89,9.23,8.86,9.17,9974037
10,2023-02-01,9.17,9.26,8.55,8.55,14502697
11,2023-02-02,8.61,8.67,8.39,8.46,11118169
12,2023-02-03,8.58,8.61,8.49,8.61,7658555
13,2023-02-06,8.55,8.67,8.39,8.61,5605384
14,2023-02-07,8.67,8.8,8.39,8.39,8558079
15,2023-02-08,8.46,8.8,8.39,8.61,9310271
16,2023-02-09,8.58,8.83,8.55,8.61,7064696
17,2023-02-10,8.64,8.98,8.55,8.7,11931486
18,2023-02-13,8.67,8.86,8.49,8.58,8706992
19,2023-02-14,8.67,8.67,8.43,8.49,4855719
20,2023-02-15,8.49,8.67,8.39,8.52,6242904
21,2023-02-16,8.58,8.67,8.58,8.67,6535305
22,2023-02-17,8.67,9.17,8.67,8.98,19001839
23,2023-02-20,8.98,9.29,8.98,9.29,10635846
24,2023-02-21,9.32,9.36,9.08,9.11,8640382
25,2023-02-22,8.95,9.17,8.74,8.74,9995061
26,2023-02-23,8.74,8.95,8.58,8.77,9342546
27,2023-02-24,8.83,8.92,8.74,8.74,7631305
28,2023-02-27,8.61,8.74,8.55,8.55,5806058
29,2023-02-28,8.58,8.7,8.58,8.64,5342324
30,2023-03-01,8.61,8.98,8.55,8.86,9768305
31,2023-03-02,8.98,9.17,8.77,8.92,8294625
32,2023-03-03,8.98,9.08,8.77,8.77,6951985
33,2023-03-06,8.89,9.05,8.83,8.83,8657785
34,2023-03-07,9.01,9.05,8.83,8.89,7963566
35,2023-03-08,8.83,9.08,8.83,9.08,7301210
36,2023-03-09,9.14,9.39,9.11,9.17,19636665
37,2023-03-10,9.17,9.26,9.11,9.14,8380195
38,2023-03-13,9.14,9.36,9.11,9.14,13529668
39,2023-03-14,9.17,9.29,9.08,9.08,16311892
40,2023-03-15,9.26,9.45,9.17,9.29,17471277
41,2023-03-16,9.26,9.32,9.2,9.2,10507988
42,2023-03-17,9.23,9.32,9.2,9.23,13290698
43,2023-03-20,9.2,9.23,8.95,8.95,16905395
44,2023-03-21,9.11,9.17,8.95,9.11,5583780
45,2023-03-22,9.14,9.23,9.11,9.17,7052188
46,2023-03-23,9.11,9.26,9.11,9.26,3442062
47,2023-03-24,9.29,9.73,9.29,9.6,17982922
48,2023-03-27,9.6,9.63,9.54,9.57,6702134
49,2023-03-28,9.63,9.7,9.48,9.48,11972279
50,2023-03-29,9.51,9.57,9.45,9.51,6696119
51,2023-03-30,9.6,9.63,9.48,9.51,6764460
52,2023-03-31,9.51,9.54,9.42,9.54,6241690
53,2023-04-03,9.63,9.79,9.54,9.6,9577517
54,2023-04-04,9.6,9.82,9.57,9.76,15695705
55,2023-04-05,9.73,9.76,9.6,9.63,5002368
56,2023-04-06,9.63,9.7,9.32,9.32,12640757
57,2023-04-07,9.36,9.39,9.11,9.17,11735159
58,2023-04-10,9.26,9.29,9.05,9.05,8887215
59,2023-04-11,9.05,9.2,9.01,9.2,5442071
60,2023-04-12,9.26,9.36,9.2,9.2,5340742
61,2023-04-13,9.23,9.29,9.14,9.14,4387844
62,2023-04-14,9.17,9.54,9.17,9.17,17312179
63,2023-04-17,9.26,9.29,8.77,8.86,12199152
64,2023-04-18,8.92,8.95,8.58,8.67,13422721
65,2023-04-19,8.8,8.8,8.46,8.49,8832389
66,2023-04-20,8.46,8.61,8.46,8.58,4505544
67,2023-04-21,8.61,8.7,8.46,8.46,7567387
68,2023-04-24,8.55,8.58,8.24,8.3,7784774
69,2023-04-25,8.33,8.36,8.12,8.12,8637558
70,2023-04-26,8.05,8.67,8.05,8.67,7899358
71,2023-04-27,8.61,8.86,8.52,8.8,8398845
72,2023-04-28,8.8,8.8,8.67,8.67,5015010
73,2023-05-04,8.61,8.61,8.46,8.46,4706015
74,2023-05-05,8.46,8.61,8.39,8.49,2769433
75,2023-05-08,8.49,8.61,8.46,8.46,5160711
76,2023-05-09,8.49,8.74,8.49,8.67,13129577
77,2023-05-10,8.74,8.77,8.58,8.7,9618107
78,2023-05-11,8.74,8.77,8.12,8.58,23751188
79,2023-05-12,8.61,8.64,8.49,8.61,7925572
80,2023-05-15,8.67,8.77,8.58,8.58,9861000
81,2023-05-16,8.58,8.64,8.52,8.61,6910749
82,2023-05-17,8.64,8.67,8.52,8.55,6973436
83,2023-05-18,8.58,8.7,8.52,8.67,8387573
84,2023-05-19,8.8,8.8,8.58,8.67,6281315
85,2023-05-22,8.7,8.86,8.67,8.8,9214558
86,2023-05-23,8.83,8.86,8.7,8.7,5895241
87,2023-05-24,8.77,8.77,8.61,8.61,5504968
88,2023-05-25,8.61,8.7,8.58,8.64,4979118
89,2023-05-26,8.67,8.8,8.58,8.77,10646954
90,2023-05-29,8.8,8.92,8.77,8.92,8656783
91,2023-05-30,8.98,8.98,8.86,8.98,8912958
92,2023-05-31,9.01,9.08,8.92,8.98,8685899
93,2023-06-01,9.01,9.11,8.95,9.11,6453575
94,2023-06-02,9.17,9.39,9.17,9.29,13184135
95,2023-06-05,9.42,9.48,9.32,9.48,16412324
96,2023-06-06,9.48,9.54,9.36,9.51,11213562
97,2023-06-07,9.54,9.54,9.29,9.29,8126409
98,2023-06-08,9.29,9.36,9.05,9.08,8977864
99,2023-06-09,9.08,9.39,9.01,9.39,7829505
100,2023-06-12,9.42,9.42,9.23,9.42,8054829
101,2023-06-13,9.42,9.45,9.26,9.26,3724567
102,2023-06-14,9.26,9.36,9.2,9.2,3993915
103,2023-06-15,9.2,9.2,9.05,9.08,5134537
104,2023-06-16,9.2,9.29,9.08,9.14,4824213
105,2023-06-19,9.17,9.26,9.11,9.11,5254546
106,2023-06-20,9.14,9.29,9.14,9.2,3832452
107,2023-06-21,9.29,9.48,9.2,9.32,10823406
108,2023-06-22,9.39,9.51,9.39,9.42,11210280
109,2023-06-23,9.48,9.76,9.45,9.51,16974031
110,2023-06-26,9.51,9.63,9.29,9.48,5640184
111,2023-06-27,9.51,9.6,9.45,9.45,4650238
112,2023-06-28,9.48,9.6,9.45,9.48,6133979
113,2023-06-29,9.57,9.57,9.39,9.39,6887953
114,2023-06-30,9.39,9.45,9.36,9.39,2666229
115,2023-07-03,9.42,9.6,9.42,9.48,6839254
116,2023-07-04,9.54,9.6,9.42,9.57,5859459
117,2023-07-05,9.63,9.79,9.57,9.63,11593460
118,2023-07-06,9.66,9.79,9.51,9.6,6298901
119,2023-07-07,9.57,9.97,9.57,9.97,13490580
120,2023-07-10,10.01,10.35,9.97,10.1,19508032
121,2023-07-11,10.13,10.35,10.04,10.04,14047256
122,2023-07-12,10.01,10.38,9.73,9.73,13463341
123,2023-07-13,9.91,10.07,9.88,9.91,8033162
124,2023-07-14,10.04,10.07,9.66,9.7,13125713
125,2023-07-17,9.7,10.1,9.7,9.91,9904694
126,2023-07-18,9.94,10.16,9.91,10.01,9247424
127,2023-07-19,10.01,10.35,10.01,10.1,10876666
128,2023-07-20,10.13,10.19,10.01,10.07,4609280
129,2023-07-21,9.97,10.16,9.97,10.07,5130871
130,2023-07-24,10.07,10.28,10.04,10.13,9887712
131,2023-07-25,10.13,10.35,10.13,10.22,7901030
132,2023-07-26,10.22,10.25,10.13,10.13,3732605
133,2023-07-27,10.16,10.35,10.1,10.22,9155809
134,2023-07-28,10.19,10.32,10.1,10.1,6076405
135,2023-07-31,10.16,10.28,10.13,10.13,5360159
136,2023-08-01,10.16,10.38,10.16,10.22,9369212
137,2023-08-02,10.25,10.53,10.22,10.38,9808687
138,2023-08-03,10.41,10.59,10.41,10.5,8058378
139,2023-08-04,10.53,10.69,10.5,10.69,5031583
140,2023-08-07,10.72,11.43,10.72,11.43,20360324
141,2023-08-08,11.55,11.99,11.55,11.77,11418629
142,2023-08-09,11.9,11.9,11.65,11.71,4075966
143,2023-08-10,11.77,11.77,11.46,11.52,3763774
144,2023-08-11,11.46,11.59,11.4,11.52,4541652
145,2023-08-14,11.52,11.74,11.52,11.68,4383692
146,2023-08-15,11.68,11.74,11.65,11.71,4068374
147,2023-08-16,11.71,11.9,11.65,11.74,7098634
148,2023-08-17,11.74,11.96,11.74,11.8,9195898
149,2023-08-18,11.77,12.14,11.15,11.31,16225910
150,2023-08-21,11.4,12.08,11.4,12.02,27624307
151,2023-08-22,12.64,12.64,11.64,12.24,9441438
152,2023-08-23,12.44,12.48,12.2,12.24,3713972
153,2023-08-24,12.24,12.68,12.24,12.48,6595996
154,2023-08-25,12.52,12.76,12.44,12.52,6039834
155,2023-08-28,12.56,12.76,12.52,12.6,4753615
156,2023-08-29,12.68,12.76,12.6,12.64,7697607
157,2023-08-30,12.72,12.84,12.68,12.68,4376157
158,2023-08-31,12.76,12.84,12.6,12.8,5686779
159,2023-09-05,12.84,12.96,12.76,12.84,4451893
160,2023-09-06,12.84,12.96,12.8,12.88,3173695
161,2023-09-07,12.96,13.0,12.84,12.88,5534742
162,2023-09-08,12.84,12.92,12.8,12.84,2197947
163,2023-09-11,12.84,13.0,12.8,12.92,14495881
164,2023-09-12,12.92,13.08,12.88,13.0,3011544
165,2023-09-13,13.08,13.12,12.96,13.0,2772199
166,2023-09-14,13.0,13.08,12.68,12.76,1982531
167,2023-09-15,12.76,13.2,12.56,12.56,5333473
168,2023-09-18,12.56,12.6,12.28,12.28,1699945
169,2023-09-19,12.32,12.4,12.04,12.16,5222798
170,2023-09-20,12.36,12.36,12.16,12.28,2281205
171,2023-09-21,12.2,12.28,11.96,11.96,3289446
172,2023-09-22,11.8,11.88,11.21,11.48,4933967
173,2023-09-25,11.48,11.48,10.85,10.85,3682842
174,2023-09-26,10.85,10.97,10.53,10.53,2885523
175,2023-09-27,10.53,10.69,10.37,10.57,2780315
176,2023-09-28,10.61,10.85,10.61,10.85,2693269
177,2023-09-29,10.93,11.25,10.93,11.05,2531948
178,2023-10-02,11.05,11.13,10.89,10.89,1524348
179,2023-10-03,10.89,10.89,10.45,10.49,2956585
180,2023-10-04,10.37,10.93,10.37,10.77,1934803
181,2023-10-05,10.77,10.93,10.77,10.85,1969952
182,2023-10-06,10.93,11.01,10.85,10.97,5452807
183,2023-10-09,11.01,11.25,10.97,11.25,2953429
184,2023-10-10,11.25,11.33,11.21,11.29,3944366
185,2023-10-11,11.33,11.37,11.25,11.33,1907290
186,2023-10-12,11.33,11.44,11.33,11.33,3533609
187,2023-10-13,11.25,11.4,11.21,11.33,1863488
188,2023-10-16,11.33,11.37,11.17,11.29,2730644
189,2023-10-17,11.25,11.44,11.17,11.17,2381821
190,2023-10-18,11.17,11.4,11.09,11.17,4020000
191,2023-10-19,11.17,11.4,11.17,11.21,2773362
192,2023-10-20,11.21,11.6,11.21,11.6,4024522
193,2023-10-23,11.64,11.88,11.56,11.72,2595373
194,2023-10-24,11.72,11.88,11.68,11.76,2523319
195,2023-10-25,11.76,12.04,11.76,11.84,2393140
196,2023-10-26,11.68,11.84,11.09,11.4,6750799
197,2023-10-27,11.48,12.2,11.48,12.2,6445299
198,2023-10-30,12.24,12.44,11.52,11.52,1803308
199,2023-10-31,11.56,12.04,11.56,11.68,3681831
200,2023-11-01,11.72,12.04,11.72,12.04,1945551
201,2023-11-02,12.08,12.32,12.04,12.28,2029464
202,2023-11-03,12.36,12.4,12.12,12.16,3399127
203,2023-11-06,12.28,12.52,12.16,12.28,4486366
204,2023-11-07,12.28,12.52,12.24,12.36,1765719
205,2023-11-08,12.36,12.56,12.28,12.56,2271639
206,2023-11-09,12.6,12.68,12.44,12.52,2156990
207,2023-11-10,12.4,12.48,12.2,12.2,2197349
208,2023-11-13,12.28,12.32,12.2,12.2,1425754
209,2023-11-14,12.28,12.76,12.28,12.52,5225312
210,2023-11-15,12.68,12.72,12.48,12.52,2335947
211,2023-11-16,12.52,12.52,12.4,12.48,1236095
212,2023-11-17,12.44,12.6,12.24,12.24,2537768
213,2023-11-20,12.16,12.4,12.12,12.24,1884694
214,2023-11-21,12.32,12.44,12.28,12.44,2393858
215,2023-11-22,12.44,12.48,12.32,12.32,1686483
216,2023-11-23,12.36,12.44,11.96,11.96,2583826
217,2023-11-24,12.04,12.24,12.0,12.08,1602726
218,2023-11-27,12.08,12.2,11.8,11.8,1589425
219,2023-11-28,11.8,11.96,11.56,11.96,1696684
220,2023-11-29,11.96,12.4,11.96,12.12,5195830
221,2023-11-30,12.16,12.44,12.12,12.2,4593475
222,2023-12-01,12.24,12.36,12.12,12.2,1207646
223,2023-12-04,12.28,12.32,12.16,12.2,3431526
224,2023-12-05,12.24,12.32,12.12,12.24,3203026
225,2023-12-06,12.24,12.76,12.24,12.56,10771848
226,2023-12-07,12.6,12.84,12.6,12.76,10703962
227,2023-12-08,12.8,13.16,12.76,13.04,9420322
228,2023-12-11,13.08,13.2,12.88,12.92,6824334
229,2023-12-12,12.96,13.08,12.76,12.8,3453047
230,2023-12-13,12.8,12.96,12.52,12.6,2616589
231,2023-12-14,12.52,12.76,12.48,12.48,1863952
232,2023-12-15,12.52,12.68,12.48,12.52,1609907
233,2023-12-18,12.52,12.64,12.32,12.32,2107406
234,2023-12-19,12.24,12.44,12.12,12.2,2018972
