,time,open,high,low,close,volume
0,2023-01-11,9.89,9.99,9.86,9.89,6471491
1,2023-01-12,9.91,9.97,9.83,9.89,7337288
2,2023-01-13,9.97,10.05,9.89,9.89,8003134
3,2023-01-16,9.91,10.05,9.86,10.02,6252270
4,2023-01-17,10.13,10.51,10.08,10.51,18906929
5,2023-01-18,10.56,10.59,10.4,10.59,9919234
6,2023-01-19,10.56,10.7,10.51,10.62,11069548
7,2023-01-27,10.78,10.89,10.64,10.67,9210428
8,2023-01-30,10.73,10.73,10.43,10.43,12672702
9,2023-01-31,10.4,10.59,10.16,10.59,14975733
10,2023-02-01,10.67,10.81,10.24,10.24,15746473
11,2023-02-02,10.35,10.35,10.05,10.26,12213612
12,2023-02-03,10.26,10.35,10.08,10.08,10025842
13,2023-02-06,10.08,10.24,10.02,10.13,6639639
14,2023-02-07,10.21,10.21,9.94,9.94,7679036
15,2023-02-08,10.02,10.13,9.89,9.97,5594540
16,2023-02-09,9.97,10.13,9.94,9.99,6336144
17,2023-02-10,10.05,10.08,9.91,9.91,5994197
18,2023-02-13,9.86,9.86,9.61,9.75,9873978
19,2023-02-14,9.75,9.83,9.64,9.67,6598655
20,2023-02-15,9.61,9.89,9.61,9.75,6521950
21,2023-02-16,9.8,9.94,9.78,9.89,4745394
22,2023-02-17,9.89,9.97,9.8,9.8,4796081
23,2023-02-20,9.8,10.24,9.8,10.24,8608306
24,2023-02-21,10.29,10.35,10.08,10.08,6956550
25,2023-02-22,9.97,10.02,9.89,9.89,9879340
26,2023-02-23,9.75,9.86,9.59,9.83,16335100
27,2023-02-24,9.83,9.89,9.59,9.59,10076138
28,2023-02-27,9.45,9.48,9.34,9.34,8049667
29,2023-02-28,9.4,9.56,9.29,9.34,6167778
30,2023-03-01,9.29,9.56,9.21,9.56,6323391
31,2023-03-02,9.56,9.59,9.4,9.43,3839636
32,2023-03-03,9.48,9.48,9.29,9.29,4743691
33,2023-03-06,9.43,9.59,9.37,9.37,6834609
34,2023-03-07,9.43,9.53,9.4,9.43,6176635
35,2023-03-08,9.37,9.53,9.32,9.53,7411679
36,2023-03-09,9.56,9.72,9.53,9.64,8063021
37,2023-03-10,9.64,9.64,9.53,9.61,5297277
38,2023-03-13,9.4,9.53,9.4,9.48,8532794
39,2023-03-14,9.48,9.51,9.32,9.32,8474513
40,2023-03-15,9.53,9.67,9.48,9.64,6286291
41,2023-03-16,9.59,9.59,9.43,9.45,5755119
42,2023-03-17,9.59,9.59,9.45,9.45,4270270
43,2023-03-20,9.53,9.53,9.37,9.37,5990944
44,2023-03-21,9.45,9.48,9.32,9.4,8045179
45,2023-03-22,9.48,9.51,9.4,9.43,5290029
46,2023-03-23,9.37,9.45,9.37,9.43,3783907
47,2023-03-24,9.59,9.72,9.53,9.61,16312592
48,2023-03-27,9.64,9.75,9.59,9.72,8043112
49,2023-03-28,9.78,9.91,9.75,9.75,12390745
50,2023-03-29,9.83,9.97,9.8,9.91,10444796
51,2023-03-30,9.97,10.02,9.89,9.89,8982472
52,2023-03-31,9.91,9.97,9.83,9.89,10542940
53,2023-04-03,10.02,10.13,9.97,10.13,20429202
54,2023-04-04,10.16,10.18,10.08,10.16,11319178
55,2023-04-05,10.16,10.21,10.08,10.18,9895652
56,2023-04-06,10.21,10.24,10.02,10.02,12042030
57,2023-04-07,10.02,10.08,9.94,10.08,8548302
58,2023-04-10,10.13,10.29,10.08,10.08,13112029
59,2023-04-11,10.08,10.18,9.99,10.16,6640796
60,2023-04-12,10.18,10.18,10.05,10.13,7968781
61,2023-04-13,10.13,10.16,10.02,10.05,5959684
62,2023-04-14,10.08,10.13,9.91,9.91,7851729
63,2023-04-17,9.86,9.94,9.83,9.89,5539030
64,2023-04-18,9.94,9.97,9.78,9.83,5966967
65,2023-04-19,9.89,9.91,9.8,9.8,4159680
66,2023-04-20,9.8,9.86,9.78,9.83,3126012
67,2023-04-21,9.83,9.89,9.78,9.78,3860643
68,2023-04-24,9.78,9.91,9.75,9.89,5307728
69,2023-04-25,9.97,9.97,9.83,9.89,4568311
70,2023-04-26,9.89,9.94,9.8,9.94,4999862
71,2023-04-27,9.97,9.99,9.91,9.97,3627298
72,2023-04-28,10.02,10.05,9.94,9.99,4407150
73,2023-05-04,9.94,9.99,9.83,9.86,5836170
74,2023-05-05,9.86,9.89,9.8,9.8,4009145
75,2023-05-08,9.86,9.91,9.83,9.89,4223596
76,2023-05-09,9.91,9.94,9.86,9.91,4524365
77,2023-05-10,9.91,10.02,9.89,10.02,6852729
78,2023-05-11,10.08,10.1,9.99,10.02,7403639
79,2023-05-12,10.05,10.1,9.97,10.1,7285375
80,2023-05-15,10.16,10.35,10.13,10.21,17778574
81,2023-05-16,10.21,10.26,10.13,10.18,6754862
82,2023-05-17,10.16,10.18,9.99,9.99,9091666
83,2023-05-18,10.05,10.1,9.99,10.08,6662505
84,2023-05-19,10.08,10.13,10.05,10.1,3796621
85,2023-05-22,10.13,10.24,10.1,10.21,8261378
86,2023-05-23,10.24,10.29,10.13,10.16,7436587
87,2023-05-24,10.18,10.21,10.05,10.08,5548384
88,2023-05-25,10.08,10.08,9.99,9.99,4737169
89,2023-05-26,10.02,10.02,9.97,9.99,3908065
90,2023-05-29,10.08,10.16,10.02,10.16,5971721
91,2023-05-30,10.18,10.21,10.1,10.16,6589620
92,2023-05-31,10.18,10.21,10.08,10.08,6886839
93,2023-06-01,10.08,10.18,10.05,10.18,8441611
94,2023-06-02,10.35,10.75,10.32,10.67,33003571
95,2023-06-05,10.78,10.89,10.7,10.73,19466990
96,2023-06-06,10.78,11.08,10.73,11.08,22807397
97,2023-06-07,11.08,11.13,10.97,11.02,13447509
98,2023-06-08,11.02,11.08,10.83,10.83,13690813
99,2023-06-09,10.89,10.97,10.83,10.97,10361331
100,2023-06-12,11.0,11.05,10.83,11.02,9003835
101,2023-06-13,11.05,11.05,10.91,11.0,10601851
102,2023-06-14,11.16,11.22,10.97,10.97,10941321
103,2023-06-15,10.97,11.02,10.91,10.94,9504154
104,2023-06-16,11.02,11.22,10.94,10.94,13946876
105,2023-06-19,10.94,11.0,10.86,10.86,7039953
106,2023-06-20,10.88,10.91,10.8,10.91,5490791
107,2023-06-21,10.94,11.02,10.91,11.02,6051455
108,2023-06-22,11.16,11.3,11.05,11.05,14814234
109,2023-06-23,11.19,11.27,11.13,11.22,12315079
110,2023-06-26,11.22,11.41,11.08,11.22,10583893
111,2023-06-27,11.25,11.27,11.11,11.16,10744638
112,2023-06-28,11.22,11.55,11.16,11.5,20860424
113,2023-06-29,11.5,11.5,11.27,11.27,14007932
114,2023-06-30,11.27,11.33,11.19,11.22,6689284
115,2023-07-03,11.27,11.3,11.16,11.22,9797154
116,2023-07-04,11.22,11.3,11.16,11.3,6881938
117,2023-07-05,11.38,11.47,11.27,11.33,13003944
118,2023-07-06,11.36,11.41,11.19,11.22,15192537
119,2023-07-07,11.22,11.36,11.16,11.36,11920683
120,2023-07-10,11.44,11.58,11.41,11.52,16795194
121,2023-07-11,11.52,11.77,11.52,11.77,17362956
122,2023-07-12,11.77,11.83,11.61,11.66,13119246
123,2023-07-13,11.69,11.8,11.61,11.72,17949585
124,2023-07-14,11.91,11.97,11.75,11.91,18543297
125,2023-07-17,11.97,12.04,11.81,11.88,11014148
