,time,open,high,low,close,volume
0,2023-01-11,96.0,96.3,94.3,96.0,557274
1,2023-01-12,96.1,96.3,93.0,93.3,538447
2,2023-01-13,94.1,95.0,93.4,95.0,319939
3,2023-01-16,95.0,96.0,93.7,94.9,339831
4,2023-01-17,94.7,97.5,93.3,97.5,600443
5,2023-01-18,97.5,99.9,96.1,99.9,621760
6,2023-01-19,98.3,102.0,95.3,102.0,1022438
7,2023-01-27,102.0,106.0,101.9,103.7,742144
8,2023-01-30,105.0,105.4,102.0,102.0,330971
9,2023-01-31,100.1,102.0,100.1,101.1,355105
10,2023-02-01,100.2,101.8,95.1,95.2,959016
11,2023-02-02,97.9,97.9,95.0,96.7,737222
12,2023-02-03,95.6,96.7,93.6,96.5,568447
13,2023-02-06,94.2,96.3,93.5,96.3,686021
14,2023-02-07,96.0,96.0,93.3,94.1,857614
15,2023-02-08,94.1,95.5,93.5,93.5,447014
16,2023-02-09,93.5,94.5,91.8,91.8,773950
17,2023-02-10,91.8,92.0,89.5,91.2,681161
18,2023-02-13,91.2,92.9,90.1,92.9,469015
19,2023-02-14,92.9,93.4,91.6,92.9,392969
20,2023-02-15,92.0,93.3,92.0,93.0,617965
21,2023-02-16,93.0,93.4,92.1,92.9,380224
22,2023-02-17,93.0,93.0,91.1,91.3,279781
23,2023-02-20,91.4,94.5,91.4,94.5,685401
24,2023-02-21,94.0,94.8,93.2,93.8,258606
25,2023-02-22,93.0,93.3,91.0,91.0,785058
26,2023-02-23,91.5,91.5,87.0,87.6,673226
27,2023-02-24,88.8,88.8,84.9,85.9,717072
28,2023-02-27,83.9,84.5,79.9,79.9,901379
29,2023-02-28,82.0,82.5,80.0,82.0,586137
30,2023-03-01,80.0,81.8,79.7,80.5,1083561
31,2023-03-02,80.4,81.3,79.0,79.0,540657
32,2023-03-03,79.7,79.8,76.0,76.0,582014
33,2023-03-06,76.5,78.0,74.4,74.4,851742
34,2023-03-07,76.0,79.6,75.2,78.3,1894347
35,2023-03-08,78.2,81.0,77.8,80.4,1498514
36,2023-03-09,80.5,82.0,80.1,80.8,1258337
37,2023-03-10,80.5,84.5,80.5,83.9,1408430
38,2023-03-13,83.8,85.8,83.8,84.5,1594813
39,2023-03-14,84.1,85.0,82.5,83.6,939751
40,2023-03-15,83.7,85.1,83.6,84.7,1109090
41,2023-03-16,84.7,84.7,82.0,83.8,898351
42,2023-03-17,83.8,84.0,82.7,83.5,1173957
43,2023-03-20,82.6,82.8,79.4,81.5,1329956
44,2023-03-21,81.5,83.2,79.0,80.1,1059885
45,2023-03-22,80.2,80.6,78.2,80.5,2038959
46,2023-03-23,79.7,79.7,78.5,79.0,1501827
47,2023-03-24,79.0,79.0,77.7,78.0,1369436
48,2023-03-27,78.2,78.2,76.2,76.7,1641053
49,2023-03-28,77.5,77.8,76.8,77.6,1760522
50,2023-03-29,77.6,78.8,76.8,78.8,1178465
51,2023-03-30,79.3,79.6,78.5,79.2,1106609
52,2023-03-31,79.2,79.4,77.8,77.8,1341253
53,2023-04-03,78.8,78.8,76.8,76.8,1652362
54,2023-04-04,76.9,78.6,76.9,78.4,1320070
55,2023-04-05,78.7,79.2,77.6,78.4,835457
56,2023-04-06,78.1,78.4,77.0,77.0,1050230
57,2023-04-07,77.0,77.9,76.9,77.6,611663
58,2023-04-10,77.7,78.1,77.1,77.2,864084
59,2023-04-11,77.6,78.0,77.2,77.9,753983
60,2023-04-12,77.9,80.2,77.9,79.5,1601908
61,2023-04-13,80.0,80.5,79.2,79.2,1223675
62,2023-04-14,79.3,79.9,78.1,78.1,1415342
63,2023-04-17,78.0,78.2,77.2,78.1,912928
64,2023-04-18,78.2,78.5,77.8,78.2,536810
65,2023-04-19,78.2,79.8,78.0,78.7,1245040
66,2023-04-20,79.0,79.1,77.7,78.0,755168
67,2023-04-21,78.0,78.1,76.2,76.4,1127443
68,2023-04-24,76.6,76.6,73.3,73.3,1592652
69,2023-04-25,73.9,73.9,71.1,71.3,1019897
70,2023-04-26,71.3,71.9,70.5,71.4,1168076
71,2023-04-27,71.7,72.9,71.3,72.3,466704
72,2023-04-28,72.7,73.2,72.3,73.1,612964
73,2023-05-04,72.8,72.8,70.6,70.6,824990
74,2023-05-05,70.6,73.1,70.5,73.0,950377
75,2023-05-08,73.5,75.2,73.1,74.1,1035786
76,2023-05-09,74.1,74.6,73.4,73.6,647542
77,2023-05-10,74.0,75.0,73.6,73.6,750290
78,2023-05-11,73.7,74.3,73.3,73.8,454351
79,2023-05-12,73.3,74.5,73.3,74.4,431851
80,2023-05-15,74.4,75.2,74.1,74.1,719148
81,2023-05-16,74.1,74.2,73.2,73.3,385043
82,2023-05-17,73.3,74.0,73.0,73.1,645780
83,2023-05-18,73.2,73.8,72.7,73.2,995184
84,2023-05-19,73.2,73.2,71.6,72.4,760643
85,2023-05-22,71.4,72.5,71.4,72.0,809874
86,2023-05-23,72.0,72.0,70.2,70.4,2298178
87,2023-05-24,70.9,71.9,70.0,71.8,951960
88,2023-05-25,71.8,72.5,70.8,72.0,740422
89,2023-05-26,71.8,72.1,71.4,72.0,757880
90,2023-05-29,72.1,72.2,71.4,71.6,484131
91,2023-05-30,71.6,73.2,71.6,72.8,947366
92,2023-05-31,72.9,73.5,72.0,72.0,718936
93,2023-06-01,72.0,72.2,71.5,71.8,326615
94,2023-06-02,72.0,72.7,71.8,72.3,936595
95,2023-06-05,73.0,74.7,72.8,74.1,2012148
