,time,open,high,low,close,volume
0,2023-01-11,40.98,41.85,40.98,41.22,1462267
1,2023-01-12,41.22,41.66,40.73,40.78,987240
2,2023-01-13,41.07,41.32,40.73,40.73,1089091
3,2023-01-16,40.73,40.98,40.4,40.59,1410393
4,2023-01-17,41.07,42.04,40.88,41.7,2762746
5,2023-01-18,42.14,43.79,41.9,43.54,3690606
6,2023-01-19,43.54,44.66,43.35,44.17,3495793
7,2023-01-27,44.95,45.43,44.46,44.46,2481714
8,2023-01-30,44.46,45.34,43.98,44.75,3209143
9,2023-01-31,44.46,45.05,43.93,45.05,2725262
10,2023-02-01,44.75,45.68,44.27,45.63,7837651
11,2023-02-02,45.48,48.34,44.85,48.34,4862781
12,2023-02-03,46.55,47.08,46.3,46.3,6221989
13,2023-02-06,45.53,45.72,44.27,45.68,2654268
14,2023-02-07,45.19,46.5,44.27,44.27,2020211
15,2023-02-08,44.27,44.56,43.11,43.11,1648404
16,2023-02-09,43.01,44.03,42.62,42.62,1473690
17,2023-02-10,42.62,43.06,40.78,40.78,2034509
18,2023-02-13,40.78,41.17,40.2,41.17,1728005
19,2023-02-14,41.46,41.66,41.07,41.17,803972
20,2023-02-15,41.17,42.14,41.17,41.41,1085663
21,2023-02-16,41.85,42.14,41.46,41.95,945539
22,2023-02-17,41.95,41.95,41.51,41.9,960037
23,2023-02-20,41.85,42.91,41.41,42.91,1876037
24,2023-02-21,43.01,43.83,43.01,43.11,1406799
25,2023-02-22,42.62,43.11,41.66,41.66,1645659
26,2023-02-23,41.46,41.66,40.69,41.66,1315362
27,2023-02-24,41.17,41.61,40.3,40.78,1626718
28,2023-02-27,39.72,40.59,39.23,39.23,1976668
29,2023-02-28,39.23,39.91,38.6,38.75,1570002
30,2023-03-01,38.75,39.72,38.02,39.52,1521649
31,2023-03-02,39.52,39.72,38.75,39.04,869666
32,2023-03-03,39.04,39.33,38.17,38.17,1859162
33,2023-03-06,38.7,39.23,38.17,38.17,1475314
34,2023-03-07,38.75,38.94,37.97,38.46,1586839
35,2023-03-08,37.78,38.31,37.44,38.17,2031091
36,2023-03-09,38.36,39.28,38.31,38.75,2116997
37,2023-03-10,38.65,38.85,38.17,38.51,1573983
38,2023-03-13,38.51,38.75,38.17,38.17,1349865
39,2023-03-14,38.07,38.36,37.1,37.39,1613633
40,2023-03-15,38.36,38.85,38.17,38.75,1900097
41,2023-03-16,38.75,38.75,37.59,38.17,1666012
42,2023-03-17,38.65,38.65,37.63,38.17,954532
43,2023-03-20,37.78,38.17,36.86,36.91,2299614
44,2023-03-21,37.59,37.59,36.33,37.3,1411862
45,2023-03-22,37.44,37.44,36.76,36.76,1507857
46,2023-03-23,36.42,36.76,36.33,36.62,1239092
47,2023-03-24,36.42,37.01,36.42,36.76,1730574
48,2023-03-27,36.81,37.25,36.67,36.91,2466133
49,2023-03-28,37.01,38.07,36.91,37.88,4199780
50,2023-03-29,38.02,38.12,37.49,37.49,1831381
51,2023-03-30,37.59,37.97,36.96,37.39,2667622
52,2023-03-31,37.34,37.73,37.05,37.34,1816890
53,2023-04-03,37.78,37.97,37.49,37.78,2113683
54,2023-04-04,37.88,38.7,37.83,38.56,3134952
55,2023-04-05,38.56,38.6,38.26,38.51,1737309
56,2023-04-06,38.75,38.75,37.83,37.88,1972689
57,2023-04-07,37.63,37.83,37.3,37.78,2033345
58,2023-04-10,37.97,39.86,37.97,39.72,5831948
59,2023-04-11,39.72,39.72,38.94,39.43,2853861
60,2023-04-12,39.23,40.4,39.23,39.48,3972340
61,2023-04-13,39.72,40.01,39.38,39.77,3135863
62,2023-04-14,39.96,40.11,38.75,38.75,2680877
63,2023-04-17,38.6,38.75,38.31,38.6,1407908
64,2023-04-18,39.28,39.48,38.7,38.7,2756760
65,2023-04-19,38.8,40.01,38.75,39.23,2950858
66,2023-04-20,39.23,39.23,38.65,39.14,1417250
67,2023-04-21,39.14,39.14,38.07,38.07,2812378
68,2023-04-24,37.97,38.07,37.05,37.2,3212748
69,2023-04-25,37.39,37.59,36.33,36.52,2737524
70,2023-04-26,36.52,37.2,36.47,37.2,1836035
71,2023-04-27,37.3,37.44,36.96,37.44,1287338
72,2023-04-28,37.44,37.97,37.39,37.97,2518354
73,2023-05-04,36.91,37.68,36.71,36.71,2464073
74,2023-05-05,36.71,36.91,36.47,36.62,1174614
75,2023-05-08,36.62,37.05,36.62,36.67,1274575
76,2023-05-09,36.67,37.15,36.67,36.76,932276
77,2023-05-10,36.86,37.78,36.71,37.78,2355670
78,2023-05-11,37.93,38.12,37.34,37.49,1661428
79,2023-05-12,37.54,37.88,37.01,37.78,2034774
80,2023-05-15,37.93,38.17,37.63,37.68,2783699
81,2023-05-16,37.68,37.73,37.01,37.25,2130949
82,2023-05-17,37.25,37.44,36.76,36.96,1328466
83,2023-05-18,37.34,37.49,36.91,36.91,1748245
84,2023-05-19,36.91,37.1,36.62,37.1,1643998
85,2023-05-22,37.15,37.44,36.86,37.34,1524228
86,2023-05-23,37.44,37.59,37.01,37.05,1468977
87,2023-05-24,37.2,37.25,36.71,36.76,1247445
88,2023-05-25,36.76,37.2,36.62,36.81,1478099
89,2023-05-26,36.86,37.2,36.81,37.01,883288
90,2023-05-29,37.25,37.49,36.96,37.49,2264314
91,2023-05-30,37.63,38.56,37.63,38.17,4820420
92,2023-05-31,38.07,38.22,37.73,37.97,1976357
93,2023-06-01,38.12,38.26,37.49,38.07,2908840
94,2023-06-02,38.22,39.57,37.97,39.52,5710123
95,2023-06-05,39.72,40.3,39.52,39.91,6620203
96,2023-06-06,39.91,40.73,39.77,40.49,4667805
97,2023-06-07,40.49,40.64,39.77,40.49,4747524
98,2023-06-08,40.69,40.69,39.33,39.38,4516411
99,2023-06-09,39.72,40.11,39.23,40.11,4125445
100,2023-06-12,40.35,41.66,40.2,41.66,7251229
101,2023-06-13,42.04,42.04,41.27,41.66,3400762
102,2023-06-14,41.66,41.66,40.73,40.73,3322797
103,2023-06-15,40.73,41.07,40.15,40.4,2812441
104,2023-06-16,40.64,40.98,39.86,40.06,4411810
105,2023-06-19,40.06,40.4,39.81,40.2,2064443
106,2023-06-20,40.3,41.17,40.3,41.17,2477638
107,2023-06-21,41.17,41.36,40.88,41.36,2566898
108,2023-06-22,41.51,42.28,41.03,41.7,4107626
109,2023-06-23,41.7,41.85,41.36,41.56,2159521
110,2023-06-26,42.19,43.11,41.27,42.96,5460663
111,2023-06-27,42.96,43.5,42.38,42.82,2479494
