,time,open,high,low,close,volume
0,2020-03-12,32.04,32.04,30.48,30.48,465400
1,2020-03-13,28.35,30.44,28.35,28.95,845640
2,2020-03-16,29.07,30.6,29.07,29.47,632180
3,2020-03-17,29.63,31.52,29.23,31.52,535980
4,2020-03-18,32.76,33.72,32.04,33.72,880510
5,2020-03-19,33.4,33.48,32.12,32.12,510280
6,2020-03-20,32.84,33.24,32.12,32.52,381290
7,2020-03-23,31.32,31.72,30.28,30.28,585750
8,2020-03-24,30.28,30.36,28.35,30.03,1147220
9,2020-03-25,30.84,32.12,30.84,32.12,469810
10,2020-03-26,32.04,32.84,31.24,31.6,418920
11,2020-03-27,31.24,31.72,30.52,31.64,713230
12,2020-03-30,29.61,31.59,29.61,30.2,728950
13,2020-03-31,30.37,31.59,29.95,30.79,383160
14,2020-04-01,30.79,32.9,30.37,32.82,595360
15,2020-04-03,33.91,34.08,33.15,33.66,851510
16,2020-04-06,34.42,34.63,33.66,33.83,1924660
17,2020-04-07,32.99,33.24,32.14,32.77,1194700
18,2020-04-08,32.39,32.73,32.06,32.39,941540
19,2020-04-09,32.9,34.59,32.9,33.74,1936030
20,2020-04-10,33.83,35.01,33.41,34.38,1638300
21,2020-04-13,34.5,34.93,34.04,34.04,1328310
22,2020-04-14,34.04,34.04,32.9,33.41,1122090
23,2020-04-15,33.41,34.12,33.03,33.66,1210150
24,2020-04-16,33.74,34.93,33.62,34.59,1953570
25,2020-04-17,35.09,35.14,34.55,34.93,1594470
26,2020-04-20,34.93,37.2,34.93,37.03,2466850
27,2020-04-21,35.01,36.19,34.46,34.46,2649020
28,2020-04-22,32.9,34.42,32.73,34.34,1125610
29,2020-04-23,35.09,35.09,34.17,34.34,1233190
30,2020-04-24,34.59,35.01,34.25,34.88,1094050
31,2020-04-27,34.88,34.88,33.87,33.91,1102230
32,2020-04-28,33.91,34.17,32.94,33.49,1226410
33,2020-04-29,33.49,34.25,33.49,34.0,707440
34,2020-05-04,34.88,34.88,33.74,33.83,883050
35,2020-05-05,33.32,34.29,33.32,34.08,545090
36,2020-05-06,34.76,35.68,34.5,35.39,1700870
37,2020-05-07,35.43,35.77,35.09,35.47,1269830
38,2020-05-08,35.6,37.92,35.6,36.95,2375610
39,2020-05-11,37.12,37.54,36.82,37.37,1344010
40,2020-05-12,37.37,38.81,36.61,38.43,1799500
41,2020-05-13,38.43,39.23,37.63,38.51,1755200
42,2020-05-14,38.47,38.64,37.84,38.47,995730
43,2020-05-15,38.72,38.76,37.54,37.54,1240110
44,2020-05-18,37.54,38.38,37.54,38.26,851610
45,2020-05-19,40.07,40.07,39.06,39.48,1378600
46,2020-05-20,38.89,39.52,38.89,39.52,738990
47,2020-05-21,39.65,40.07,39.23,39.65,1019750
48,2020-05-22,39.57,39.57,38.98,39.14,795930
49,2020-05-25,39.14,39.48,38.38,39.1,625220
50,2020-05-26,39.65,39.65,39.14,39.57,626270
51,2020-05-27,39.65,40.2,39.57,39.57,958690
52,2020-05-28,39.57,39.65,39.27,39.48,458950
53,2020-05-29,39.48,39.52,38.85,38.93,806010
54,2020-06-01,38.93,39.4,38.93,39.06,817190
55,2020-06-02,39.48,39.73,38.93,39.14,1306180
56,2020-06-03,39.57,39.65,39.23,39.4,508870
57,2020-06-04,39.65,39.99,39.57,39.78,868580
58,2020-06-05,39.82,39.82,38.3,39.65,586880
59,2020-06-08,39.99,40.58,39.9,40.49,1541960
60,2020-06-09,40.49,40.58,39.99,40.16,670760
61,2020-06-10,40.16,40.24,39.31,40.24,690860
