,time,open,high,low,close,volume
0,2020-03-12,59.73,63.97,56.85,57.85,38400
1,2020-03-13,55.2,61.21,55.2,57.61,54560
2,2020-03-16,56.81,60.01,55.61,60.01,46800
3,2020-03-17,56.41,60.01,56.41,56.45,25320
4,2020-03-18,56.45,58.37,54.4,54.4,49230
5,2020-03-19,52.2,55.2,50.8,50.8,40740
6,2020-03-20,50.8,52.4,48.04,50.4,51940
7,2020-03-23,48.4,50.2,46.88,46.88,38230
8,2020-03-24,44.8,47.92,44.6,46.2,24520
9,2020-03-25,46.4,49.2,46.36,48.0,137910
10,2020-03-26,48.6,50.64,48.0,50.0,188080
11,2020-03-27,50.0,52.92,50.0,51.84,145570
12,2020-03-30,51.84,52.0,48.24,48.44,24210
13,2020-03-31,48.44,51.56,48.44,49.2,19220
14,2020-04-01,48.88,51.16,48.24,49.24,33750
15,2020-04-03,51.8,51.96,50.0,50.0,67800
16,2020-04-06,51.6,53.4,50.8,52.8,85700
17,2020-04-07,55.2,55.61,52.8,54.8,67530
18,2020-04-08,55.2,57.01,54.4,55.2,86700
19,2020-04-09,56.01,59.05,56.01,56.01,236310
20,2020-04-10,57.69,58.77,56.01,56.41,33310
21,2020-04-13,57.21,58.21,56.41,56.41,40030
22,2020-04-14,58.33,58.33,56.53,57.37,54340
23,2020-04-15,57.41,61.37,57.41,61.21,210030
24,2020-04-16,61.21,65.29,61.21,63.05,158280
25,2020-04-17,67.01,67.21,66.01,66.17,128300
26,2020-04-20,68.81,70.77,67.25,70.77,108760
27,2020-04-21,70.77,75.69,68.01,68.01,204650
28,2020-04-22,66.01,70.01,63.93,70.01,103890
29,2020-04-23,74.77,74.77,71.49,72.25,119240
30,2020-04-24,73.49,74.01,70.09,72.01,77880
31,2020-04-27,72.01,72.01,70.01,72.01,81050
32,2020-04-28,70.41,71.97,68.01,68.01,73210
33,2020-04-29,68.01,70.01,65.21,65.21,146240
34,2020-05-04,65.21,65.41,62.01,62.01,198030
35,2020-05-05,62.01,62.01,60.37,60.69,117620
36,2020-05-06,64.73,64.73,60.81,63.21,86530
37,2020-05-07,64.77,67.61,64.01,67.61,63680
38,2020-05-08,68.01,72.01,68.01,68.81,245530
39,2020-05-11,68.81,70.41,67.61,69.25,111670
40,2020-05-12,69.33,70.05,69.21,69.41,59110
41,2020-05-13,67.21,69.61,66.41,68.81,115740
42,2020-05-14,68.81,69.21,68.41,68.89,45790
43,2020-05-15,68.89,70.01,68.89,68.89,58620
44,2020-05-18,69.61,69.61,68.93,69.21,111480
45,2020-05-19,70.01,70.81,68.81,68.81,181100
46,2020-05-20,70.01,70.01,69.01,69.01,60740
47,2020-05-21,71.21,71.21,69.21,70.41,128710
48,2020-05-22,70.41,70.41,69.21,69.61,45220
49,2020-05-25,69.61,70.45,69.21,70.01,59220
50,2020-05-26,70.05,71.61,69.81,70.13,97860
51,2020-05-27,70.25,70.41,70.01,70.09,72140
52,2020-05-28,70.61,70.89,69.21,70.09,73990
53,2020-05-29,69.93,70.81,69.61,70.57,61380
54,2020-06-01,70.57,72.81,70.13,71.09,86810
55,2020-06-02,71.09,75.61,71.09,73.21,144460
56,2020-06-03,73.41,74.01,72.01,72.01,54700
57,2020-06-04,72.73,73.21,71.61,71.61,51660
58,2020-06-05,71.61,72.77,71.61,71.61,26270
59,2020-06-08,71.61,73.41,71.61,72.81,98910
60,2020-06-09,73.09,73.09,71.21,71.49,54360
61,2020-06-10,71.49,72.01,71.01,71.21,44990
62,2020-06-11,71.21,72.21,70.81,70.81,61230
63,2020-06-12,69.61,71.13,68.45,68.81,95400
64,2020-06-15,68.81,70.01,66.21,66.41,39640
65,2020-06-16,67.41,69.17,66.41,66.45,62570
66,2020-06-17,69.53,69.53,66.45,66.45,37500
