,time,open,high,low,close,volume
0,2020-03-09,4.5,4.82,4.47,4.47,4400928
1,2020-03-10,4.03,4.47,4.03,4.03,14000432
2,2020-03-11,3.83,4.43,3.79,4.43,28794377
3,2020-03-12,4.43,4.58,4.31,4.47,16970413
4,2020-03-13,4.27,4.5,4.03,4.39,28882992
5,2020-03-16,4.35,4.39,4.19,4.39,8688136
6,2020-03-17,4.27,4.5,4.15,4.5,12201261
7,2020-03-18,4.39,4.78,4.39,4.74,7407963
8,2020-03-19,4.74,4.74,4.58,4.7,4986718
9,2020-03-20,4.66,4.78,4.54,4.78,6011812
10,2020-03-23,4.62,4.78,4.62,4.7,13749681
11,2020-03-24,4.66,4.78,4.62,4.74,8322806
12,2020-03-25,4.74,5.06,4.74,5.06,4967554
13,2020-03-26,5.06,5.1,4.9,4.98,4013630
14,2020-03-27,4.98,5.02,4.82,4.94,3671541
15,2020-03-30,4.86,4.86,4.62,4.74,4326720
16,2020-03-31,4.74,4.94,4.74,4.86,3548092
17,2020-04-01,4.78,5.18,4.78,5.14,3776573
18,2020-04-03,5.14,5.3,5.1,5.3,4185700
19,2020-04-06,5.18,5.82,5.18,5.82,9067705
20,2020-04-07,5.82,5.94,5.66,5.94,5730224
21,2020-04-08,5.9,6.18,5.82,6.18,6052955
22,2020-04-09,6.14,6.58,6.06,6.54,3893860
23,2020-04-10,6.5,7.18,5.98,6.98,4915216
24,2020-04-13,7.02,7.26,6.78,7.1,3262672
25,2020-04-14,7.1,7.1,6.82,7.1,5084359
26,2020-04-15,7.06,7.18,7.02,7.18,5145129
27,2020-04-16,7.18,7.18,6.98,7.14,2606662
28,2020-04-17,6.98,7.26,6.98,7.18,4932621
29,2020-04-20,7.18,7.18,6.94,6.94,4937658
30,2020-04-21,6.78,6.94,6.26,6.26,5584359
31,2020-04-22,6.18,6.7,5.78,6.46,3305313
32,2020-04-23,6.46,6.7,6.42,6.54,1785925
33,2020-04-24,6.38,6.54,6.38,6.54,1236565
34,2020-04-27,6.5,6.54,6.34,6.42,1674463
35,2020-04-28,6.42,6.42,6.14,6.38,1814591
36,2020-04-29,6.38,6.38,6.26,6.34,1362714
37,2020-05-04,6.3,6.3,6.18,6.22,1922976
38,2020-05-05,6.18,6.3,6.02,6.06,2449848
39,2020-05-06,6.06,6.18,5.9,6.18,2734983
40,2020-05-07,6.18,6.42,6.18,6.42,2012928
41,2020-05-08,6.42,6.78,6.18,6.78,3808903
42,2020-05-11,6.78,6.98,6.74,6.98,2107280
43,2020-05-12,6.98,6.98,6.82,6.9,1544029
44,2020-05-13,6.82,6.94,6.74,6.9,1176130
45,2020-05-14,6.86,6.94,6.74,6.86,2680578
46,2020-05-15,6.86,6.86,6.18,6.18,4373756
47,2020-05-18,6.18,6.18,5.58,5.94,6367453
48,2020-05-19,5.94,6.14,5.74,5.78,4170990
49,2020-05-20,5.78,5.78,5.22,5.22,6287217
50,2020-05-21,4.7,4.98,4.7,4.78,26292100
51,2020-05-22,4.78,5.26,4.58,5.26,13863233
52,2020-05-25,5.42,5.78,5.22,5.62,8898341
53,2020-05-26,5.5,5.7,5.22,5.58,9933431
54,2020-05-27,5.54,5.66,5.34,5.42,9628207
55,2020-05-28,5.42,5.7,5.34,5.62,9248948
56,2020-05-29,5.62,5.62,5.46,5.58,6773051
57,2020-06-01,5.58,5.66,5.46,5.62,9478349
58,2020-06-02,5.58,5.7,5.5,5.58,4778747
59,2020-06-03,5.58,6.06,5.5,6.06,12214182
60,2020-06-04,6.06,6.38,6.06,6.34,6320457
61,2020-06-05,6.34,6.38,6.22,6.38,5735946
62,2020-06-08,6.38,6.62,6.34,6.54,7691861
63,2020-06-09,6.46,6.58,6.42,6.42,4048463
