,time,open,high,low,close,volume
0,2023-01-11,24.67,24.81,24.59,24.74,1129239
1,2023-01-12,24.7,24.7,24.56,24.7,947863
2,2023-01-13,24.7,24.81,24.59,24.7,1061488
3,2023-01-16,24.74,24.78,24.56,24.78,1010000
4,2023-01-17,24.81,24.89,24.74,24.78,1042632
5,2023-01-18,24.78,24.89,24.7,24.81,1117200
6,2023-01-19,24.81,24.89,24.7,24.85,1073702
7,2023-01-27,24.89,25.07,24.85,24.92,1099477
8,2023-01-30,24.92,24.96,24.7,24.78,1121846
9,2023-01-31,24.78,24.78,24.59,24.74,1231369
10,2023-02-01,24.78,24.85,24.56,24.56,1032105
11,2023-02-02,24.56,24.63,24.41,24.48,1002517
12,2023-02-03,24.41,24.48,23.28,23.28,1200609
13,2023-02-06,23.35,23.35,23.13,23.31,1005099
14,2023-02-07,23.31,23.42,23.13,23.39,1033876
15,2023-02-08,23.39,23.61,23.31,23.42,1024970
16,2023-02-09,23.42,23.57,23.39,23.42,1000850
17,2023-02-10,23.46,23.5,23.31,23.39,931350
18,2023-02-13,23.39,23.42,23.2,23.24,909310
19,2023-02-14,23.2,23.35,23.13,23.2,901346
20,2023-02-15,23.2,23.39,23.2,23.31,968523
21,2023-02-16,23.35,23.42,23.28,23.39,918405
22,2023-02-17,23.39,23.46,23.28,23.39,893985
23,2023-02-20,23.39,23.64,23.39,23.64,938391
24,2023-02-21,23.64,23.72,23.53,23.61,1018056
25,2023-02-22,23.57,23.61,23.35,23.35,964918
26,2023-02-23,23.35,23.39,23.02,23.28,1094800
27,2023-02-24,23.31,23.35,22.84,23.13,973234
28,2023-02-27,23.13,23.17,22.84,23.06,886944
29,2023-02-28,23.09,23.24,23.06,23.24,877121
30,2023-03-01,23.24,23.5,23.09,23.46,900565
31,2023-03-02,23.46,23.53,23.31,23.42,918300
32,2023-03-03,23.42,23.53,23.13,23.39,869392
33,2023-03-06,23.42,23.68,23.42,23.53,934700
34,2023-03-07,23.53,23.79,23.53,23.72,929636
35,2023-03-08,23.64,23.79,23.46,23.79,876706
36,2023-03-09,23.83,23.9,23.57,23.86,1013877
37,2023-03-10,23.86,23.86,23.5,23.72,990289
38,2023-03-13,23.61,23.72,23.5,23.72,945906
39,2023-03-14,23.72,23.72,23.31,23.64,971109
40,2023-03-15,23.68,23.83,23.68,23.83,905394
41,2023-03-16,23.79,23.83,23.42,23.57,916831
42,2023-03-17,23.64,23.72,23.46,23.61,891716
43,2023-03-20,23.61,23.61,23.06,23.5,953401
44,2023-03-21,23.53,23.61,22.98,23.53,982214
45,2023-03-22,23.57,23.61,23.13,23.53,921884
46,2023-03-23,23.5,23.53,23.09,23.53,951834
47,2023-03-24,23.53,23.57,23.09,23.2,820110
48,2023-03-27,23.24,23.24,22.98,23.2,816829
49,2023-03-28,23.2,23.2,22.95,23.06,754554
50,2023-03-29,23.06,23.09,22.84,22.98,756537
51,2023-03-30,22.98,23.02,22.8,23.02,871969
52,2023-03-31,23.02,23.06,22.8,23.02,865151
53,2023-04-03,23.02,23.13,22.87,23.13,892864
54,2023-04-04,23.13,23.17,22.91,23.06,819400
55,2023-04-05,23.02,23.09,22.84,23.09,929632
56,2023-04-06,23.09,23.09,22.84,22.95,1017456
57,2023-04-07,22.95,22.95,22.76,22.91,831429
58,2023-04-10,22.91,22.98,22.8,22.91,787756
59,2023-04-11,22.8,22.95,22.73,22.95,825600
60,2023-04-12,22.95,22.95,22.76,22.95,862535
61,2023-04-13,22.95,22.95,22.76,22.95,835505
62,2023-04-14,22.91,22.95,22.76,22.91,806138
63,2023-04-17,22.87,22.95,22.8,22.95,726503
64,2023-04-18,22.95,22.95,22.76,22.87,833315
65,2023-04-19,22.87,22.91,22.76,22.8,746100
66,2023-04-20,22.84,22.84,22.69,22.84,715554
67,2023-04-21,22.84,22.87,22.69,22.76,776404
68,2023-04-24,22.76,22.8,22.58,22.76,763207
69,2023-04-25,22.76,22.76,22.54,22.58,631668
70,2023-04-26,22.58,22.58,22.22,22.25,579640
71,2023-04-27,22.29,22.4,22.14,22.4,845059
72,2023-04-28,22.4,23.39,22.4,23.39,945857
73,2023-05-04,23.35,23.35,22.95,23.02,623203
74,2023-05-05,23.02,23.06,22.87,23.02,538123
75,2023-05-08,23.06,23.17,23.02,23.09,624773
76,2023-05-09,23.09,23.24,22.98,23.09,666203
77,2023-05-10,23.09,23.13,22.98,22.98,449152
78,2023-05-11,22.98,23.02,22.84,22.84,520933
79,2023-05-12,22.84,22.84,22.62,22.69,544113
80,2023-05-15,22.73,22.84,22.54,22.54,487510
81,2023-05-16,22.54,22.58,22.22,22.22,511618
82,2023-05-17,22.18,22.22,22.0,22.0,559133
83,2023-05-18,22.0,22.0,21.78,22.0,649695
84,2023-05-19,22.0,22.0,21.81,21.92,540216
85,2023-05-22,21.92,22.07,21.89,22.07,560255
86,2023-05-23,22.07,22.14,21.89,21.96,528573
87,2023-05-24,22.0,22.03,21.85,21.89,488618
88,2023-05-25,21.85,21.92,21.7,21.89,621002
89,2023-05-26,21.92,22.03,21.89,22.0,580066
