,time,open,high,low,close,volume
0,2020-03-12,4.97,5.05,4.87,4.88,4606030
1,2020-03-13,4.58,4.96,4.58,4.79,4484960
2,2020-03-16,4.87,4.9,4.76,4.79,2897920
3,2020-03-17,4.72,5.12,4.61,5.12,4834780
4,2020-03-18,5.19,5.19,4.9,4.94,3190370
5,2020-03-19,4.83,5.01,4.79,4.94,2568540
6,2020-03-20,5.05,5.06,4.9,4.99,2868770
7,2020-03-23,4.76,4.83,4.65,4.65,3296350
8,2020-03-24,4.67,4.69,4.4,4.51,3009990
9,2020-03-25,4.69,4.81,4.6,4.81,2376040
10,2020-03-26,4.76,4.78,4.65,4.67,1256940
11,2020-03-27,4.69,4.7,4.45,4.45,2469460
12,2020-03-30,4.29,4.29,4.15,4.15,2427550
13,2020-03-31,4.22,4.31,4.0,4.18,1680730
14,2020-04-01,4.18,4.47,4.18,4.47,3715270
15,2020-04-03,4.65,4.78,4.61,4.78,4544530
16,2020-04-06,5.03,5.1,4.97,5.1,5473010
17,2020-04-07,5.23,5.24,5.05,5.1,6377610
18,2020-04-08,5.01,5.23,4.9,5.17,4091610
19,2020-04-09,5.44,5.52,5.41,5.52,5507100
20,2020-04-10,5.56,5.69,5.44,5.56,3233820
21,2020-04-13,5.5,5.6,5.44,5.5,3573400
22,2020-04-14,5.46,5.52,5.33,5.52,3902110
23,2020-04-15,5.56,5.62,5.52,5.58,3075990
24,2020-04-16,5.52,5.67,5.48,5.58,2603060
25,2020-04-17,5.64,5.77,5.62,5.69,3936040
26,2020-04-20,5.71,5.77,5.62,5.73,3326260
27,2020-04-21,5.56,5.62,5.33,5.37,4437860
28,2020-04-22,5.23,5.62,5.23,5.56,3435210
29,2020-04-23,5.64,5.77,5.56,5.56,2594810
30,2020-04-24,5.54,5.58,5.46,5.54,1507530
31,2020-04-27,5.58,5.58,5.46,5.48,2112890
32,2020-04-28,5.48,5.48,5.35,5.41,2587110
33,2020-04-29,5.44,5.48,5.39,5.44,1454150
34,2020-05-04,5.39,5.44,5.31,5.31,2180310
35,2020-05-05,5.31,5.39,5.27,5.29,1667710
36,2020-05-06,5.33,5.44,5.31,5.41,1675700
37,2020-05-07,5.41,5.52,5.39,5.52,2332040
38,2020-05-08,5.52,5.77,5.52,5.64,7919390
39,2020-05-11,5.73,5.92,5.71,5.92,6209600
40,2020-05-12,5.85,6.0,5.77,5.94,3956090
41,2020-05-13,5.85,5.98,5.73,5.87,5490540
42,2020-05-14,5.79,6.13,5.79,5.96,5857120
43,2020-05-15,6.0,6.04,5.81,5.83,3732360
44,2020-05-18,5.83,5.94,5.79,5.92,2313840
45,2020-05-19,6.06,6.1,5.94,5.98,6873020
46,2020-05-20,5.96,6.02,5.94,5.98,2577550
47,2020-05-21,6.04,6.06,5.94,6.0,3314490
48,2020-05-22,5.94,6.15,5.9,5.98,7455010
49,2020-05-25,6.02,6.1,5.98,6.08,6022830
50,2020-05-26,6.15,6.44,6.13,6.42,8120570
51,2020-05-27,6.48,6.5,6.23,6.23,7938010
52,2020-05-28,6.23,6.31,6.19,6.21,4876490
53,2020-05-29,6.19,6.23,6.13,6.19,3573780
54,2020-06-01,6.23,6.4,6.21,6.36,4455460
55,2020-06-02,6.4,6.42,6.27,6.29,6106810
56,2020-06-03,6.31,6.36,6.27,6.36,3251400
57,2020-06-04,6.46,6.67,6.46,6.56,9360040
58,2020-06-05,6.56,6.61,6.48,6.56,5731890
59,2020-06-08,6.77,6.77,6.65,6.71,5993130
60,2020-06-09,6.82,6.82,6.61,6.63,6435790
61,2020-06-10,6.59,6.73,6.44,6.69,6544090
62,2020-06-11,6.69,6.77,6.23,6.23,9349070
63,2020-06-12,6.1,6.48,5.98,6.48,7587730
64,2020-06-15,6.48,6.5,6.04,6.04,7253720
65,2020-06-16,6.27,6.38,6.17,6.36,5005720
66,2020-06-17,6.33,6.38,6.21,6.27,2911920
67,2020-06-18,6.15,6.27,6.15,6.27,1838500
68,2020-06-19,6.27,6.4,6.23,6.4,4986110
69,2020-06-22,6.36,6.48,6.25,6.36,3766890
70,2020-06-23,6.46,6.79,6.46,6.73,14025040
71,2020-06-24,6.73,6.84,6.56,6.59,5975970
72,2020-06-25,6.54,6.63,6.44,6.61,3914840
73,2020-06-26,6.65,6.77,6.46,6.48,4919890
74,2020-06-29,6.48,6.48,6.13,6.19,7502050
75,2020-06-30,6.36,6.38,6.04,6.19,3781930
76,2020-07-01,6.25,6.44,6.17,6.4,3435740
77,2020-07-02,6.36,6.4,6.29,6.33,2325600
78,2020-07-03,6.4,6.4,6.31,6.33,2288480
79,2020-07-06,6.4,6.52,6.33,6.52,3984350
80,2020-07-07,6.54,6.63,6.48,6.5,4850680
