,time,open,high,low,close,volume
0,2023-01-11,25.25,25.4,24.7,24.7,10081984
1,2023-01-12,24.9,24.95,24.55,24.95,7155428
2,2023-01-13,25.15,25.45,24.95,25.3,13354796
3,2023-01-16,25.4,25.55,25.0,25.5,7925830
4,2023-01-17,25.5,26.55,25.5,26.55,14389912
5,2023-01-18,26.55,26.85,26.55,26.8,8513536
6,2023-01-19,26.55,27.0,26.5,26.8,12061674
7,2023-01-27,27.1,27.4,26.65,26.65,8533546
8,2023-01-30,26.5,26.65,25.85,25.85,18541769
9,2023-01-31,25.85,27.1,25.15,27.1,25365079
10,2023-02-01,27.1,27.3,25.4,25.65,16201918
11,2023-02-02,25.7,26.35,25.4,26.15,18434807
12,2023-02-03,26.35,27.15,26.05,26.05,30635227
13,2023-02-06,26.1,26.4,25.6,25.7,19361868
14,2023-02-07,25.9,26.3,25.55,25.75,19756256
15,2023-02-08,25.9,25.95,25.0,25.0,28194191
16,2023-02-09,25.2,25.7,24.2,24.45,37346446
17,2023-02-10,24.5,24.8,23.65,23.65,16167962
18,2023-02-13,23.8,24.5,23.35,24.5,17394511
19,2023-02-14,24.5,24.85,24.05,24.4,9247692
20,2023-02-15,24.1,24.6,22.95,23.35,33360729
21,2023-02-16,23.75,24.25,23.45,23.9,15367025
22,2023-02-17,24.6,24.9,24.35,24.4,17977568
23,2023-02-20,24.3,25.7,24.2,25.7,20149215
24,2023-02-21,25.95,26.1,25.35,25.35,16563600
25,2023-02-22,25.1,25.5,24.7,24.7,18526430
26,2023-02-23,24.6,25.0,24.05,25.0,14253965
27,2023-02-24,25.05,25.05,24.3,24.3,8464966
28,2023-02-27,24.0,24.2,23.6,23.6,13399830
29,2023-02-28,23.95,24.0,23.6,23.75,6463014
30,2023-03-01,23.6,25.4,23.6,25.4,21607046
31,2023-03-02,25.4,25.7,25.2,25.6,11124254
32,2023-03-03,25.65,25.75,25.0,25.0,11815428
33,2023-03-06,25.25,25.6,24.7,24.9,18559454
34,2023-03-07,25.05,25.3,24.85,25.0,15477321
35,2023-03-08,24.85,25.35,24.85,25.35,13744831
36,2023-03-09,25.5,27.1,25.45,26.5,42579134
37,2023-03-10,26.5,26.85,25.95,26.0,23485094
38,2023-03-13,25.6,25.75,25.0,25.0,29610611
39,2023-03-14,24.9,25.05,24.1,24.4,25331525
40,2023-03-15,25.1,25.5,24.9,25.35,20098606
41,2023-03-16,24.8,24.95,24.5,24.6,19672220
42,2023-03-17,24.75,25.05,24.55,25.05,21264485
43,2023-03-20,25.0,25.05,24.2,24.2,16973540
44,2023-03-21,24.5,24.65,24.15,24.6,10859065
45,2023-03-22,24.75,25.25,24.6,24.8,16552110
46,2023-03-23,24.55,25.15,24.5,25.0,12242952
47,2023-03-24,25.25,25.55,25.05,25.05,16107786
48,2023-03-27,25.05,25.7,24.95,25.5,16705148
49,2023-03-28,25.9,26.0,25.3,25.4,17177966
50,2023-03-29,25.5,25.65,25.15,25.35,16808274
51,2023-03-30,25.7,26.45,25.4,26.0,39398454
52,2023-03-31,26.0,26.35,25.85,26.2,22410880
53,2023-04-03,26.6,27.05,26.5,26.75,25294093
54,2023-04-04,26.75,26.95,26.5,26.9,17730084
55,2023-04-05,26.9,26.9,25.9,26.25,39449154
56,2023-04-06,26.25,26.4,25.65,25.65,26272773
57,2023-04-07,25.75,26.0,25.5,26.0,15462570
58,2023-04-10,26.1,26.5,25.85,25.95,16466290
59,2023-04-11,25.9,25.95,25.6,25.95,13354446
60,2023-04-12,25.95,26.4,25.8,26.1,20360600
61,2023-04-13,26.2,26.55,26.05,26.45,16208067
62,2023-04-14,26.7,26.75,25.7,25.7,16399050
63,2023-04-17,25.8,26.05,25.65,25.9,10198863
64,2023-04-18,25.9,26.1,25.8,25.9,10114251
65,2023-04-19,26.0,26.0,25.5,25.5,14170417
66,2023-04-20,25.6,25.8,25.5,25.7,9010878
67,2023-04-21,25.7,25.8,25.5,25.6,8711727
68,2023-04-24,25.65,25.9,25.45,25.55,7660158
69,2023-04-25,25.75,25.9,24.9,25.05,15452437
70,2023-04-26,25.05,25.4,24.65,25.4,12437934
71,2023-04-27,25.4,25.5,25.15,25.15,6549106
72,2023-04-28,25.25,25.45,25.15,25.3,6775616
