,time,open,high,low,close,volume
0,2020-03-12,8.5,8.74,8.48,8.48,4054760
1,2020-03-13,7.89,8.76,7.89,8.62,4332700
2,2020-03-16,8.62,8.62,8.13,8.24,3645430
3,2020-03-17,8.03,8.48,7.96,8.48,3112070
4,2020-03-18,8.55,8.6,8.36,8.48,1908520
5,2020-03-19,8.31,8.41,8.1,8.15,2214980
6,2020-03-20,8.24,8.27,8.1,8.2,1878140
7,2020-03-23,7.65,8.03,7.63,7.63,3265510
8,2020-03-24,7.79,7.79,7.56,7.61,3209920
9,2020-03-25,7.79,7.89,7.7,7.84,2952270
10,2020-03-26,7.84,7.84,7.61,7.61,1487540
11,2020-03-27,7.63,7.65,7.37,7.56,2746330
12,2020-03-30,7.13,7.32,7.04,7.04,3360230
13,2020-03-31,7.09,7.32,6.61,7.09,1578850
14,2020-04-01,7.09,7.37,6.78,7.32,1316380
15,2020-04-03,7.32,7.53,7.32,7.49,1433510
16,2020-04-06,7.65,8.01,7.61,8.01,2966040
17,2020-04-07,8.03,8.13,7.94,8.01,2424610
18,2020-04-08,7.94,7.94,7.7,7.89,1408000
19,2020-04-09,8.08,8.1,7.96,7.98,2199830
20,2020-04-10,7.89,8.01,7.87,7.91,1495400
21,2020-04-13,7.91,8.31,7.91,8.13,2564400
22,2020-04-14,8.2,8.2,7.98,8.1,1446850
23,2020-04-15,8.17,8.29,8.13,8.29,2536130
24,2020-04-16,8.27,8.29,8.13,8.29,1858330
25,2020-04-17,8.41,8.43,8.27,8.38,2252420
26,2020-04-20,8.46,8.48,8.27,8.36,1847520
27,2020-04-21,8.17,8.22,7.89,7.96,3045020
28,2020-04-22,7.68,8.13,7.68,7.98,1742290
29,2020-04-23,8.13,8.17,8.01,8.01,1401680
30,2020-04-24,8.08,8.1,7.98,8.08,851770
31,2020-04-27,8.08,8.15,8.03,8.05,962880
32,2020-04-28,8.1,8.1,7.96,8.08,921180
33,2020-04-29,8.08,8.29,8.03,8.13,2860010
34,2020-05-04,8.13,8.36,8.1,8.22,2018840
35,2020-05-05,8.27,8.31,8.2,8.22,546010
36,2020-05-06,8.29,8.29,8.15,8.29,1175100
37,2020-05-07,8.29,8.36,8.24,8.36,2409540
38,2020-05-08,8.36,8.93,8.36,8.93,7260470
39,2020-05-11,9.21,9.54,9.14,9.54,4765680
40,2020-05-12,9.5,9.8,9.26,9.73,3555810
41,2020-05-13,9.59,9.78,9.35,9.73,4746350
42,2020-05-14,9.64,9.73,9.5,9.68,3351270
43,2020-05-15,9.73,9.73,9.45,9.57,2995800
44,2020-05-18,9.47,9.8,9.4,9.75,3017660
45,2020-05-19,10.09,10.11,9.9,10.06,4135900
46,2020-05-20,9.92,10.01,9.9,9.94,1911850
47,2020-05-21,9.94,10.39,9.85,10.39,3539410
48,2020-05-22,10.2,10.2,9.94,9.94,3322040
49,2020-05-25,9.97,10.06,9.9,9.94,1962970
50,2020-05-26,9.97,10.06,9.92,9.99,2220450
51,2020-05-27,10.01,10.11,9.87,9.87,2673490
52,2020-05-28,9.87,10.01,9.83,9.87,1584390
53,2020-05-29,9.85,9.9,9.78,9.78,1101170
54,2020-06-01,9.83,10.06,9.83,10.06,2341100
55,2020-06-02,10.16,10.16,9.97,9.99,2469400
56,2020-06-03,9.99,10.13,9.99,10.09,2064360
57,2020-06-04,10.11,10.13,10.01,10.01,2216760
58,2020-06-05,10.04,10.13,9.97,10.13,2251740
59,2020-06-08,10.18,10.35,10.18,10.25,3484860
60,2020-06-09,10.25,10.3,10.16,10.18,1702620
61,2020-06-10,10.09,10.37,10.04,10.32,2295880
62,2020-06-11,10.35,10.35,9.87,9.87,3478310
63,2020-06-12,9.73,10.04,9.68,9.99,3715000
64,2020-06-15,9.97,9.97,9.47,9.5,2302220
65,2020-06-16,9.68,9.73,9.59,9.73,1487150
66,2020-06-17,9.73,9.73,9.57,9.59,1416900
67,2020-06-18,9.59,9.66,9.54,9.54,625890
68,2020-06-19,9.54,9.68,9.54,9.68,632650
69,2020-06-22,9.8,9.9,9.68,9.8,1166650
70,2020-06-23,9.8,9.83,9.73,9.75,1173850
71,2020-06-24,9.78,9.8,9.64,9.68,860730
72,2020-06-25,9.54,9.64,9.5,9.54,1162400
73,2020-06-26,9.68,9.68,9.52,9.61,668030
74,2020-06-29,9.45,9.5,9.26,9.28,1752070
75,2020-06-30,9.33,9.4,9.02,9.24,1290510
76,2020-07-01,9.21,9.4,9.19,9.35,751460
77,2020-07-02,9.42,9.42,9.21,9.33,820250
78,2020-07-03,9.33,9.35,9.24,9.35,593390
79,2020-07-06,9.35,9.57,9.35,9.57,1220550
80,2020-07-07,9.59,9.64,9.54,9.57,895150
81,2020-07-08,9.54,9.57,9.5,9.5,676840
82,2020-07-09,9.57,9.9,9.5,9.9,3146430
83,2020-07-10,9.85,9.9,9.66,9.66,1398740
84,2020-07-13,9.83,9.83,9.45,9.59,1725580
85,2020-07-14,9.54,9.59,9.45,9.5,1809120
86,2020-07-15,9.59,9.8,9.59,9.73,1697190
87,2020-07-16,9.73,9.92,9.64,9.92,1662150
88,2020-07-17,9.78,9.83,9.71,9.73,1180670
89,2020-07-20,9.68,9.75,9.66,9.68,1164560
90,2020-07-21,9.68,9.71,9.59,9.68,818210
91,2020-07-22,9.73,9.73,9.57,9.57,1224170
92,2020-07-23,9.57,9.59,9.5,9.59,861140
93,2020-07-24,9.59,9.59,8.98,9.21,2951240
94,2020-07-27,9.02,9.07,8.57,8.57,2677650
95,2020-07-28,8.6,8.88,8.5,8.86,2883870
96,2020-07-29,8.64,8.69,8.27,8.57,1841250
97,2020-07-30,8.6,8.98,8.27,8.79,974910
98,2020-07-31,8.6,8.81,8.57,8.57,2304460
99,2020-08-03,8.62,8.79,8.57,8.79,1247760
100,2020-08-04,8.93,9.02,8.86,8.9,1210770
101,2020-08-05,8.93,9.19,8.83,9.19,1917290
102,2020-08-06,9.16,9.21,9.02,9.07,1860660
103,2020-08-07,9.12,9.14,9.0,9.05,951190
104,2020-08-10,9.12,9.31,9.12,9.16,2743500
105,2020-08-11,9.24,9.24,9.12,9.19,1334060
106,2020-08-12,9.19,9.31,9.19,9.28,1634530
107,2020-08-13,9.35,9.38,9.26,9.35,1584180
108,2020-08-14,9.35,9.54,9.28,9.35,2588850
109,2020-08-17,9.33,9.52,9.33,9.5,2732690
110,2020-08-18,9.5,9.54,9.45,9.47,1410740
111,2020-08-19,9.5,9.57,9.45,9.54,1132620
112,2020-08-20,9.54,9.57,9.38,9.45,3659990
113,2020-08-21,9.5,9.64,9.5,9.61,2817550
114,2020-08-24,9.8,9.92,9.68,9.9,2749740
115,2020-08-25,9.92,10.11,9.92,10.06,3775640
116,2020-08-26,10.01,10.06,9.92,9.97,2116830
117,2020-08-27,9.97,10.01,9.92,9.99,1792750
118,2020-08-28,10.06,10.32,10.04,10.2,5154230
119,2020-08-31,10.2,10.3,10.04,10.06,1793790
120,2020-09-01,10.06,10.25,9.97,10.25,2171350
121,2020-09-03,10.27,10.44,10.25,10.39,3326470
122,2020-09-04,10.25,10.35,10.25,10.32,2276910
123,2020-09-07,10.32,10.37,10.01,10.01,2350940
124,2020-09-08,10.09,10.16,9.94,10.16,1935300
125,2020-09-09,9.97,10.16,9.9,10.01,2762390
126,2020-09-10,10.06,10.2,10.06,10.13,1524900
127,2020-09-11,10.04,10.13,9.97,10.06,1236940
128,2020-09-14,10.06,10.18,10.06,10.16,1578270
129,2020-09-15,10.16,10.18,10.09,10.09,1835310
130,2020-09-16,10.09,10.13,10.04,10.11,1258880
131,2020-09-17,10.11,10.2,10.04,10.06,3654030
132,2020-09-18,10.11,10.3,10.09,10.3,5334940
133,2020-09-21,10.39,10.53,10.39,10.53,5874890
134,2020-09-22,10.51,10.61,10.42,10.56,3669840
135,2020-09-23,10.56,10.63,10.51,10.53,2941250
136,2020-09-24,10.51,10.61,10.44,10.61,3988170
137,2020-09-25,10.61,10.63,10.51,10.58,3497970
138,2020-09-28,10.56,10.86,10.51,10.79,2811640
139,2020-09-29,10.82,10.86,10.65,10.65,2973020
140,2020-09-30,10.65,10.68,10.53,10.68,2357980
141,2020-10-01,10.7,10.82,10.68,10.77,3497290
142,2020-10-02,10.82,10.86,10.56,10.65,4381810
143,2020-10-05,10.65,10.75,10.51,10.65,5363760
144,2020-10-06,10.72,10.75,10.49,10.58,6850730
145,2020-10-07,10.53,10.56,10.3,10.3,12159210
146,2020-10-08,10.35,10.39,10.09,10.09,14366760
147,2020-10-09,10.16,10.37,10.06,10.09,13523760
148,2020-10-12,10.2,10.32,10.01,10.01,14203730
149,2020-10-13,10.04,10.23,10.01,10.11,14215200
150,2020-10-14,10.2,10.79,10.2,10.79,48630920
151,2020-10-15,11.08,11.24,10.77,10.79,25323170
152,2020-10-16,10.82,11.01,10.68,10.7,27075400
153,2020-10-19,10.84,11.03,10.79,10.86,28506770
154,2020-10-20,10.86,11.41,10.86,11.29,34662420
155,2020-10-21,11.43,11.53,11.2,11.22,20951070
156,2020-10-22,11.2,11.34,11.1,11.31,24408740
157,2020-10-23,11.38,11.43,11.27,11.34,28288440
158,2020-10-26,11.53,11.79,11.03,11.03,24707670
159,2020-10-27,11.24,11.31,11.01,11.01,30805330
160,2020-10-28,11.03,11.08,10.58,10.58,32092220
161,2020-10-29,10.44,10.72,10.3,10.3,36149460
162,2020-10-30,10.44,10.51,10.09,10.09,28887760
163,2020-11-02,10.2,10.32,10.11,10.11,22943680
164,2020-11-03,10.3,10.61,10.23,10.39,27962010
165,2020-11-04,10.53,10.68,10.46,10.46,21927670
166,2020-11-05,10.46,10.56,10.3,10.3,19766660
167,2020-11-06,10.35,10.39,10.16,10.2,15368880
168,2020-11-09,10.32,10.49,10.3,10.42,17624180
169,2020-11-10,10.63,10.65,10.42,10.44,21221910
170,2020-11-11,10.49,10.58,10.39,10.39,14433190
171,2020-11-12,10.44,10.53,10.39,10.53,10771120
172,2020-11-13,10.58,10.94,10.58,10.86,22376970
173,2020-11-16,11.05,11.05,10.77,10.82,25236270
174,2020-11-17,10.86,11.03,10.79,11.03,17457030
175,2020-11-18,11.01,11.15,10.91,11.03,22760740
176,2020-11-19,11.03,11.15,10.96,11.05,16935520
177,2020-11-20,11.1,11.1,11.01,11.05,13546080
178,2020-11-23,11.05,11.17,10.91,11.15,17857230
179,2020-11-24,11.2,11.34,11.05,11.17,22530770
180,2020-11-25,11.29,11.31,11.12,11.15,13655890
181,2020-11-26,11.17,11.2,11.05,11.15,13091570
182,2020-11-27,11.17,11.29,11.12,11.2,12261190
183,2020-11-30,11.31,11.53,11.2,11.38,24645230
184,2020-12-01,11.24,11.57,11.17,11.57,22797760
185,2020-12-02,11.62,11.95,11.62,11.86,27463650
186,2020-12-03,11.88,12.05,11.81,11.81,17490250
187,2020-12-04,11.76,11.81,11.69,11.72,16507860
188,2020-12-07,11.72,11.9,11.72,11.83,13044510
189,2020-12-08,11.9,11.9,11.76,11.81,14341140
190,2020-12-09,11.9,12.23,11.83,12.16,19001670
191,2020-12-10,12.28,12.28,11.95,11.95,18133060
192,2020-12-11,11.95,12.12,11.83,12.12,14116670
193,2020-12-14,12.23,12.42,12.14,12.38,15694300
194,2020-12-15,12.33,12.45,12.26,12.35,13700860
195,2020-12-16,12.49,13.2,12.47,13.2,29092450
196,2020-12-17,13.23,13.86,13.2,13.39,29802380
197,2020-12-18,13.46,13.82,13.46,13.79,15252570
198,2020-12-21,13.94,14.12,13.75,13.89,22777010
199,2020-12-22,13.79,13.94,13.72,13.79,17109090
200,2020-12-23,13.79,13.82,13.46,13.56,19453550
201,2020-12-24,13.56,13.65,12.71,13.2,26106600
202,2020-12-25,13.2,13.98,13.09,13.96,17113750
203,2020-12-28,14.12,14.31,13.94,14.03,14471300
204,2020-12-29,14.01,14.12,13.94,14.05,12909770
205,2020-12-30,14.08,14.43,14.03,14.12,16579440
206,2020-12-31,14.17,15.0,14.12,14.88,16486510
207,2021-01-04,15.12,15.78,15.07,15.59,18607800
208,2021-01-05,15.47,15.75,15.38,15.61,14280100
209,2021-01-06,15.68,16.11,15.57,15.68,20222300
210,2021-01-07,15.92,16.34,15.78,16.34,16387200
211,2021-01-08,16.53,17.12,16.49,16.86,16947900
212,2021-01-11,16.89,17.12,16.63,16.65,13980300
