,time,open,high,low,close,volume
0,2020-03-12,5.74,5.76,5.52,5.74,610480
1,2020-03-13,5.34,5.76,5.34,5.55,281610
2,2020-03-16,5.55,5.78,5.55,5.78,563900
3,2020-03-17,5.74,5.93,5.55,5.93,269620
4,2020-03-18,5.93,6.02,5.89,6.02,558100
5,2020-03-19,6.0,6.02,5.88,6.02,503440
6,2020-03-20,5.89,6.19,5.89,6.19,1064230
7,2020-03-23,6.19,6.19,5.79,6.02,763990
8,2020-03-24,6.07,6.2,5.93,6.2,1415010
9,2020-03-25,6.09,6.2,6.09,6.19,249770
10,2020-03-26,6.19,6.19,5.79,5.79,117490
11,2020-03-27,5.59,5.79,5.58,5.58,98820
12,2020-03-30,5.23,5.51,5.2,5.2,166320
13,2020-03-31,5.2,5.2,4.85,4.85,122410
14,2020-04-01,4.51,4.94,4.51,4.58,286720
15,2020-04-03,4.58,4.78,4.58,4.73,101430
16,2020-04-06,4.8,4.94,4.73,4.93,395510
17,2020-04-07,4.94,4.94,4.78,4.94,200320
18,2020-04-08,4.66,4.9,4.66,4.83,52310
19,2020-04-09,4.93,4.97,4.86,4.92,167930
20,2020-04-10,4.92,4.92,4.8,4.86,86670
21,2020-04-13,4.9,4.94,4.86,4.92,204450
22,2020-04-14,4.94,4.96,4.86,4.9,119710
23,2020-04-15,4.9,5.17,4.9,5.17,197400
24,2020-04-16,5.17,5.17,5.03,5.13,73710
25,2020-04-17,5.11,5.26,5.11,5.23,135520
26,2020-04-20,5.23,5.28,5.17,5.17,126480
27,2020-04-21,5.16,5.16,4.83,4.86,156100
28,2020-04-22,4.8,5.0,4.8,5.0,33200
29,2020-04-23,5.14,5.14,4.94,5.0,31680
30,2020-04-24,5.1,5.1,5.0,5.0,34280
31,2020-04-27,5.0,5.03,4.92,4.94,29160
32,2020-04-28,5.0,5.0,4.86,4.94,34610
33,2020-04-29,4.94,4.99,4.86,4.92,88040
34,2020-05-04,4.86,4.96,4.86,4.92,74680
35,2020-05-05,4.97,4.97,4.92,4.97,33750
36,2020-05-06,5.0,5.09,4.97,5.07,101950
37,2020-05-07,5.14,5.14,5.07,5.11,85730
38,2020-05-08,5.14,5.23,5.1,5.11,168160
39,2020-05-11,5.11,5.37,5.11,5.3,137630
40,2020-05-12,5.31,5.67,5.24,5.67,353420
