,time,open,high,low,close,volume
0,2023-01-11,49.09,49.09,47.85,47.85,984111
1,2023-01-12,47.91,47.91,47.12,47.68,1879784
2,2023-01-13,47.91,48.64,47.91,48.24,822866
3,2023-01-16,48.36,49.76,48.36,49.09,737007
4,2023-01-17,49.76,50.27,49.09,50.27,645550
5,2023-01-18,50.61,51.17,50.27,50.61,836046
6,2023-01-19,50.32,53.98,49.2,52.29,1720442
7,2023-01-27,52.29,53.19,51.45,52.29,1554077
8,2023-01-30,51.79,52.01,50.49,50.55,1046115
9,2023-01-31,50.55,51.67,49.37,51.67,1449748
10,2023-02-01,51.73,52.01,50.1,50.1,1137519
11,2023-02-02,49.82,51.73,49.82,50.94,985306
12,2023-02-03,50.77,52.29,50.1,52.29,894615
13,2023-02-06,52.07,54.15,51.45,53.98,1154264
14,2023-02-07,53.59,53.7,51.73,51.73,1196748
15,2023-02-08,51.79,54.09,51.79,52.97,886576
16,2023-02-09,52.74,53.42,52.29,52.29,760552
17,2023-02-10,53.14,53.14,52.18,53.14,648708
18,2023-02-13,53.3,53.64,51.73,52.57,873881
19,2023-02-14,52.57,52.57,51.28,52.01,1143667
20,2023-02-15,52.01,52.97,51.28,52.29,899713
21,2023-02-16,52.29,52.85,51.84,51.95,777372
22,2023-02-17,52.29,52.46,51.73,52.29,919596
23,2023-02-20,52.29,53.14,52.29,52.74,1095988
24,2023-02-21,52.97,53.36,52.85,52.97,676960
25,2023-02-22,52.97,53.02,52.01,52.29,1026246
26,2023-02-23,52.29,52.85,51.28,52.46,1026332
27,2023-02-24,52.29,52.85,50.61,52.57,631786
28,2023-02-27,52.29,52.57,51.56,52.18,501731
29,2023-02-28,52.35,52.69,52.07,52.57,566115
30,2023-03-01,51.9,52.52,51.84,52.29,730121
31,2023-03-02,52.29,52.74,51.62,52.4,985271
32,2023-03-03,51.62,52.18,51.11,51.11,799049
33,2023-03-06,51.17,51.84,51.17,51.17,712399
34,2023-03-07,51.45,52.01,51.22,51.67,970761
35,2023-03-08,51.17,51.84,51.0,51.84,872316
36,2023-03-09,51.73,52.52,51.56,52.29,1098833
37,2023-03-10,51.84,52.01,51.45,51.79,708269
38,2023-03-13,51.73,51.73,51.06,51.45,759814
