,time,open,high,low,close,volume
0,2023-01-11,50.3,50.9,49.8,50.8,1187504
1,2023-01-12,51.1,51.7,51.0,51.5,1239502
2,2023-01-13,51.7,52.0,51.1,52.0,1047651
3,2023-01-16,52.0,52.3,51.3,51.3,1119444
4,2023-01-17,51.3,52.0,49.55,52.0,1455562
5,2023-01-18,52.0,52.9,50.9,52.5,1265675
6,2023-01-19,52.4,53.4,51.5,52.2,2236566
7,2023-01-27,52.4,53.9,51.9,53.3,1283501
8,2023-01-30,53.3,53.5,51.5,51.5,1350577
9,2023-01-31,51.5,51.8,50.4,50.9,1313510
10,2023-02-01,50.7,50.9,48.0,48.0,3650456
11,2023-02-02,48.5,49.2,47.7,47.9,2157146
12,2023-02-03,48.0,48.5,47.5,48.1,1247077
13,2023-02-06,47.9,48.0,47.1,47.95,1693915
14,2023-02-07,48.0,48.0,46.05,46.8,2543605
15,2023-02-08,46.7,46.7,44.45,46.6,4746980
16,2023-02-09,45.65,46.7,45.3,45.3,3121751
17,2023-02-10,45.0,45.75,45.0,45.4,1602986
18,2023-02-13,44.8,45.0,43.4,44.4,2468865
19,2023-02-14,44.0,44.2,42.2,42.75,3876595
20,2023-02-15,42.7,42.7,41.6,42.5,4289204
21,2023-02-16,42.75,42.75,42.0,42.5,2366897
22,2023-02-17,42.7,43.6,42.5,43.3,2065454
23,2023-02-20,43.5,46.3,43.4,45.2,4178775
24,2023-02-21,45.5,46.15,45.1,45.2,1572736
25,2023-02-22,44.6,44.8,42.6,42.6,3713301
26,2023-02-23,42.6,42.85,40.6,42.0,4590701
27,2023-02-24,41.7,42.0,40.9,41.0,3014465
28,2023-02-27,40.0,40.9,39.4,40.9,5327743
29,2023-02-28,41.0,41.95,40.4,41.5,1632907
30,2023-03-01,41.05,41.3,39.8,41.2,3325817
31,2023-03-02,41.0,41.5,40.45,41.1,1948238
32,2023-03-03,41.0,41.2,40.55,40.95,1387815
33,2023-03-06,41.75,43.2,41.5,42.1,2997427
34,2023-03-07,42.7,43.0,42.1,42.3,1671441
35,2023-03-08,41.3,42.35,41.3,42.35,1953366
36,2023-03-09,42.35,43.0,42.25,42.4,1781213
37,2023-03-10,42.4,43.0,42.0,42.85,2537729
38,2023-03-13,42.8,44.8,42.75,44.75,3227482
39,2023-03-14,44.2,45.35,44.1,44.75,2839940
40,2023-03-15,45.25,46.6,44.95,46.0,2071419
41,2023-03-16,45.8,45.8,44.25,44.5,2039641
42,2023-03-17,44.6,45.2,43.35,43.35,4943231
43,2023-03-20,44.1,44.1,42.55,42.55,2168118
44,2023-03-21,43.0,45.5,43.0,45.4,2539644
45,2023-03-22,45.6,48.0,45.6,47.65,4397098
46,2023-03-23,47.4,48.0,46.85,48.0,2272451
47,2023-03-24,48.0,49.85,48.0,49.0,2611824
48,2023-03-27,49.0,49.5,48.4,48.4,1870024
49,2023-03-28,48.45,49.5,47.0,48.0,2551706
50,2023-03-29,48.05,48.05,47.1,48.0,1251914
51,2023-03-30,48.8,49.95,48.1,49.55,1677329
52,2023-03-31,49.6,51.5,49.6,51.5,2720974
53,2023-04-03,52.2,53.7,52.0,52.6,2844182
54,2023-04-04,53.0,53.0,51.0,51.0,1517376
55,2023-04-05,51.0,52.3,50.6,52.2,2190062
56,2023-04-06,52.0,52.2,51.2,51.2,1035460
57,2023-04-07,51.2,51.5,50.3,50.7,780361
58,2023-04-10,51.4,51.5,49.8,49.8,1326919
59,2023-04-11,49.3,51.7,49.3,51.5,2079069
60,2023-04-12,51.9,52.1,51.0,51.6,2032455
61,2023-04-13,51.6,51.7,50.3,50.5,1341067
62,2023-04-14,50.7,51.5,49.7,50.0,1319272
63,2023-04-17,50.1,50.9,50.0,50.3,1028891
64,2023-04-18,50.9,51.3,50.5,50.8,1762327
65,2023-04-19,50.8,51.2,50.0,50.4,973760
66,2023-04-20,50.5,50.7,49.85,50.7,484388
67,2023-04-21,50.5,50.7,49.9,50.3,735067
68,2023-04-24,50.8,52.0,50.2,50.5,1345611
69,2023-04-25,51.2,51.2,49.85,50.2,2139465
70,2023-04-26,49.9,49.9,48.0,48.0,2278292
71,2023-04-27,48.0,48.7,46.85,47.5,2649198
72,2023-04-28,47.7,49.5,47.4,49.5,1145595
73,2023-05-04,49.5,49.5,48.2,49.5,1315091
74,2023-05-05,49.15,49.5,48.6,49.0,793785
75,2023-05-08,48.85,49.55,48.6,49.4,1058198
76,2023-05-09,49.05,49.5,48.75,49.3,1270731
77,2023-05-10,49.3,49.4,48.9,49.35,519466
78,2023-05-11,49.5,49.5,48.95,49.15,524722
79,2023-05-12,49.1,51.2,48.9,51.2,1440468
80,2023-05-15,52.0,52.5,51.5,51.7,1701326
81,2023-05-16,51.7,52.2,51.5,52.2,1496658
82,2023-05-17,52.2,53.9,52.2,53.4,3112207
83,2023-05-18,53.9,55.8,53.5,55.0,3532540
84,2023-05-19,55.5,55.5,53.5,54.1,1845772
85,2023-05-22,55.0,55.0,53.5,54.1,1651073
86,2023-05-23,54.5,54.5,53.0,53.7,1158121
87,2023-05-24,53.7,54.5,53.3,54.5,849451
88,2023-05-25,54.7,55.6,54.0,55.0,1608735
89,2023-05-26,55.0,56.4,54.6,55.0,1792634
90,2023-05-29,55.0,56.3,55.0,55.5,1607032
91,2023-05-30,56.0,56.0,54.6,54.9,1390918
92,2023-05-31,55.0,55.0,53.5,53.5,1538935
93,2023-06-01,53.5,54.0,53.0,53.0,914726
94,2023-06-02,53.5,53.9,53.0,53.4,1357706
95,2023-06-05,54.0,55.1,53.3,53.7,1432068
96,2023-06-06,54.4,55.0,53.9,55.0,1362251
97,2023-06-07,55.3,55.7,54.5,55.3,1858448
98,2023-06-08,55.3,56.0,55.1,55.4,2326546
99,2023-06-09,55.0,55.8,54.8,55.5,1051610
100,2023-06-12,55.5,55.5,54.4,55.4,1151452
101,2023-06-13,55.2,56.7,55.1,56.7,2372546
102,2023-06-14,56.8,58.2,56.7,57.0,2457231
103,2023-06-15,57.0,57.9,55.8,56.5,2453912
104,2023-06-16,56.4,56.9,55.0,56.0,2452897
105,2023-06-19,56.1,56.1,54.8,55.0,1529209
106,2023-06-20,55.0,55.7,54.5,55.1,985087
107,2023-06-21,55.0,55.3,54.3,54.6,2368585
108,2023-06-22,55.0,55.7,54.7,55.7,1916156
109,2023-06-23,55.2,56.0,55.1,56.0,2160849
110,2023-06-26,55.6,55.8,54.8,55.5,1422939
111,2023-06-27,55.5,55.9,55.4,55.9,992807
112,2023-06-28,56.1,56.2,55.0,55.4,1389913
113,2023-06-29,55.4,55.4,54.9,55.0,1248508
114,2023-06-30,54.8,55.5,54.3,55.0,1459026
115,2023-07-03,55.0,55.9,55.0,55.9,1044044
116,2023-07-04,55.9,56.8,55.5,56.5,1451951
117,2023-07-05,56.5,56.5,55.3,56.1,1623867
118,2023-07-06,55.3,55.9,54.5,54.5,1406446
119,2023-07-07,54.5,54.9,54.0,54.0,1221564
120,2023-07-10,54.1,54.4,53.6,53.8,2151264
121,2023-07-11,53.6,53.9,53.6,53.9,2616883
122,2023-07-12,53.9,55.3,53.9,55.1,2186477
123,2023-07-13,55.4,56.3,55.3,56.3,3011297
124,2023-07-14,56.5,56.6,55.8,56.4,2055399
125,2023-07-17,56.7,59.0,56.5,59.0,4271231
126,2023-07-18,58.5,59.4,58.0,58.8,2910287
127,2023-07-19,58.8,59.0,58.2,58.5,2217079
128,2023-07-20,58.5,58.5,57.3,57.7,3589677
129,2023-07-21,57.5,59.0,57.3,59.0,3604709
130,2023-07-24,59.5,59.5,58.1,59.1,2050092
131,2023-07-25,58.8,59.2,58.2,58.6,3621300
132,2023-07-26,58.3,59.0,58.3,59.0,3075978
133,2023-07-27,59.0,59.1,57.5,57.5,2724936
134,2023-07-28,57.7,58.9,57.4,58.9,2868904
135,2023-07-31,62.2,63.0,61.0,63.0,5509846
136,2023-08-01,63.9,66.2,62.8,62.8,6557499
137,2023-08-02,62.6,62.9,61.9,61.9,3440866
138,2023-08-03,62.0,62.2,60.1,60.1,2946152
139,2023-08-04,60.9,63.8,60.6,63.0,4717439
140,2023-08-07,63.7,63.7,61.6,62.9,3397528
141,2023-08-08,62.9,63.8,62.5,62.8,5301852
142,2023-08-09,62.3,62.7,60.6,60.6,5593597
143,2023-08-10,60.7,61.6,60.6,60.6,4744392
144,2023-08-11,62.3,62.5,59.8,60.9,4794595
145,2023-08-14,60.9,61.8,60.8,61.2,6217819
146,2023-08-15,61.2,62.5,60.9,61.7,5688841
147,2023-08-16,63.0,64.1,62.3,62.9,6369300
148,2023-08-17,62.1,62.6,61.0,61.0,5438846
149,2023-08-18,60.8,60.8,56.8,56.8,9565690
150,2023-08-21,56.8,57.2,55.7,56.0,5230959
151,2023-08-22,56.8,56.8,54.5,55.5,4568751
152,2023-08-23,56.9,56.9,54.4,54.5,6685847
153,2023-08-24,54.9,56.1,54.4,55.4,4649385
154,2023-08-25,55.5,55.5,54.0,54.1,5130705
155,2023-08-28,54.5,55.3,54.2,54.7,5224819
156,2023-08-29,55.0,55.8,54.4,54.6,5306966
157,2023-08-30,54.6,55.1,54.1,54.6,5035121
158,2023-08-31,54.8,55.9,54.7,54.7,6422343
159,2023-09-05,55.2,55.5,54.4,55.3,9062554
160,2023-09-06,55.5,57.0,55.4,55.9,9774066
161,2023-09-07,56.5,56.6,54.9,55.1,8728031
