,time,open,high,low,close,volume
0,2020-03-03,4.28,4.37,4.28,4.28,1753520
1,2020-03-04,4.28,4.3,4.26,4.3,717445
2,2020-03-05,4.3,4.37,4.23,4.26,1430847
3,2020-03-06,4.3,4.3,4.19,4.26,878862
4,2020-03-09,4.19,4.19,3.58,3.77,5896152
5,2020-03-10,3.74,4.02,3.72,4.0,2161508
6,2020-03-11,4.02,4.02,3.72,3.88,2299550
7,2020-03-12,3.77,3.81,3.55,3.67,2366087
8,2020-03-13,3.51,3.72,3.37,3.6,2739933
9,2020-03-16,3.63,3.65,3.48,3.53,1053796
10,2020-03-17,3.51,3.55,3.37,3.51,1369993
11,2020-03-18,3.48,3.58,3.48,3.51,609580
12,2020-03-19,3.51,3.53,3.39,3.44,764288
13,2020-03-20,3.44,3.48,3.41,3.44,324349
14,2020-03-23,3.41,3.44,3.02,3.06,1989844
15,2020-03-24,3.11,3.18,3.06,3.18,807017
16,2020-03-25,3.23,3.41,3.2,3.39,1192400
17,2020-03-26,3.32,3.41,3.2,3.23,648007
18,2020-03-27,3.18,3.3,3.18,3.2,310649
19,2020-03-30,3.04,3.18,2.9,2.97,900039
20,2020-03-31,3.02,3.11,2.92,2.99,925612
21,2020-04-01,3.02,3.11,2.99,3.09,294770
22,2020-04-03,3.09,3.18,3.06,3.16,795050
23,2020-04-06,3.16,3.37,3.16,3.34,1020978
24,2020-04-07,3.37,3.44,3.27,3.34,650240
25,2020-04-08,3.34,3.34,3.25,3.3,592808
26,2020-04-09,3.32,3.37,3.3,3.37,1074312
27,2020-04-10,3.37,3.37,3.3,3.32,612012
28,2020-04-13,3.32,3.39,3.27,3.32,551333
29,2020-04-14,3.34,3.39,3.3,3.32,576043
30,2020-04-15,3.34,3.51,3.34,3.41,2079760
31,2020-04-16,3.44,3.46,3.37,3.44,488261
32,2020-04-17,3.44,3.53,3.44,3.44,1244355
33,2020-04-20,3.48,3.58,3.44,3.46,1312060
34,2020-04-21,3.51,3.55,3.32,3.37,1196775
35,2020-04-22,3.32,3.44,3.25,3.39,928810
36,2020-04-23,3.39,3.48,3.39,3.39,353550
37,2020-04-24,3.39,3.41,3.37,3.37,363171
38,2020-04-27,3.37,3.41,3.32,3.37,466516
39,2020-04-28,3.37,3.39,3.32,3.39,385960
40,2020-04-29,3.39,3.41,3.37,3.39,418833
41,2020-05-04,3.39,3.39,3.34,3.34,350874
42,2020-05-05,3.34,3.37,3.32,3.34,207333
43,2020-05-06,3.34,3.41,3.34,3.37,527580
44,2020-05-07,3.34,3.41,3.34,3.39,339828
45,2020-05-08,3.39,3.53,3.39,3.46,1165615
46,2020-05-11,3.46,3.58,3.44,3.58,1287559
47,2020-05-12,3.58,3.6,3.51,3.6,980524
48,2020-05-13,3.55,3.63,3.53,3.58,619390
49,2020-05-14,3.58,3.58,3.53,3.55,822910
50,2020-05-15,3.55,3.58,3.48,3.51,572365
51,2020-05-18,3.51,3.53,3.48,3.53,501442
52,2020-05-19,3.55,3.63,3.55,3.58,1086727
53,2020-05-20,3.58,3.58,3.53,3.53,783043
54,2020-05-21,3.55,3.63,3.53,3.6,887025
55,2020-05-22,3.6,3.74,3.58,3.65,1648500
56,2020-05-25,3.7,3.79,3.6,3.74,1546574
57,2020-05-26,3.74,3.86,3.72,3.84,949626
58,2020-05-27,3.84,3.88,3.77,3.79,2058493
59,2020-05-28,3.79,3.81,3.74,3.79,912036
60,2020-05-29,3.79,3.84,3.77,3.81,654976
61,2020-06-01,3.81,4.0,3.81,3.95,2093625
62,2020-06-02,3.95,4.02,3.91,3.98,992502
63,2020-06-03,3.98,4.14,3.98,4.14,2254645
64,2020-06-04,4.12,4.21,4.12,4.14,1346102
65,2020-06-05,4.14,4.16,4.07,4.12,1715045
66,2020-06-08,4.12,4.21,4.09,4.19,1170012
67,2020-06-09,4.16,4.21,4.12,4.21,1939347
68,2020-06-10,4.19,4.19,4.09,4.16,1027828
69,2020-06-11,4.14,4.21,3.93,3.98,2450732
70,2020-06-12,3.86,4.09,3.86,4.05,1384928
71,2020-06-15,4.05,4.07,3.91,3.95,894516
72,2020-06-16,3.98,4.05,3.95,4.02,910998
73,2020-06-17,4.05,4.05,3.98,4.0,508649
74,2020-06-18,4.0,4.05,3.98,4.05,216642
75,2020-06-19,4.0,4.12,4.0,4.09,379358
76,2020-06-22,4.12,4.12,4.07,4.09,452918
77,2020-06-23,4.09,4.12,4.05,4.09,497628
78,2020-06-24,4.09,4.16,4.07,4.12,613284
79,2020-06-25,4.02,4.16,4.02,4.16,795653
80,2020-06-26,4.16,4.16,4.09,4.12,444060
81,2020-06-29,4.12,4.12,4.02,4.07,695034
82,2020-06-30,4.09,4.14,4.02,4.07,505813
83,2020-07-01,4.09,4.14,4.07,4.14,504327
84,2020-07-02,4.14,4.16,4.09,4.14,1319895
85,2020-07-03,4.16,4.16,4.14,4.14,440727
86,2020-07-06,4.14,4.16,4.09,4.14,725536
87,2020-07-07,4.16,4.19,4.14,4.16,700953
88,2020-07-08,4.16,4.37,4.14,4.3,1859618
89,2020-07-09,4.3,4.44,4.3,4.4,1546175
90,2020-07-10,4.4,4.4,4.28,4.33,1130622
91,2020-07-13,4.33,4.4,4.28,4.3,609791
92,2020-07-14,4.3,4.33,4.28,4.3,366626
93,2020-07-15,4.33,4.49,4.3,4.44,2018401
94,2020-07-16,4.44,4.61,4.44,4.56,1977932
95,2020-07-17,4.58,4.58,4.51,4.58,960045
96,2020-07-20,4.58,4.65,4.56,4.63,1786914
97,2020-07-21,4.61,4.72,4.61,4.72,1561773
98,2020-07-22,4.77,4.86,4.72,4.79,1767643
99,2020-07-23,4.79,4.84,4.68,4.75,1273565
100,2020-07-24,4.75,4.75,4.42,4.51,3268484
101,2020-07-27,4.44,4.44,4.09,4.14,3379143
102,2020-07-28,4.16,4.4,4.14,4.35,1486515
103,2020-07-29,4.35,4.35,4.0,4.09,1347306
104,2020-07-30,4.09,4.21,4.09,4.14,1069882
105,2020-07-31,4.09,4.28,4.05,4.21,955484
106,2020-08-03,4.23,4.42,4.21,4.42,1716060
107,2020-08-04,4.42,4.54,4.4,4.44,1205530
108,2020-08-05,4.44,4.51,4.42,4.47,772175
109,2020-08-06,4.68,5.15,4.47,4.56,1657359
110,2020-08-07,4.68,4.68,4.51,4.54,700448
111,2020-08-10,4.54,4.68,4.54,4.61,1232135
112,2020-08-11,4.63,4.75,4.61,4.72,1816914
113,2020-08-12,4.72,4.89,4.72,4.84,2908268
114,2020-08-13,4.82,4.93,4.82,4.86,1569494
115,2020-08-14,4.86,4.86,4.75,4.75,1288597
116,2020-08-17,4.79,4.84,4.72,4.82,480014
117,2020-08-18,4.82,4.96,4.77,4.89,1520983
118,2020-08-19,4.89,4.93,4.86,4.89,930177
119,2020-08-20,4.89,4.98,4.86,4.89,1394638
120,2020-08-21,4.89,4.98,4.89,4.96,927842
121,2020-08-24,4.93,5.03,4.93,5.01,1997809
122,2020-08-25,5.05,5.17,5.03,5.1,4105763
123,2020-08-26,5.1,5.31,5.1,5.19,1749787
124,2020-08-27,5.19,5.29,5.19,5.29,1062067
125,2020-08-28,5.31,5.31,5.24,5.29,1382505
126,2020-08-31,5.29,5.33,5.1,5.15,2777800
127,2020-09-01,5.15,5.19,5.1,5.17,572944
128,2020-09-03,5.19,5.43,5.19,5.36,1877480
129,2020-09-04,5.38,5.38,5.22,5.31,1152863
130,2020-09-07,5.31,5.36,5.24,5.24,1154881
131,2020-09-08,5.24,5.29,5.19,5.26,711262
132,2020-09-09,5.17,5.24,5.15,5.24,880072
133,2020-09-10,5.26,5.29,5.22,5.24,511931
134,2020-09-11,5.24,5.26,5.22,5.26,303811
135,2020-09-14,5.26,5.31,5.26,5.31,592291
136,2020-09-15,5.29,5.57,5.29,5.5,1962679
137,2020-09-16,5.54,5.59,5.45,5.5,586193
138,2020-09-17,5.5,5.54,5.47,5.5,713588
139,2020-09-18,5.5,5.85,5.5,5.85,2411775
140,2020-09-21,5.85,6.03,5.82,5.87,1260312
141,2020-09-22,5.89,5.92,5.8,5.87,648599
142,2020-09-23,5.87,6.1,5.87,6.03,2685712
143,2020-09-24,6.01,6.08,5.96,6.03,1733246
