,time,open,high,low,close,volume
0,2020-03-12,80.89,82.05,80.27,81.6,1896270
1,2020-03-13,76.45,82.22,75.91,82.22,1226880
2,2020-03-16,81.78,82.22,76.98,82.22,971340
3,2020-03-17,79.56,82.05,77.87,78.67,681330
4,2020-03-18,78.13,80.0,76.89,79.11,785390
5,2020-03-19,77.25,78.85,73.87,78.85,1103680
6,2020-03-20,78.85,78.85,73.33,73.33,1083480
7,2020-03-23,69.33,69.6,68.27,68.27,678160
8,2020-03-24,63.82,66.67,63.56,63.56,1474050
9,2020-03-25,63.56,68.0,60.45,68.0,1401570
10,2020-03-26,68.98,72.71,67.2,72.71,1242250
11,2020-03-27,72.89,77.69,70.67,77.16,1149310
12,2020-03-30,71.82,72.89,71.82,72.36,881240
13,2020-03-31,72.36,77.33,71.47,74.13,1296450
14,2020-04-01,73.33,77.33,72.0,76.45,437820
15,2020-04-03,76.45,80.89,76.45,80.89,1184500
16,2020-04-06,81.78,86.49,81.16,86.49,2698260
17,2020-04-07,86.76,89.69,82.67,86.49,2855700
18,2020-04-08,86.22,86.22,83.56,83.56,760120
19,2020-04-09,83.73,86.49,83.38,85.33,1560610
20,2020-04-10,85.33,86.05,83.29,84.45,983120
21,2020-04-13,85.16,85.33,84.36,85.33,1411550
22,2020-04-14,85.78,85.78,84.0,84.98,631630
23,2020-04-15,84.98,85.33,84.36,85.33,1176850
24,2020-04-16,85.33,85.33,84.18,85.25,845580
25,2020-04-17,84.71,85.42,79.29,85.42,1191510
26,2020-04-20,85.42,85.69,84.36,85.51,1055020
27,2020-04-21,84.89,84.89,82.22,82.67,892270
28,2020-04-22,81.78,82.49,80.45,82.22,884070
29,2020-04-23,82.67,84.36,82.4,82.67,347420
30,2020-04-24,82.67,83.47,82.13,82.67,300240
31,2020-04-27,84.45,84.45,81.78,81.78,453720
32,2020-04-28,82.22,82.58,81.33,81.78,222920
33,2020-04-29,82.67,83.02,80.45,81.69,314400
34,2020-05-04,81.69,82.22,80.0,81.6,259550
35,2020-05-05,81.6,82.67,81.6,82.4,274700
36,2020-05-06,82.31,84.45,82.22,84.45,773570
37,2020-05-07,84.45,85.33,83.56,85.33,617800
38,2020-05-08,85.69,88.89,85.42,86.67,1683960
39,2020-05-11,87.11,87.11,85.25,86.67,1358920
40,2020-05-12,86.58,86.58,84.45,86.22,770030
41,2020-05-13,84.53,85.33,81.33,84.45,2652530
42,2020-05-14,84.45,85.96,83.47,85.33,1002810
43,2020-05-15,85.33,86.67,85.16,86.22,327650
44,2020-05-18,86.22,86.22,84.89,85.78,229440
45,2020-05-19,86.31,86.58,85.33,85.78,729850
46,2020-05-20,85.69,86.22,85.42,85.87,254730
47,2020-05-21,86.22,87.11,86.13,87.11,674380
48,2020-05-22,87.11,87.11,85.69,85.69,292930
49,2020-05-25,85.51,86.31,85.33,86.31,216400
50,2020-05-26,86.22,86.67,85.69,86.13,360000
51,2020-05-27,86.13,87.02,85.78,86.13,591440
52,2020-05-28,86.13,86.67,85.6,86.22,314790
53,2020-05-29,86.22,86.67,85.87,86.22,493500
54,2020-06-01,86.22,86.4,85.78,86.4,481490
55,2020-06-02,86.4,86.4,85.78,85.96,501700
56,2020-06-03,85.78,86.05,84.89,86.05,466430
57,2020-06-04,86.05,86.05,85.33,85.33,550740
58,2020-06-05,85.33,85.51,84.45,84.45,525870
59,2020-06-08,84.62,86.76,84.62,85.33,482180
60,2020-06-09,86.22,86.22,85.42,85.51,318400
61,2020-06-10,85.51,85.51,84.8,84.98,488490
62,2020-06-11,84.98,85.51,82.67,82.67,761540
63,2020-06-12,80.0,82.22,79.91,81.6,875940
64,2020-06-15,82.67,82.67,79.11,79.11,791710
65,2020-06-16,81.33,84.27,79.91,83.02,658480
66,2020-06-17,82.67,83.02,80.45,81.69,380880
67,2020-06-18,81.69,82.22,80.8,80.89,312850
68,2020-06-19,80.89,86.49,80.89,86.49,1840100
69,2020-06-22,86.13,86.22,84.62,86.13,508020
70,2020-06-23,85.51,85.6,83.73,83.73,432630
71,2020-06-24,84.0,84.53,83.56,84.18,214320
72,2020-06-25,82.93,83.91,82.49,83.02,169470
73,2020-06-26,83.11,83.91,81.33,81.33,222240
74,2020-06-29,81.33,81.69,79.11,79.11,359370
75,2020-06-30,80.89,80.89,79.11,79.11,350550
76,2020-07-01,80.45,81.33,79.11,80.89,92060
77,2020-07-02,80.53,80.98,79.56,79.91,420700
78,2020-07-03,80.8,80.89,79.91,80.18,163320
79,2020-07-06,80.27,81.69,80.18,81.25,284020
80,2020-07-07,81.33,81.96,80.89,80.89,336860
81,2020-07-08,80.71,81.33,80.09,80.71,187450
82,2020-07-09,80.71,81.6,80.62,80.89,399710
83,2020-07-10,80.89,81.78,80.89,81.25,193330
84,2020-07-13,81.33,81.42,80.89,81.16,349810
85,2020-07-14,81.16,81.6,80.18,81.16,340990
86,2020-07-15,81.51,81.51,80.45,80.45,384240
87,2020-07-16,80.8,82.67,80.53,82.67,328050
88,2020-07-17,81.33,81.78,80.89,81.33,214530
89,2020-07-20,80.89,81.25,80.18,80.18,222400
90,2020-07-21,81.07,81.07,80.18,80.18,220660
91,2020-07-22,80.0,80.89,79.82,79.82,202110
92,2020-07-23,80.0,80.27,79.56,80.0,181680
93,2020-07-24,79.91,80.0,74.67,78.22,674430
94,2020-07-27,74.58,76.45,73.69,75.56,825080
95,2020-07-28,75.56,77.33,71.02,75.73,534300
96,2020-07-29,74.67,75.56,73.78,74.22,379370
97,2020-07-30,74.22,76.0,74.22,75.65,242030
98,2020-07-31,74.67,80.0,74.49,77.78,939040
99,2020-08-03,77.33,78.31,75.56,77.87,164310
100,2020-08-04,78.85,78.85,77.69,78.22,229230
101,2020-08-05,78.22,78.67,75.38,77.33,434490
102,2020-08-06,78.22,78.4,77.42,77.78,332340
103,2020-08-07,77.87,78.4,77.6,77.78,182500
104,2020-08-10,78.22,79.91,77.69,78.4,542550
105,2020-08-11,79.29,79.29,77.78,77.78,215330
106,2020-08-12,77.78,78.67,77.69,77.69,302330
107,2020-08-13,78.22,79.11,77.78,78.22,458680
108,2020-08-14,78.22,79.11,77.69,77.69,654070
109,2020-08-17,77.33,78.67,77.16,77.96,376200
110,2020-08-18,77.6,77.96,76.62,76.89,772670
111,2020-08-19,76.89,77.87,76.89,76.89,347140
112,2020-08-20,76.98,77.51,76.45,76.45,990220
113,2020-08-21,76.45,77.25,76.36,76.53,376790
114,2020-08-24,76.89,79.11,76.89,79.11,1052840
115,2020-08-25,79.11,81.69,79.11,80.89,1074660
116,2020-08-26,80.71,81.07,80.0,80.89,547280
117,2020-08-27,80.09,80.89,80.09,80.89,437950
118,2020-08-28,81.16,82.05,79.91,79.91,636020
119,2020-08-31,80.0,81.33,80.0,80.0,276580
120,2020-09-01,80.18,83.56,79.91,82.4,675310
121,2020-09-03,83.11,84.98,82.4,84.0,1037080
122,2020-09-04,84.0,84.89,82.93,83.56,825960
123,2020-09-07,83.56,84.71,81.33,81.33,465400
124,2020-09-08,81.42,82.22,80.45,80.45,622290
125,2020-09-09,80.36,82.13,79.47,80.45,865880
126,2020-09-10,80.89,82.22,80.45,80.45,421160
127,2020-09-11,80.0,82.05,79.91,80.98,411350
128,2020-09-14,81.16,83.2,81.07,82.76,608930
129,2020-09-15,82.85,84.45,82.85,84.45,983560
130,2020-09-16,84.36,84.89,82.76,84.89,544300
131,2020-09-17,82.76,84.89,82.67,83.56,833870
132,2020-09-18,84.45,84.8,83.11,83.56,1089310
133,2020-09-21,83.56,85.33,83.56,85.33,571860
134,2020-09-22,85.33,85.51,84.09,84.09,505230
135,2020-09-23,84.45,85.07,84.0,84.0,111830
136,2020-09-24,83.38,84.89,82.67,82.67,388940
137,2020-09-25,84.0,84.27,82.49,82.49,412210
138,2020-09-28,83.73,83.73,82.49,82.49,202840
139,2020-09-29,83.56,83.56,81.33,81.33,394490
140,2020-09-30,81.33,83.02,81.33,81.33,417360
141,2020-10-01,81.69,83.02,81.69,82.22,212510
142,2020-10-02,82.22,83.56,81.78,83.56,400770
143,2020-10-05,83.56,83.56,81.78,82.93,90450
144,2020-10-06,82.93,82.93,81.6,81.6,521190
145,2020-10-07,81.33,83.11,80.89,82.22,381520
146,2020-10-08,81.78,82.58,81.33,82.05,216990
147,2020-10-09,82.05,83.29,82.05,83.2,309580
148,2020-10-12,83.2,83.56,82.22,83.47,326290
149,2020-10-13,83.47,83.65,83.02,83.65,271990
150,2020-10-14,83.65,84.45,83.56,84.45,389260
151,2020-10-15,84.53,86.67,80.89,86.67,1358580
152,2020-10-16,87.2,87.2,86.13,86.76,596590
153,2020-10-19,86.93,87.02,86.58,86.85,370590
154,2020-10-20,86.58,87.02,85.16,86.93,511250
155,2020-10-21,86.93,87.02,85.96,86.49,172010
156,2020-10-22,86.22,88.98,86.05,88.98,621610
157,2020-10-23,89.07,93.25,88.89,92.45,1761080
158,2020-10-26,96.89,97.33,93.25,93.42,974720
159,2020-10-27,95.11,95.2,92.45,93.96,804020
160,2020-10-28,93.96,95.11,87.82,89.07,1184890
161,2020-10-29,89.07,91.56,88.89,89.51,1327780
162,2020-10-30,90.22,94.67,89.51,94.67,972400
163,2020-11-02,94.67,95.11,93.33,94.67,691110
164,2020-11-03,95.11,95.11,92.8,92.8,751070
165,2020-11-04,92.71,92.8,91.56,92.0,495340
166,2020-11-05,92.62,95.02,92.45,92.89,789860
167,2020-11-06,94.22,94.22,92.89,93.42,592830
168,2020-11-09,93.42,94.4,93.07,94.31,803680
169,2020-11-10,94.67,95.29,93.87,93.87,781980
170,2020-11-11,93.87,94.22,91.56,94.05,1032780
171,2020-11-12,94.05,94.93,93.33,94.93,682660
172,2020-11-13,94.93,96.0,94.31,95.47,535350
173,2020-11-16,95.47,96.45,88.89,90.67,1781800
174,2020-11-17,91.56,94.22,90.85,94.22,862320
175,2020-11-18,94.13,94.22,91.56,93.25,751270
176,2020-11-19,93.16,93.16,91.56,92.45,1192700
177,2020-11-20,92.89,92.89,91.91,92.27,533840
178,2020-11-23,92.45,93.42,91.65,92.27,735650
179,2020-11-24,92.36,93.33,91.65,92.45,812220
180,2020-11-25,92.53,94.4,92.53,93.87,1222490
181,2020-11-26,93.33,94.4,92.89,94.31,545450
182,2020-11-27,94.22,94.31,93.16,93.51,720830
183,2020-11-30,93.51,93.78,92.27,92.36,1596840
184,2020-12-01,91.56,93.33,91.38,93.33,953230
185,2020-12-02,93.25,93.78,92.62,93.33,497910
186,2020-12-03,93.33,94.05,92.71,94.05,731750
187,2020-12-04,93.96,94.67,92.89,94.05,797060
188,2020-12-07,94.05,94.22,93.42,94.05,678660
189,2020-12-08,94.05,94.05,93.16,93.33,747280
190,2020-12-09,93.33,94.22,92.8,94.22,789790
191,2020-12-10,94.22,95.11,93.25,93.25,979550
192,2020-12-11,93.25,94.93,93.25,94.93,569360
193,2020-12-14,94.85,96.8,93.78,96.8,1122380
194,2020-12-15,96.8,96.8,94.85,95.11,1205700
195,2020-12-16,94.93,95.2,94.13,95.11,756200
196,2020-12-17,94.49,95.11,92.98,93.07,1352580
197,2020-12-18,93.07,94.31,92.89,93.07,1350780
198,2020-12-21,93.78,94.58,93.25,94.58,587100
199,2020-12-22,94.22,95.56,93.6,93.96,518320
200,2020-12-23,93.96,95.11,93.69,93.96,701430
201,2020-12-24,95.11,95.11,92.45,93.96,831440
202,2020-12-25,93.96,94.58,93.33,94.13,370300
203,2020-12-28,94.13,94.76,93.69,94.13,711710
204,2020-12-29,94.4,94.76,94.05,94.67,612360
205,2020-12-30,94.85,97.42,94.85,96.45,1528950
206,2020-12-31,96.45,97.16,93.78,96.18,656040
207,2021-01-04,96.36,96.89,94.67,96.0,991100
208,2021-01-05,95.29,97.69,95.29,97.51,1192200
209,2021-01-06,97.78,98.22,96.8,97.96,1283000
210,2021-01-07,98.13,98.67,96.89,97.87,862300
211,2021-01-08,97.87,100.18,97.87,99.38,1348700
212,2021-01-11,100.36,101.87,100.27,101.16,1536700
213,2021-01-12,103.11,103.11,101.07,101.69,981100
214,2021-01-13,101.69,101.87,98.76,98.76,1237900
215,2021-01-14,99.11,99.82,97.78,98.13,1439100
216,2021-01-15,99.02,99.73,97.6,98.85,1238000
217,2021-01-18,99.56,99.65,97.87,98.05,826900
218,2021-01-19,98.05,98.05,91.2,91.29,1367600
219,2021-01-20,91.56,93.33,91.11,91.82,1875500
220,2021-01-21,93.33,93.51,91.56,93.42,1564600
221,2021-01-22,93.69,94.67,93.33,93.33,1094200
222,2021-01-25,93.33,94.05,92.53,93.16,827300
223,2021-01-26,93.16,93.33,88.53,90.22,1028600
224,2021-01-27,90.22,91.56,88.45,88.89,1488900
