,time,open,high,low,close,volume
0,2020-03-12,105.5,106.0,99.1,101.0,791610
1,2020-03-13,99.5,101.0,94.0,101.0,488260
2,2020-03-16,99.3,100.0,96.0,100.0,397240
3,2020-03-17,98.0,101.7,97.7,101.7,439950
4,2020-03-18,101.7,102.0,98.0,101.4,383680
5,2020-03-19,99.2,100.0,95.1,98.0,540170
6,2020-03-20,98.0,103.0,97.4,103.0,467800
7,2020-03-23,100.0,100.0,95.8,95.8,400260
8,2020-03-24,94.8,98.0,94.6,96.5,331440
9,2020-03-25,98.0,99.5,96.6,97.1,310640
10,2020-03-26,97.1,97.1,94.6,97.0,208360
11,2020-03-27,96.5,96.9,94.2,96.9,222210
12,2020-03-30,94.0,96.5,93.2,96.5,131550
13,2020-03-31,96.5,98.9,96.0,97.2,153980
14,2020-04-01,97.2,99.2,97.0,99.2,250950
15,2020-04-03,99.2,101.4,99.0,99.9,377340
16,2020-04-06,99.9,100.2,99.0,99.9,466290
17,2020-04-07,100.0,100.0,97.2,99.0,264000
18,2020-04-08,98.5,99.0,97.5,99.0,272420
19,2020-04-09,99.0,103.0,98.6,102.0,359760
20,2020-04-10,102.0,109.1,102.0,109.1,268880
21,2020-04-13,113.0,116.7,112.0,115.7,241950
22,2020-04-14,114.5,114.5,109.5,112.8,300930
23,2020-04-15,111.8,112.2,106.0,110.8,244450
24,2020-04-16,111.0,116.0,110.6,116.0,304040
25,2020-04-17,116.0,118.0,116.0,117.4,391890
26,2020-04-20,117.6,117.6,116.5,117.2,380240
27,2020-04-21,116.5,116.5,113.0,115.0,270040
28,2020-04-22,114.7,115.5,113.8,115.1,422410
29,2020-04-23,115.5,117.3,115.5,116.4,417880
30,2020-04-24,116.5,116.5,114.7,115.2,220300
31,2020-04-27,115.2,115.2,113.0,113.5,279920
32,2020-04-28,113.0,113.5,112.2,112.9,211570
33,2020-04-29,112.9,116.5,112.1,115.5,500000
34,2020-05-04,115.5,116.0,113.9,114.3,265270
35,2020-05-05,114.2,114.3,111.2,111.5,257530
36,2020-05-06,111.8,112.5,111.7,112.1,411930
37,2020-05-07,112.2,115.2,112.2,115.2,413820
38,2020-05-08,115.2,123.2,115.1,120.0,922100
39,2020-05-11,119.3,119.3,117.6,118.6,404180
40,2020-05-12,118.6,118.6,116.6,117.4,448580
41,2020-05-13,117.0,117.0,109.2,114.9,709770
42,2020-05-14,114.8,114.8,112.8,114.0,529830
43,2020-05-15,114.0,114.5,113.8,114.0,396390
44,2020-05-18,114.0,114.2,113.1,114.0,403230
45,2020-05-19,115.0,116.0,114.5,114.9,565860
46,2020-05-20,114.5,114.5,113.5,113.7,290200
47,2020-05-21,113.7,115.0,113.6,115.0,452160
48,2020-05-22,114.8,114.8,113.0,114.0,397860
49,2020-05-25,114.0,114.0,113.1,113.1,331260
50,2020-05-26,113.0,113.3,112.4,113.0,464120
51,2020-05-27,113.0,115.2,113.0,113.0,496870
52,2020-05-28,113.0,114.2,113.0,113.3,436060
53,2020-05-29,113.3,113.3,112.9,113.0,449840
54,2020-06-01,113.0,114.0,112.9,113.3,406510
55,2020-06-02,113.3,115.5,113.2,114.7,593950
56,2020-06-03,114.7,114.7,113.7,113.8,311360
57,2020-06-04,113.9,114.3,113.8,114.3,687650
58,2020-06-05,114.1,114.3,113.6,114.3,368780
59,2020-06-08,114.3,115.6,114.3,115.0,688020
60,2020-06-09,116.8,118.8,116.0,117.8,727700
61,2020-06-10,117.9,118.4,117.4,117.8,544330
62,2020-06-11,117.8,117.9,113.5,113.5,697580
63,2020-06-12,112.0,113.4,109.3,113.4,657920
64,2020-06-15,112.2,112.2,109.0,109.0,629650
65,2020-06-16,110.0,110.4,107.1,107.7,612480
66,2020-06-17,107.7,109.8,107.5,109.8,479940
67,2020-06-18,109.5,111.3,109.0,111.0,345560
68,2020-06-19,111.0,111.9,109.5,110.0,418810
69,2020-06-22,109.0,110.0,108.2,109.0,276620
70,2020-06-23,108.5,111.0,108.2,109.4,277520
71,2020-06-24,109.4,109.4,108.0,108.5,267910
72,2020-06-25,108.0,108.5,107.2,108.5,258530
73,2020-06-26,108.2,108.7,107.5,108.5,248260
74,2020-06-29,109.0,109.5,106.5,106.8,328140
75,2020-06-30,107.9,108.0,106.4,108.0,289590
76,2020-07-01,108.0,108.5,107.1,108.0,313260
77,2020-07-02,108.0,108.0,106.9,107.9,244570
78,2020-07-03,107.5,108.2,107.5,108.0,284360
79,2020-07-06,108.0,108.2,107.2,107.7,318520
80,2020-07-07,107.5,109.0,107.5,108.3,350630
81,2020-07-08,108.1,108.1,107.5,107.6,289450
82,2020-07-09,107.6,109.5,107.3,108.1,519710
83,2020-07-10,108.1,110.0,107.7,108.0,401690
84,2020-07-13,108.0,109.5,107.0,108.0,369240
85,2020-07-14,108.0,108.4,107.0,108.0,327810
86,2020-07-15,108.0,108.6,107.8,107.8,210730
87,2020-07-16,107.8,112.0,107.3,112.0,280190
88,2020-07-17,109.0,109.0,108.0,109.0,319230
89,2020-07-20,108.7,108.7,107.3,107.5,218370
90,2020-07-21,107.4,108.5,107.0,108.4,232510
91,2020-07-22,108.3,108.3,107.4,107.4,247420
92,2020-07-23,107.4,108.0,107.2,107.9,252960
93,2020-07-24,107.5,107.9,102.4,103.8,351710
94,2020-07-27,98.0,100.0,96.6,97.9,362790
95,2020-07-28,97.8,97.9,94.9,96.5,334050
96,2020-07-29,96.0,96.4,94.3,95.1,229700
97,2020-07-30,95.1,97.0,95.1,96.0,208710
98,2020-07-31,95.0,95.9,94.5,94.5,266790
99,2020-08-03,94.5,96.2,94.5,96.0,297320
100,2020-08-04,96.0,97.5,96.0,97.0,323790
101,2020-08-05,97.0,100.0,96.1,99.8,413720
102,2020-08-06,100.0,102.1,100.0,101.0,362410
103,2020-08-07,101.0,101.2,99.2,100.3,255020
104,2020-08-10,100.3,101.0,100.0,100.0,339710
105,2020-08-11,100.0,100.1,99.1,99.5,240830
106,2020-08-12,99.8,100.5,99.7,100.5,298910
107,2020-08-13,101.6,101.6,100.6,101.6,421970
108,2020-08-14,101.6,101.7,100.3,100.6,362250
109,2020-08-17,100.6,100.6,98.8,100.2,265010
110,2020-08-18,100.0,100.2,98.9,99.8,267090
111,2020-08-19,99.8,100.0,99.6,100.0,245440
112,2020-08-20,99.9,100.0,98.8,99.6,481250
113,2020-08-21,99.7,99.7,99.1,99.6,270450
114,2020-08-24,99.7,100.4,99.7,100.0,537630
115,2020-08-25,100.1,100.4,99.2,99.5,560970
116,2020-08-26,99.8,100.6,99.6,100.6,460680
117,2020-08-27,100.5,100.6,99.5,99.6,276490
118,2020-08-28,99.8,100.8,99.8,100.6,480460
119,2020-08-31,101.0,103.2,100.7,103.0,489880
120,2020-09-01,103.7,105.5,103.6,105.5,686820
121,2020-09-03,106.6,107.9,106.5,107.6,607480
122,2020-09-04,105.5,107.6,105.5,107.6,663890
123,2020-09-07,108.0,108.0,105.6,107.0,485630
124,2020-09-08,107.0,107.0,105.4,106.8,404020
125,2020-09-09,106.0,106.0,104.4,106.0,527620
126,2020-09-10,106.0,106.2,105.5,106.0,460670
127,2020-09-11,106.0,106.0,104.5,105.8,409590
128,2020-09-14,106.0,107.4,106.0,107.4,551420
129,2020-09-15,107.5,108.0,106.0,106.9,415560
