,time,open,high,low,close,volume
0,2023-01-11,67.95,68.45,66.61,66.61,1535421
1,2023-01-12,67.03,67.28,66.52,67.11,685545
2,2023-01-13,67.28,68.03,67.19,67.61,1449667
3,2023-01-16,67.61,67.78,66.61,66.61,655271
4,2023-01-17,67.28,67.95,66.61,67.87,1672065
5,2023-01-18,67.87,68.37,67.7,68.2,1299292
6,2023-01-19,67.78,68.37,67.11,68.2,2628489
7,2023-01-27,68.29,68.7,66.78,67.11,2333482
8,2023-01-30,67.11,67.11,66.61,66.61,1614712
9,2023-01-31,66.44,66.69,64.51,64.68,4819134
10,2023-02-01,65.18,65.27,64.51,64.76,1811677
11,2023-02-02,64.93,65.01,64.34,64.34,1494960
12,2023-02-03,64.59,64.68,63.67,63.76,1857505
13,2023-02-06,63.67,65.01,63.67,64.93,1911471
14,2023-02-07,65.1,65.1,63.84,63.84,1275373
15,2023-02-08,63.92,64.26,63.5,63.59,1551091
16,2023-02-09,63.59,63.76,62.92,62.92,1594747
17,2023-02-10,62.92,63.67,62.92,63.67,1236884
18,2023-02-13,63.67,63.67,62.16,63.17,1570936
19,2023-02-14,63.17,63.5,62.41,62.66,1074782
20,2023-02-15,62.66,63.76,62.41,63.76,1444301
21,2023-02-16,63.76,64.17,63.42,64.17,692037
22,2023-02-17,63.84,64.09,63.17,63.76,777880
23,2023-02-20,63.76,65.01,63.34,65.01,1386188
24,2023-02-21,65.01,65.1,64.34,64.76,889193
25,2023-02-22,64.01,64.34,63.34,63.34,1296443
26,2023-02-23,63.34,64.51,62.41,63.5,2328809
27,2023-02-24,63.5,63.76,62.5,62.66,1681692
28,2023-02-27,62.66,63.67,62.08,63.08,1113616
29,2023-02-28,63.34,63.67,63.0,63.34,1035315
30,2023-03-01,63.0,64.59,62.92,64.51,1636044
31,2023-03-02,64.51,64.51,63.84,64.17,1089291
32,2023-03-03,62.92,64.43,62.92,63.76,704604
33,2023-03-06,63.76,64.26,62.92,62.92,892543
34,2023-03-07,63.67,63.92,63.34,63.59,1171596
35,2023-03-08,63.08,64.17,62.92,64.17,1245092
36,2023-03-09,63.92,64.68,63.92,64.17,1390428
37,2023-03-10,64.17,64.76,63.84,64.51,1428506
38,2023-03-13,64.43,64.68,64.26,64.51,1825388
39,2023-03-14,64.01,64.51,63.42,64.26,1735682
40,2023-03-15,64.26,64.85,64.17,64.68,1960620
41,2023-03-16,64.59,64.68,63.67,64.09,1530353
42,2023-03-17,64.09,64.09,62.5,62.5,2433870
43,2023-03-20,62.92,62.92,62.16,62.33,1610450
44,2023-03-21,62.41,63.0,62.25,62.41,1351452
45,2023-03-22,62.58,62.66,62.41,62.41,901008
46,2023-03-23,62.33,63.17,62.08,63.17,1285502
47,2023-03-24,62.92,63.34,62.75,62.92,932820
