,time,open,high,low,close,volume
0,2023-01-11,16.74,16.74,16.26,16.26,17429954
1,2023-01-12,16.39,16.52,16.21,16.48,15247321
2,2023-01-13,16.61,17.18,16.34,17.09,25705415
3,2023-01-16,17.27,17.27,16.92,17.09,17944114
4,2023-01-17,17.18,17.27,17.05,17.27,32916036
5,2023-01-18,17.27,17.45,17.09,17.31,19678368
6,2023-01-19,17.23,17.36,17.09,17.18,18350355
7,2023-01-27,17.31,17.84,17.09,17.36,24446611
8,2023-01-30,17.36,17.4,16.96,16.96,23822248
9,2023-01-31,16.87,17.18,16.78,17.14,25098258
10,2023-02-01,17.23,17.27,15.95,16.12,32201821
11,2023-02-02,16.39,16.48,15.99,16.21,25934059
12,2023-02-03,16.3,16.34,15.9,16.08,20041520
13,2023-02-06,15.99,16.34,15.82,16.3,16963863
14,2023-02-07,16.34,16.43,15.82,15.82,15660834
15,2023-02-08,15.95,16.08,15.73,15.82,11580363
16,2023-02-09,15.82,16.34,15.77,15.86,15159642
17,2023-02-10,15.86,16.12,15.42,15.42,13105005
18,2023-02-13,15.51,15.55,14.63,14.98,25788375
19,2023-02-14,14.98,15.15,14.71,14.71,16874940
20,2023-02-15,14.71,15.15,14.71,15.15,12675676
21,2023-02-16,15.33,15.51,15.07,15.42,14456594
22,2023-02-17,15.24,15.42,15.15,15.24,10771460
23,2023-02-20,15.07,16.12,15.07,16.12,20556535
24,2023-02-21,16.21,16.21,15.68,15.68,18378890
25,2023-02-22,15.51,15.86,15.37,15.37,17000870
26,2023-02-23,15.37,15.46,15.07,15.46,12982016
27,2023-02-24,15.46,15.55,15.11,15.11,10420131
28,2023-02-27,14.98,15.11,14.58,14.98,10313143
29,2023-02-28,15.11,15.2,14.89,15.02,8630806
30,2023-03-01,14.85,15.42,14.71,15.37,9656392
31,2023-03-02,15.37,15.46,15.2,15.24,4288187
32,2023-03-03,15.37,15.42,14.89,14.98,8978636
33,2023-03-06,15.24,15.42,15.02,15.07,13130239
34,2023-03-07,15.33,15.6,15.24,15.33,13130057
35,2023-03-08,15.15,15.99,15.15,15.99,27191201
36,2023-03-09,15.99,16.12,15.86,16.04,15266179
37,2023-03-10,15.77,16.12,15.77,16.12,14756199
38,2023-03-13,16.56,17.09,16.39,17.09,41371815
39,2023-03-14,17.27,17.27,16.83,17.09,22991178
40,2023-03-15,17.45,17.49,17.23,17.45,22324222
41,2023-03-16,17.18,17.31,16.87,17.14,15494869
42,2023-03-17,17.27,17.4,17.05,17.36,15552394
43,2023-03-20,17.23,17.36,17.0,17.36,18942057
44,2023-03-21,17.36,17.93,17.18,17.93,29197769
45,2023-03-22,18.06,18.68,18.02,18.5,42042107
46,2023-03-23,18.5,18.63,18.33,18.55,22824286
47,2023-03-24,18.55,18.68,18.37,18.63,19657668
48,2023-03-27,18.63,18.99,18.5,18.72,29334258
49,2023-03-28,18.86,19.03,18.11,18.5,37174607
50,2023-03-29,18.41,18.41,18.15,18.41,16602160
51,2023-03-30,18.5,18.55,18.24,18.41,15531634
52,2023-03-31,18.33,18.77,18.33,18.55,23144357
53,2023-04-03,18.63,18.72,18.41,18.68,13552460
54,2023-04-04,18.68,18.9,18.5,18.86,16363342
55,2023-04-05,18.77,18.9,18.63,18.68,11995242
56,2023-04-06,18.68,18.94,18.41,18.41,12258479
57,2023-04-07,18.41,18.55,18.19,18.41,7669916
58,2023-04-10,18.41,18.81,18.24,18.41,16775702
59,2023-04-11,18.41,18.59,18.24,18.5,9491995
60,2023-04-12,18.5,18.55,18.19,18.19,8672209
61,2023-04-13,18.19,18.19,17.8,18.15,19918982
62,2023-04-14,18.15,18.24,17.93,18.06,8544661
63,2023-04-17,18.02,18.15,17.89,18.02,5198746
64,2023-04-18,18.02,18.11,17.71,17.84,10606836
65,2023-04-19,18.02,18.11,17.36,17.36,18423477
66,2023-04-20,17.31,17.45,16.96,17.05,12246443
67,2023-04-21,17.05,17.27,17.05,17.14,8124954
68,2023-04-24,17.14,17.67,17.05,17.18,7088966
69,2023-04-25,17.36,17.4,16.96,17.0,7170079
70,2023-04-26,17.0,17.09,16.83,17.05,7852319
71,2023-04-27,17.05,17.36,17.05,17.09,5200797
72,2023-04-28,17.23,17.53,17.18,17.53,8575336
73,2023-05-04,17.23,17.45,17.18,17.23,7485389
74,2023-05-05,17.27,17.53,17.14,17.14,5919276
75,2023-05-08,17.14,17.31,17.09,17.14,5493295
76,2023-05-09,17.23,17.27,17.09,17.14,4729385
77,2023-05-10,17.18,17.27,17.14,17.23,8934023
78,2023-05-11,17.27,17.49,17.27,17.45,6669739
79,2023-05-12,17.45,17.49,17.23,17.4,7523741
80,2023-05-15,17.45,17.8,17.4,17.45,13098787
81,2023-05-16,17.53,17.53,17.27,17.27,7494523
82,2023-05-17,17.27,17.31,16.92,16.92,12687719
83,2023-05-18,17.0,17.18,16.92,16.96,7581545
84,2023-05-19,17.0,17.09,16.92,17.0,6595802
85,2023-05-22,17.0,17.36,17.0,17.36,12026867
86,2023-05-23,17.4,17.45,17.18,17.23,7237374
87,2023-05-24,17.31,17.36,17.09,17.09,8337114
88,2023-05-25,17.05,17.14,16.92,16.92,7300825
89,2023-05-26,17.0,17.0,16.83,16.87,6989347
90,2023-05-29,16.92,17.14,16.92,17.05,7045156
91,2023-05-30,17.18,17.18,17.05,17.14,8977201
92,2023-05-31,17.23,17.23,16.96,17.0,7915755
93,2023-06-01,17.0,17.09,16.92,17.09,9752019
94,2023-06-02,17.27,17.8,17.23,17.49,24541548
95,2023-06-05,17.71,17.75,17.4,17.4,13424194
96,2023-06-06,17.4,17.62,17.36,17.49,14950805
97,2023-06-07,17.62,17.71,17.4,17.53,16191796
98,2023-06-08,17.53,17.67,17.18,17.18,16598634
99,2023-06-09,17.27,17.27,17.0,17.18,9597956
100,2023-06-12,17.36,17.36,17.05,17.27,8508327
101,2023-06-13,17.36,17.4,17.09,17.18,9668929
102,2023-06-14,17.27,17.71,17.23,17.4,25387687
103,2023-06-15,17.4,17.49,17.23,17.36,9432169
104,2023-06-16,17.49,17.71,17.18,17.23,33733454
105,2023-06-19,17.23,17.31,16.96,17.14,12071513
106,2023-06-20,17.14,17.23,16.96,17.18,14472208
107,2023-06-21,17.18,17.31,17.09,17.31,8113440
108,2023-06-22,17.4,17.49,17.27,17.27,12411972
109,2023-06-23,17.36,17.97,17.31,17.8,42330144
110,2023-06-26,18.06,18.06,17.58,17.84,16580570
111,2023-06-27,18.02,18.02,17.71,17.71,14431981
112,2023-06-28,17.8,17.93,17.67,17.84,16757295
113,2023-06-29,17.89,18.02,17.53,17.53,18448831
114,2023-06-30,17.53,17.62,17.4,17.49,12377966
115,2023-07-03,17.49,17.62,17.4,17.49,9810552
116,2023-07-04,17.49,17.58,17.4,17.49,7341577
117,2023-07-05,17.53,17.89,17.53,17.58,20488181
118,2023-07-06,17.58,17.71,17.23,17.23,16277964
119,2023-07-07,17.27,17.49,17.18,17.49,8346955
120,2023-07-10,17.58,17.75,17.45,17.67,15278429
121,2023-07-11,17.89,17.89,17.45,17.53,19610451
122,2023-07-12,17.62,17.62,17.31,17.31,13718595
123,2023-07-13,17.53,17.58,17.31,17.58,16405344
124,2023-07-14,17.67,17.71,17.27,17.53,17482955
125,2023-07-17,17.71,18.06,17.67,18.02,34236763
126,2023-07-18,18.02,18.59,17.89,18.46,37323395
127,2023-07-19,18.5,18.5,18.19,18.19,22968783
128,2023-07-20,18.15,18.5,18.06,18.5,19557328
129,2023-07-21,18.46,18.9,18.33,18.86,28610093
130,2023-07-24,18.94,19.3,18.77,19.25,24119919
131,2023-07-25,19.3,19.69,19.21,19.25,26114882
132,2023-07-26,19.21,19.3,18.99,19.25,17438712
133,2023-07-27,19.21,19.25,18.94,19.16,17811984
134,2023-07-28,19.16,19.47,19.03,19.47,18137791
135,2023-07-31,19.52,19.6,19.3,19.52,19660250
136,2023-08-01,19.52,19.56,19.08,19.34,25777124
137,2023-08-02,19.34,19.6,19.12,19.38,17050706
138,2023-08-03,19.34,19.38,19.03,19.12,15906278
139,2023-08-04,19.21,19.56,19.03,19.56,15494677
140,2023-08-07,19.78,20.26,19.65,19.96,20246222
141,2023-08-08,19.96,19.96,19.56,19.56,13854997
142,2023-08-09,19.47,19.56,19.12,19.43,21340508
143,2023-08-10,19.43,19.43,18.99,19.34,19846091
144,2023-08-11,19.34,19.38,18.99,19.38,12404843
145,2023-08-14,19.3,19.38,19.21,19.34,11669670
146,2023-08-15,19.34,19.38,19.08,19.38,18409846
147,2023-08-16,19.3,19.91,19.08,19.74,39592573
148,2023-08-17,19.82,19.96,19.52,19.52,15638666
149,2023-08-18,19.38,19.43,18.15,18.15,34230665
150,2023-08-21,18.15,18.5,17.97,18.33,12660872
151,2023-08-22,18.28,18.37,17.67,18.15,21186247
152,2023-08-23,18.28,18.37,17.84,17.84,14418333
153,2023-08-24,17.84,18.06,17.75,18.06,9971586
154,2023-08-25,18.02,18.11,17.62,17.8,16071059
